lambda,Cabs,Csca
250,5.93E-15,2.45E-16
255,5.95E-15,2.43E-16
260,5.90E-15,2.39E-16
265,5.83E-15,2.32E-16
270,5.72E-15,2.24E-16
275,5.57E-15,2.13E-16
280,5.44E-15,2.01E-16
285,5.31E-15,1.89E-16
290,5.20E-15,1.78E-16
295,5.07E-15,1.67E-16
300,4.93E-15,1.56E-16
305,4.84E-15,1.47E-16
310,4.76E-15,1.39E-16
315,4.67E-15,1.31E-16
320,4.58E-15,1.24E-16
325,4.56E-15,1.17E-16
330,4.56E-15,1.12E-16
335,4.51E-15,1.06E-16
340,4.44E-15,9.96E-17
345,4.35E-15,9.37E-17
350,4.26E-15,8.82E-17
355,4.17E-15,8.32E-17
360,4.12E-15,7.97E-17
365,4.06E-15,7.63E-17
370,4.01E-15,7.32E-17
375,3.95E-15,7.04E-17
380,3.89E-15,6.76E-17
385,3.83E-15,6.45E-17
390,3.75E-15,6.14E-17
395,3.68E-15,5.85E-17
400,3.62E-15,5.57E-17
405,3.57E-15,5.31E-17
410,3.52E-15,5.07E-17
415,3.47E-15,4.84E-17
420,3.42E-15,4.61E-17
425,3.38E-15,4.40E-17
430,3.34E-15,4.19E-17
435,3.33E-15,4.02E-17
440,3.33E-15,3.87E-17
445,3.33E-15,3.72E-17
450,3.33E-15,3.58E-17
455,3.34E-15,3.43E-17
460,3.35E-15,3.29E-17
465,3.36E-15,3.16E-17
470,3.37E-15,3.04E-17
475,3.45E-15,3.00E-17
480,3.57E-15,3.02E-17
485,3.69E-15,3.04E-17
490,3.82E-15,3.09E-17
495,3.97E-15,3.15E-17
500,4.11E-15,3.39E-17
505,4.22E-15,3.70E-17
510,4.25E-15,4.01E-17
515,4.19E-15,4.31E-17
520,4.01E-15,4.58E-17
525,3.61E-15,4.47E-17
530,3.16E-15,4.24E-17
535,2.73E-15,3.98E-17
540,2.33E-15,3.70E-17
545,1.96E-15,3.42E-17
550,1.65E-15,3.15E-17
555,1.42E-15,2.89E-17
560,1.21E-15,2.65E-17
565,1.04E-15,2.44E-17
570,8.84E-16,2.24E-17
575,7.53E-16,2.06E-17
580,6.39E-16,1.90E-17
585,5.52E-16,1.76E-17
590,4.83E-16,1.63E-17
595,4.23E-16,1.51E-17
600,3.71E-16,1.41E-17
605,3.25E-16,1.31E-17
610,2.85E-16,1.22E-17
615,2.50E-16,1.14E-17
620,2.23E-16,1.07E-17
625,2.00E-16,1.01E-17
630,1.80E-16,9.47E-18
635,1.62E-16,8.92E-18
640,1.45E-16,8.41E-18
645,1.30E-16,7.93E-18
650,1.16E-16,7.49E-18
655,1.04E-16,7.08E-18
660,9.35E-17,6.69E-18
665,8.81E-17,6.35E-18
670,8.30E-17,6.03E-18
675,7.84E-17,5.73E-18
680,7.40E-17,5.45E-18
685,7.00E-17,5.19E-18
690,6.62E-17,4.94E-18
695,6.27E-17,4.70E-18
700,5.94E-17,4.47E-18
705,5.65E-17,4.26E-18
710,5.45E-17,4.07E-18
715,5.27E-17,3.88E-18
720,5.10E-17,3.71E-18
725,4.93E-17,3.54E-18
730,4.78E-17,3.39E-18
735,4.63E-17,3.23E-18
740,4.48E-17,3.09E-18
745,4.35E-17,2.96E-18
750,4.22E-17,2.83E-18
755,4.10E-17,2.70E-18
760,3.99E-17,2.58E-18
765,3.90E-17,2.47E-18
770,3.80E-17,2.37E-18
775,3.72E-17,2.26E-18
780,3.63E-17,2.17E-18
785,3.55E-17,2.07E-18
790,3.47E-17,1.98E-18
795,3.39E-17,1.90E-18
800,3.32E-17,1.82E-18
805,3.25E-17,1.74E-18
810,3.18E-17,1.66E-18
815,3.11E-17,1.59E-18
820,3.05E-17,1.52E-18
825,2.98E-17,1.45E-18
830,2.90E-17,1.39E-18
835,2.83E-17,1.33E-18
840,2.77E-17,1.27E-18
845,2.70E-17,1.21E-18
850,2.64E-17,1.15E-18
855,2.58E-17,1.10E-18
860,2.52E-17,1.05E-18
865,2.46E-17,9.99E-19
870,2.41E-17,9.51E-19
875,2.35E-17,9.05E-19
880,2.30E-17,8.60E-19
885,2.25E-17,8.17E-19
890,2.21E-17,7.76E-19
895,2.18E-17,7.37E-19
900,2.16E-17,7.02E-19
905,2.14E-17,6.67E-19
910,2.13E-17,6.33E-19
915,2.11E-17,6.01E-19
920,2.09E-17,5.70E-19
925,2.08E-17,5.40E-19
930,2.06E-17,5.10E-19
935,2.04E-17,4.82E-19
940,2.03E-17,4.55E-19
945,2.01E-17,4.28E-19
950,1.99E-17,4.03E-19
955,1.98E-17,3.78E-19
960,1.96E-17,3.54E-19
965,1.95E-17,3.31E-19
970,1.93E-17,3.08E-19
975,1.92E-17,2.86E-19
980,1.90E-17,2.65E-19
985,1.89E-17,2.44E-19
990,1.87E-17,2.24E-19
995,1.85E-17,2.04E-19
1000,1.83E-17,1.85E-19
