lambda,Csca,Cabs
250,2.29E-15,5.93E-15
255,2.29E-15,5.95E-15
260,2.26E-15,5.90E-15
265,2.20E-15,5.83E-15
270,2.13E-15,5.72E-15
275,2.03E-15,5.57E-15
280,1.92E-15,5.44E-15
285,1.81E-15,5.31E-15
290,1.70E-15,5.20E-15
295,1.60E-15,5.07E-15
300,1.50E-15,4.93E-15
305,1.41E-15,4.84E-15
310,1.34E-15,4.76E-15
315,1.26E-15,4.67E-15
320,1.19E-15,4.58E-15
325,1.13E-15,4.56E-15
330,1.08E-15,4.56E-15
335,1.02E-15,4.51E-15
340,9.61E-16,4.44E-15
345,9.04E-16,4.35E-15
350,8.50E-16,4.26E-15
355,8.02E-16,4.17E-15
360,7.69E-16,4.12E-15
365,7.37E-16,4.06E-15
370,7.08E-16,4.01E-15
375,6.82E-16,3.95E-15
380,6.56E-16,3.89E-15
385,6.26E-16,3.83E-15
390,5.96E-16,3.75E-15
395,5.68E-16,3.68E-15
400,5.41E-16,3.62E-15
405,5.16E-16,3.57E-15
410,4.93E-16,3.52E-15
415,4.71E-16,3.47E-15
420,4.48E-16,3.42E-15
425,4.28E-16,3.38E-15
430,4.08E-16,3.34E-15
435,3.92E-16,3.33E-15
440,3.77E-16,3.33E-15
445,3.62E-16,3.33E-15
450,3.49E-16,3.33E-15
455,3.35E-16,3.34E-15
460,3.22E-16,3.35E-15
465,3.09E-16,3.36E-15
470,2.97E-16,3.37E-15
475,2.94E-16,3.45E-15
480,2.97E-16,3.57E-15
485,3.00E-16,3.69E-15
490,3.06E-16,3.82E-15
495,3.13E-16,3.97E-15
500,3.41E-16,4.11E-15
505,3.75E-16,4.22E-15
510,4.13E-16,4.25E-15
515,4.50E-16,4.19E-15
520,4.85E-16,4.01E-15
525,4.79E-16,3.61E-15
530,4.60E-16,3.16E-15
535,4.37E-16,2.73E-15
540,4.11E-16,2.33E-15
545,3.84E-16,1.96E-15
550,3.57E-16,1.65E-15
555,3.31E-16,1.42E-15
560,3.06E-16,1.21E-15
565,2.84E-16,1.04E-15
570,2.63E-16,8.84E-16
575,2.44E-16,7.53E-16
580,2.27E-16,6.39E-16
585,2.12E-16,5.52E-16
590,1.97E-16,4.83E-16
595,1.85E-16,4.23E-16
600,1.73E-16,3.71E-16
605,1.62E-16,3.25E-16
610,1.52E-16,2.85E-16
615,1.43E-16,2.50E-16
620,1.36E-16,2.23E-16
625,1.28E-16,2.00E-16
630,1.22E-16,1.80E-16
635,1.16E-16,1.62E-16
640,1.10E-16,1.45E-16
645,1.05E-16,1.30E-16
650,9.96E-17,1.16E-16
655,9.49E-17,1.04E-16
660,9.06E-17,9.35E-17
665,8.66E-17,8.81E-17
670,8.29E-17,8.30E-17
675,7.94E-17,7.84E-17
680,7.61E-17,7.40E-17
685,7.29E-17,7.00E-17
690,7.00E-17,6.62E-17
695,6.72E-17,6.27E-17
700,6.46E-17,5.94E-17
705,6.21E-17,5.65E-17
710,5.97E-17,5.45E-17
715,5.75E-17,5.27E-17
720,5.54E-17,5.10E-17
725,5.34E-17,4.93E-17
730,5.15E-17,4.78E-17
735,4.97E-17,4.63E-17
740,4.80E-17,4.48E-17
745,4.63E-17,4.35E-17
750,4.47E-17,4.22E-17
755,4.32E-17,4.10E-17
760,4.18E-17,3.99E-17
765,4.04E-17,3.90E-17
770,3.91E-17,3.80E-17
775,3.79E-17,3.72E-17
780,3.67E-17,3.63E-17
785,3.55E-17,3.55E-17
790,3.44E-17,3.47E-17
795,3.34E-17,3.39E-17
800,3.23E-17,3.32E-17
805,3.14E-17,3.25E-17
810,3.04E-17,3.18E-17
815,2.95E-17,3.11E-17
820,2.87E-17,3.05E-17
825,2.78E-17,2.98E-17
830,2.70E-17,2.90E-17
835,2.63E-17,2.83E-17
840,2.55E-17,2.77E-17
845,2.48E-17,2.70E-17
850,2.41E-17,2.64E-17
855,2.34E-17,2.58E-17
860,2.28E-17,2.52E-17
865,2.22E-17,2.46E-17
870,2.16E-17,2.41E-17
875,2.10E-17,2.35E-17
880,2.04E-17,2.30E-17
885,1.99E-17,2.25E-17
890,1.93E-17,2.21E-17
895,1.88E-17,2.18E-17
900,1.84E-17,2.16E-17
905,1.79E-17,2.14E-17
910,1.75E-17,2.13E-17
915,1.70E-17,2.11E-17
920,1.66E-17,2.09E-17
925,1.62E-17,2.08E-17
930,1.58E-17,2.06E-17
935,1.54E-17,2.04E-17
940,1.51E-17,2.03E-17
945,1.47E-17,2.01E-17
950,1.44E-17,1.99E-17
955,1.40E-17,1.98E-17
960,1.37E-17,1.96E-17
965,1.34E-17,1.95E-17
970,1.31E-17,1.93E-17
975,1.28E-17,1.92E-17
980,1.25E-17,1.90E-17
985,1.22E-17,1.89E-17
990,1.19E-17,1.87E-17
995,1.16E-17,1.85E-17
1000,1.14E-17,1.83E-17
