lambda,Csca,Cabs
250,2.26E-15,5.91E-15
255,2.25E-15,5.92E-15
260,2.23E-15,5.87E-15
265,2.17E-15,5.79E-15
270,2.09E-15,5.68E-15
275,2.00E-15,5.53E-15
280,1.89E-15,5.40E-15
285,1.78E-15,5.27E-15
290,1.67E-15,5.16E-15
295,1.57E-15,5.04E-15
300,1.47E-15,4.90E-15
305,1.38E-15,4.81E-15
310,1.31E-15,4.73E-15
315,1.23E-15,4.64E-15
320,1.16E-15,4.55E-15
325,1.10E-15,4.54E-15
330,1.05E-15,4.53E-15
335,9.94E-16,4.48E-15
340,9.35E-16,4.41E-15
345,8.80E-16,4.32E-15
350,8.27E-16,4.23E-15
355,7.79E-16,4.14E-15
360,7.46E-16,4.09E-15
365,7.15E-16,4.03E-15
370,6.87E-16,3.98E-15
375,6.60E-16,3.92E-15
380,6.34E-16,3.87E-15
385,6.05E-16,3.80E-15
390,5.76E-16,3.73E-15
395,5.48E-16,3.65E-15
400,5.21E-16,3.59E-15
405,4.97E-16,3.54E-15
410,4.74E-16,3.49E-15
415,4.53E-16,3.44E-15
420,4.31E-16,3.40E-15
425,4.11E-16,3.36E-15
430,3.92E-16,3.31E-15
435,3.76E-16,3.31E-15
440,3.62E-16,3.30E-15
445,3.48E-16,3.30E-15
450,3.35E-16,3.30E-15
455,3.22E-16,3.31E-15
460,3.09E-16,3.32E-15
465,2.97E-16,3.33E-15
470,2.86E-16,3.35E-15
475,2.83E-16,3.43E-15
480,2.86E-16,3.54E-15
485,2.90E-16,3.66E-15
490,2.96E-16,3.79E-15
495,3.03E-16,3.93E-15
500,3.30E-16,4.08E-15
505,3.64E-16,4.18E-15
510,3.99E-16,4.21E-15
515,4.36E-16,4.14E-15
520,4.70E-16,3.96E-15
525,4.65E-16,3.55E-15
530,4.47E-16,3.12E-15
535,4.24E-16,2.69E-15
540,3.99E-16,2.29E-15
545,3.74E-16,1.93E-15
550,3.47E-16,1.63E-15
555,3.22E-16,1.40E-15
560,2.99E-16,1.20E-15
565,2.77E-16,1.02E-15
570,2.57E-16,8.71E-16
575,2.39E-16,7.42E-16
580,2.22E-16,6.30E-16
585,2.08E-16,5.44E-16
590,1.93E-16,4.77E-16
595,1.81E-16,4.18E-16
600,1.70E-16,3.66E-16
605,1.59E-16,3.21E-16
610,1.50E-16,2.82E-16
615,1.42E-16,2.47E-16
620,1.33E-16,2.20E-16
625,1.27E-16,1.98E-16
630,1.20E-16,1.78E-16
635,1.14E-16,1.60E-16
640,1.09E-16,1.43E-16
645,1.03E-16,1.29E-16
650,9.89E-17,1.15E-16
655,9.41E-17,1.03E-16
660,9.01E-17,9.25E-17
665,8.58E-17,8.71E-17
670,8.22E-17,8.22E-17
675,7.92E-17,7.76E-17
680,7.59E-17,7.33E-17
685,7.23E-17,6.93E-17
690,6.99E-17,6.56E-17
695,6.67E-17,6.21E-17
700,6.46E-17,5.89E-17
705,6.23E-17,5.59E-17
710,5.98E-17,5.40E-17
715,5.75E-17,5.22E-17
720,5.54E-17,5.05E-17
725,5.32E-17,4.89E-17
730,5.14E-17,4.73E-17
735,4.96E-17,4.58E-17
740,4.79E-17,4.44E-17
745,4.67E-17,4.31E-17
750,4.51E-17,4.18E-17
755,4.30E-17,4.06E-17
760,4.16E-17,3.96E-17
765,4.10E-17,3.86E-17
770,3.93E-17,3.77E-17
775,3.79E-17,3.68E-17
780,3.69E-17,3.60E-17
785,3.56E-17,3.52E-17
790,3.45E-17,3.44E-17
795,3.40E-17,3.37E-17
800,3.24E-17,3.29E-17
805,3.14E-17,3.22E-17
810,3.05E-17,3.16E-17
815,2.97E-17,3.09E-17
820,2.90E-17,3.03E-17
825,2.78E-17,2.95E-17
830,2.75E-17,2.88E-17
835,2.65E-17,2.81E-17
840,2.59E-17,2.75E-17
845,2.50E-17,2.68E-17
850,2.40E-17,2.62E-17
855,2.33E-17,2.56E-17
860,2.32E-17,2.50E-17
865,2.21E-17,2.44E-17
870,2.19E-17,2.39E-17
875,2.11E-17,2.34E-17
880,2.07E-17,2.29E-17
885,2.00E-17,2.24E-17
890,1.92E-17,2.19E-17
895,1.88E-17,2.16E-17
900,1.87E-17,2.14E-17
905,1.84E-17,2.13E-17
910,1.82E-17,2.11E-17
915,1.73E-17,2.09E-17
920,1.69E-17,2.08E-17
925,1.59E-17,2.06E-17
930,1.67E-17,2.05E-17
935,1.57E-17,2.03E-17
940,1.56E-17,2.01E-17
945,1.56E-17,2.00E-17
950,1.50E-17,1.98E-17
955,1.49E-17,1.97E-17
960,1.46E-17,1.95E-17
965,1.38E-17,1.94E-17
970,1.40E-17,1.92E-17
975,1.31E-17,1.91E-17
980,1.29E-17,1.89E-17
985,1.25E-17,1.88E-17
990,1.23E-17,1.86E-17
995,1.19E-17,1.84E-17
1000,1.19E-17,1.82E-17
