#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	137853.19280121
0.37948412405063	142868.99906231
0.38434930512820	155544.56153326
0.38934085454545	171480.96182965
0.39446376052632	186030.49802421
0.39972327733333	198554.15371710
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	66880819.296053
0.37948412405063	67661847.987422
0.38434930512820	68420703.411026
0.38934085454545	69156054.626558
0.39446376052632	69873570.454930
0.39972327733333	70575051.610445
