#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.599584916,2484051.657
0.611821343,2733986.631
0.624567621,3144680.884
0.637856294,3709546.67
0.651722735,4577576.033
0.666205462,6395923.476
0.681346495,9841797.951
0.697191763,14682203.57
0.713791567,19845378.19
0.731201117,20256797.51
0.749481145,15082622.57
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.599584916,43828181.81
0.611821343,41653731.95
0.624567621,39882323.71
0.637856294,38605777.55
0.651722735,37803300.73
0.666205462,37396871.02
0.681346495,36970288.11
0.697191763,34441308.35
0.713791567,29391149.55
0.731201117,28559310.4
0.749481145,34652962.04
