#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.3747405725000000,138770.7549491700000000
0.3997232773333300,191915.7360571900000000
0.4282749400000000,299963.6834784600000000
0.4612191661538500,553597.9894674400000000
0.4996540966666700,1470759.2743306000000000
0.5450771963636400,4282022.3713201000000000
0.5995849160000000,1821536.0494122000000000
0.6662054622222200,5954407.2823951000000000
0.7494811450000000,14588457.3657050000000000
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.3747405725000000,66646919.1996640000000000
0.3997232773333300,70341497.9134050000000000
0.4282749400000000,73320250.7299600000000000
0.4612191661538500,74765528.1529600000000000
0.4996540966666700,72752764.3778800000000000
0.5450771963636400,65298264.4537410000000000
0.5995849160000000,61152652.5000010000000000
0.6662054622222200,41742392.8155360000000000
0.7494811450000000,38455229.7626430000000000
