#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.42827494,427231.4137
0.461219166,552392.883
0.499654097,1386326.709
0.545077196,4256322.178
0.599584916,2453694.267
0.666205462,6417160.2
0.749481145,15121403.73
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.42827494,45274875.97
0.461219166,52564332.51
0.499654097,56824763.36
0.545077196,50863357.44
0.599584916,44160179.86
0.666205462,37289670.92
0.749481145,34657979.21
