#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.42827494,426662.4377
0.461219166,551641.5612
0.499654097,1385455.702
0.545077196,4254491.182
0.599584916,2452621.538
0.666205462,6414059.901
0.749481145,15113693.56
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.42827494,45285403.85
0.461219166,52575497.83
0.499654097,56826706.68
0.545077196,50847027.6
0.599584916,44135571.74
0.666205462,37305187.43
0.749481145,34684838.14
