#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	138770.75494917
0.39972327733333	191915.73605719
0.42827494000000	299963.68347846
0.46121916615385	553597.98946744
0.49965409666667	1470759.2743306
0.54507719636364	4282022.3713201
0.59958491600000	1821536.0494122
0.66620546222222	5954407.2823951
0.74948114500000	14588457.365705
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	66646919.199664
0.39972327733333	70341497.913405
0.42827494000000	73320250.729960
0.46121916615385	74765528.152960
0.49965409666667	72752764.377880
0.54507719636364	65298264.453741
0.59958491600000	61152652.500001
0.66620546222222	41742392.815536
0.74948114500000	38455229.762643
