#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,138732.7978
0.399723277,191971.7623
0.42827494,299843.1065
0.461219166,553468.4793
0.499654097,1470430.032
0.545077196,4280914.832
0.599584916,1820897.518
0.666205462,5952171.978
0.749481145,14581333.31
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,66668377.37
0.399723277,70362911.4
0.42827494,73339860.93
0.461219166,74779115.7
0.499654097,72754185.7
0.545077196,65285812.24
0.599584916,61108193.66
0.666205462,41689904.96
0.749481145,38417333.21
