#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,137853.1928
0.399723277,198554.1537
0.42827494,304709.0236
0.461219166,552550.0749
0.499654097,1465899.563
0.545077196,4282721.768
0.599584916,1825537.49
0.666205462,5941185.539
0.749481145,14559061.58
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,66880819.3
0.399723277,70575051.61
0.42827494,73544196.43
0.461219166,74949269.73
0.499654097,72829213.93
0.545077196,65230994.72
0.599584916,60780661.21
0.666205462,41267286.64
0.749481145,38038738.51
