#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	137853.19280121
0.39972327733333	198554.15371710
0.42827494000000	304709.02361704
0.46121916615385	552550.07487731
0.49965409666667	1465899.5628560
0.54507719636364	4282721.7684952
0.59958491600000	1825537.4895595
0.66620546222222	5941185.5385495
0.74948114500000	14559061.581122
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	66880819.296053
0.39972327733333	70575051.610445
0.42827494000000	73544196.431643
0.46121916615385	74949269.734093
0.49965409666667	72829213.932933
0.54507719636364	65230994.717203
0.59958491600000	60780661.214628
0.66620546222222	41267286.641540
0.74948114500000	38038738.511214
