#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,335162.0298
0.399723277,395478.5026
0.42827494,484361.7637
0.461219166,656711.654
0.499654097,1461359.325
0.545077196,4260438.32
0.599584916,2368277.582
0.666205462,6209585.247
0.749481145,13115834.57
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,51302307.78
0.399723277,48313968.75
0.42827494,40315507.42
0.461219166,31539200.92
0.499654097,29751596.93
0.545077196,34673324.41
0.599584916,40425273.34
0.666205462,25554669.88
0.749481145,19542993.64
