#Parameters = {m=7}
#"Wavelength / nm"	"Total ACS [pw] (m=7) [Real Part]"
#----------------------------------------------------
400.00000000000	13072926.601692
401.00000000000	13554402.589757
402.00000000000	14070341.133043
403.00000000000	14570112.871162
404.00000000000	15037680.705332
405.00000000000	15493475.605521
406.00000000000	15963052.594239
407.00000000000	16447745.211003
408.00000000000	16923114.374295
409.00000000000	17361481.109762
410.00000000000	17753720.031652
411.00000000000	18110203.035560
412.00000000000	18443180.291337
413.00000000000	18749828.825401
414.00000000000	19012235.918001
415.00000000000	19212709.209215
416.00000000000	19348465.444418
417.00000000000	19432155.458639
418.00000000000	19479541.884663
419.00000000000	19496848.323550
420.00000000000	19477452.772088
421.00000000000	19409105.455074
422.00000000000	19282405.359727
423.00000000000	19094967.416404
424.00000000000	18850871.143993
425.00000000000	18559022.695977
426.00000000000	18232099.833716
427.00000000000	17884036.272677
428.00000000000	17521404.459619
429.00000000000	17136560.886129
430.00000000000	16711476.876231
435.00000000000	14180310.199146
436.00000000000	13758220.018405
437.00000000000	13331686.929105
438.00000000000	12856568.956766
439.00000000000	12326001.504693
440.00000000000	11781180.986174
441.00000000000	11287761.698244
442.00000000000	10889945.514673
443.00000000000	10577697.038948
444.00000000000	10289941.113619
445.00000000000	9955424.1957687
450.00000000000	8109341.5878014
455.00000000000	6808202.0236624
460.00000000000	6058390.8491990
465.00000000000	4928334.4294390
470.00000000000	4514453.3201733
475.00000000000	3993981.9866649
480.00000000000	3415021.0322377
485.00000000000	3384970.6661949
490.00000000000	2768304.9268172
495.00000000000	2924488.2302358
500.00000000000	2425610.0262043
505.00000000000	2633874.9850750
510.00000000000	2297180.2977500
515.00000000000	2584703.2668221
520.00000000000	2440466.4468970
525.00000000000	2949978.0291042
526.00000000000	2976863.6662511
527.00000000000	2989916.3755654
528.00000000000	3014792.8594685
529.00000000000	3075316.7139188
530.00000000000	3185985.7046984
531.00000000000	3348208.1297052
532.00000000000	3550791.2898587
533.00000000000	3774285.8259633
534.00000000000	3997449.5403153
535.00000000000	4203344.9023570
536.00000000000	4383421.2999685
537.00000000000	4538390.4389222
538.00000000000	4675838.0184884
539.00000000000	4805811.2691413
540.00000000000	4935929.8483204
541.00000000000	5067507.3140846
542.00000000000	5193935.7985452
543.00000000000	5301817.8629585
544.00000000000	5374252.0538412
545.00000000000	5395198.5572456
546.00000000000	5353866.9966136
547.00000000000	5247760.4094337
548.00000000000	5083669.5187535
549.00000000000	4876403.7242008
550.00000000000	4645830.9067942
551.00000000000	4412967.3133678
552.00000000000	4196076.7957763
553.00000000000	4007739.9139778
554.00000000000	3853384.2408444
555.00000000000	3731562.4238313
556.00000000000	3635670.6070204
560.00000000000	3346142.7958439
564.00000000000	3172741.5366720
565.00000000000	3200726.0279211
566.00000000000	3272644.7320502
567.00000000000	3390720.1031561
568.00000000000	3552875.0495884
569.00000000000	3752908.0285050
570.00000000000	3981115.1642642
571.00000000000	4225202.1673791
572.00000000000	4471350.5900617
573.00000000000	4705269.8247071
574.00000000000	4913161.7297879
575.00000000000	5082561.1388534
576.00000000000	5203049.2245965
577.00000000000	5266804.9966610
578.00000000000	5269041.5689279
579.00000000000	5208264.7623198
580.00000000000	5086357.1452159
581.00000000000	4908466.9497817
582.00000000000	4682669.4967309
583.00000000000	4419405.5116668
584.00000000000	4130753.0813659
585.00000000000	3829537.1066585
586.00000000000	3528399.6500211
590.00000000000	2523309.3708748
595.00000000000	1927938.3371269
600.00000000000	1592518.9890312
#Parameters = {m=10}
#"Wavelength / nm"	"Total ACS [pw] (m=10) [Real Part]"
#-----------------------------------------------------
400.00000000000	14358787.051247
401.00000000000	14926422.635703
402.00000000000	15424619.624834
403.00000000000	15870762.980575
404.00000000000	16323233.144845
405.00000000000	16821544.890022
406.00000000000	17352796.233166
407.00000000000	17867086.325503
408.00000000000	18319424.986565
409.00000000000	18699195.360460
410.00000000000	19026563.150090
411.00000000000	19326038.380450
412.00000000000	19602791.476136
413.00000000000	19839955.675068
414.00000000000	20015188.220588
415.00000000000	20119996.969874
416.00000000000	20165303.785640
417.00000000000	20169373.073751
418.00000000000	20139404.205054
419.00000000000	20063373.677096
420.00000000000	19919338.390813
421.00000000000	19696518.232720
422.00000000000	19409134.252358
423.00000000000	19089974.550987
424.00000000000	18766047.144514
425.00000000000	18435136.559404
426.00000000000	18064776.967919
427.00000000000	17618773.819481
428.00000000000	17090087.870955
429.00000000000	16515560.900069
430.00000000000	15957977.211999
435.00000000000	13540648.110108
436.00000000000	12930837.218498
437.00000000000	12358717.213967
438.00000000000	11890659.608017
439.00000000000	11533503.865442
440.00000000000	11226973.903878
441.00000000000	10884251.516052
442.00000000000	10450936.640647
443.00000000000	9944244.5035976
444.00000000000	9442755.5772429
445.00000000000	9034947.0935369
450.00000000000	7805316.3974473
455.00000000000	6557471.9660489
460.00000000000	5401984.5266457
465.00000000000	5045438.0685815
470.00000000000	4099364.3444822
475.00000000000	3869874.4091542
480.00000000000	3412325.1764431
485.00000000000	3049952.5147288
490.00000000000	2971056.3387904
495.00000000000	2553888.2640009
500.00000000000	2676432.5881397
505.00000000000	2317943.4493729
510.00000000000	2550996.1851728
515.00000000000	2358251.5638382
520.00000000000	2711787.6846149
525.00000000000	2879913.3809121
526.00000000000	2924678.6517527
527.00000000000	3016051.8571628
528.00000000000	3156210.3742083
529.00000000000	3335611.6501515
530.00000000000	3536815.9792508
531.00000000000	3740541.0876479
532.00000000000	3931463.0462860
533.00000000000	4102163.0015530
534.00000000000	4254178.0361106
535.00000000000	4395830.0596040
536.00000000000	4538051.3133422
537.00000000000	4689513.9272994
538.00000000000	4852523.0519393
539.00000000000	5021090.0407335
540.00000000000	5181566.3652388
541.00000000000	5315511.8326570
542.00000000000	5403932.1558922
543.00000000000	5431860.8187540
544.00000000000	5391860.6891385
545.00000000000	5285641.5887270
546.00000000000	5123690.0717400
547.00000000000	4922981.3450664
548.00000000000	4703509.7609812
549.00000000000	4484446.9828012
550.00000000000	4280957.7547931
551.00000000000	4102245.6699577
552.00000000000	3951057.1147652
553.00000000000	3824657.4563814
554.00000000000	3716770.8620065
555.00000000000	3620054.7115875
556.00000000000	3528425.1242510
560.00000000000	3205088.8609288
564.00000000000	3234274.8529635
565.00000000000	3340116.2914423
566.00000000000	3485560.8505528
567.00000000000	3665540.2262412
568.00000000000	3872648.8258372
569.00000000000	4097719.3124786
570.00000000000	4330362.0463385
571.00000000000	4559439.8312658
572.00000000000	4773495.7781493
573.00000000000	4961159.6340350
574.00000000000	5111596.5358450
575.00000000000	5215057.2913354
576.00000000000	5263500.9919327
577.00000000000	5251276.8866858
578.00000000000	5175767.9806719
579.00000000000	5037885.4790607
580.00000000000	4842308.7610533
581.00000000000	4597384.1750313
582.00000000000	4314633.3622890
583.00000000000	4007890.4573224
584.00000000000	3692130.9763813
585.00000000000	3382131.5439793
586.00000000000	3091113.5827770
590.00000000000	2269303.5041957
595.00000000000	1859882.0125918
600.00000000000	1457835.5842945
#Parameters = {m=12}
#"Wavelength / nm"	"Total ACS [pw] (m=12) [Real Part]"
#-----------------------------------------------------
400.00000000000	14882998.500039
401.00000000000	15358773.918685
402.00000000000	15778055.197745
403.00000000000	16230154.132651
404.00000000000	16761329.710574
405.00000000000	17338509.982810
406.00000000000	17885241.349938
407.00000000000	18346765.665137
408.00000000000	18725389.679346
409.00000000000	19062885.621433
410.00000000000	19394490.627964
411.00000000000	19717119.806304
412.00000000000	19995448.427198
413.00000000000	20194640.069310
414.00000000000	20308943.658008
415.00000000000	20362768.792940
416.00000000000	20385936.314312
417.00000000000	20385521.807991
418.00000000000	20338768.237914
419.00000000000	20213117.544216
420.00000000000	19995918.761906
421.00000000000	19709569.130681
422.00000000000	19397063.019965
423.00000000000	19088614.118288
424.00000000000	18775912.362327
425.00000000000	18416262.258838
426.00000000000	17966941.056623
427.00000000000	17425033.415247
428.00000000000	16838226.729434
429.00000000000	16277143.531908
430.00000000000	15787935.163846
435.00000000000	13193198.223552
436.00000000000	12610330.210859
437.00000000000	12142624.255093
438.00000000000	11788360.144113
439.00000000000	11477800.386141
440.00000000000	11119237.963347
441.00000000000	10662325.514143
442.00000000000	10132833.745382
443.00000000000	9617476.5214202
444.00000000000	9206604.9717392
445.00000000000	8934758.1790053
450.00000000000	7516903.8380634
455.00000000000	6589961.2603514
460.00000000000	5289237.1449610
465.00000000000	4917365.9813275
470.00000000000	4170286.5372324
475.00000000000	3694999.2087301
480.00000000000	3501844.9853001
485.00000000000	2927167.5820257
490.00000000000	3022874.3758056
495.00000000000	2487825.2035924
500.00000000000	2703152.7222620
505.00000000000	2283976.7342312
510.00000000000	2580816.8826595
515.00000000000	2337933.8807080
520.00000000000	2771250.5848973
525.00000000000	2882353.3399349
526.00000000000	2959617.0605063
527.00000000000	3086452.1318953
528.00000000000	3255558.6414654
529.00000000000	3450720.4310543
530.00000000000	3652384.0304570
531.00000000000	3843887.2538791
532.00000000000	4015946.0837047
533.00000000000	4168397.8001217
534.00000000000	4308871.4973496
535.00000000000	4448800.2490647
536.00000000000	4598493.0019963
537.00000000000	4762681.6672634
538.00000000000	4937751.0052663
539.00000000000	5111645.8584660
540.00000000000	5266260.5934030
541.00000000000	5381492.4408169
542.00000000000	5439876.5347004
543.00000000000	5430680.3047623
544.00000000000	5352293.0097829
545.00000000000	5212407.1713039
546.00000000000	5026291.0065193
547.00000000000	4813543.6954633
548.00000000000	4594233.8418956
549.00000000000	4385302.7640157
550.00000000000	4198103.1234425
551.00000000000	4037443.0559523
552.00000000000	3902108.5266425
553.00000000000	3786639.3737053
554.00000000000	3683713.2972378
555.00000000000	3586642.7586404
556.00000000000	3491350.8888027
560.00000000000	3173180.0002385
564.00000000000	3282030.3643091
565.00000000000	3409395.3483630
566.00000000000	3572660.5350827
567.00000000000	3765322.9710433
568.00000000000	3979248.0808838
569.00000000000	4205200.6085887
570.00000000000	4433251.5313671
571.00000000000	4653039.4718550
572.00000000000	4853988.0649172
573.00000000000	5025549.5532493
574.00000000000	5157548.4759244
575.00000000000	5240724.2439810
576.00000000000	5267410.0877455
577.00000000000	5232345.8734714
578.00000000000	5133429.8018497
579.00000000000	4972325.7573014
580.00000000000	4754747.4719478
581.00000000000	4490316.3712175
582.00000000000	4191941.9029444
583.00000000000	3874765.5399023
584.00000000000	3554770.5075641
585.00000000000	3247213.2900397
586.00000000000	2965114.5123542
590.00000000000	2215950.6177925
595.00000000000	1841297.6237061
600.00000000000	1413272.1895198
#Parameters = {m=15}
#"Wavelength / nm"	"Total ACS [pw] (m=15) [Real Part]"
#-----------------------------------------------------
400.00000000000	15220104.668028
401.00000000000	15621177.871181
402.00000000000	16055435.600897
403.00000000000	16591427.926278
404.00000000000	17199247.531477
405.00000000000	17786043.881471
406.00000000000	18277254.225660
407.00000000000	18669099.908085
408.00000000000	19014341.324561
409.00000000000	19364711.172477
410.00000000000	19724222.782534
411.00000000000	20049771.733322
412.00000000000	20291406.473988
413.00000000000	20433635.298972
414.00000000000	20503502.879025
415.00000000000	20542064.502325
416.00000000000	20566302.767471
417.00000000000	20554068.985080
418.00000000000	20464171.435766
419.00000000000	20274059.930814
420.00000000000	20002061.307644
421.00000000000	19695884.530880
422.00000000000	19394829.093603
423.00000000000	19096921.612098
424.00000000000	18758674.540183
425.00000000000	18329790.583643
426.00000000000	17797603.050314
427.00000000000	17206464.599913
428.00000000000	16632038.931661
429.00000000000	16129510.666809
430.00000000000	15694406.453403
435.00000000000	12914653.833556
436.00000000000	12419666.421264
437.00000000000	12047914.006924
438.00000000000	11733562.193583
439.00000000000	11380331.336189
440.00000000000	10926499.312562
441.00000000000	10388331.498070
442.00000000000	9849912.0231763
443.00000000000	9408799.6561394
444.00000000000	9111570.7844522
445.00000000000	8923380.8987794
450.00000000000	7289476.7673117
455.00000000000	6533970.0095322
460.00000000000	5281859.5939046
465.00000000000	4751618.2478361
470.00000000000	4243284.4797543
475.00000000000	3562745.0646991
480.00000000000	3539184.0098574
485.00000000000	2865983.7575119
490.00000000000	3018738.7122565
495.00000000000	2473429.7319436
500.00000000000	2684804.0599800
505.00000000000	2287447.5085078
510.00000000000	2574597.2648415
515.00000000000	2344107.8478776
520.00000000000	2799652.5863458
525.00000000000	2897810.6746708
526.00000000000	3004950.7338278
527.00000000000	3158771.9496711
528.00000000000	3345302.7410891
529.00000000000	3545097.9148156
530.00000000000	3739456.7925463
531.00000000000	3915996.4533264
532.00000000000	4071504.3519115
533.00000000000	4211637.1887060
534.00000000000	4347805.1917062
535.00000000000	4492148.4256241
536.00000000000	4652555.1930367
537.00000000000	4829077.1411197
538.00000000000	5012631.2353771
539.00000000000	5186503.2552400
540.00000000000	5330026.2243095
541.00000000000	5423287.7702607
542.00000000000	5451656.2820223
543.00000000000	5409101.3370987
544.00000000000	5299398.5021813
545.00000000000	5135026.6232062
546.00000000000	4934412.5729278
547.00000000000	4718108.5180071
548.00000000000	4504917.6190119
549.00000000000	4308790.2442758
550.00000000000	4137197.8830334
551.00000000000	3991121.6297827
552.00000000000	3866427.0589629
553.00000000000	3756180.7755452
554.00000000000	3653209.8046213
555.00000000000	3552389.2763876
556.00000000000	3452127.7448122
560.00000000000	3148156.9370155
564.00000000000	3331916.8722896
565.00000000000	3474844.3556917
566.00000000000	3649084.5460310
567.00000000000	3847646.6342829
568.00000000000	4062610.1396309
569.00000000000	4285469.1362692
570.00000000000	4507246.1780617
571.00000000000	4718477.8156586
572.00000000000	4909223.0320282
573.00000000000	5069191.0858228
574.00000000000	5188127.6937159
575.00000000000	5256484.9264957
576.00000000000	5266335.2565023
577.00000000000	5212392.5034167
578.00000000000	5092969.4636086
579.00000000000	4910665.5502599
580.00000000000	4672611.7207010
581.00000000000	4390163.0663063
582.00000000000	4078017.7485699
583.00000000000	3752853.9274096
584.00000000000	3431616.0008448
585.00000000000	3129752.0276316
586.00000000000	2859577.8506510
590.00000000000	2182342.0470831
595.00000000000	1818898.0416802
600.00000000000	1371918.0316936
#Parameters = {m=17}
#"Wavelength / nm"	"Total ACS [pw] (m=17) [Real Part]"
#-----------------------------------------------------
400.00000000000	15327426.056101
401.00000000000	15721743.914859
402.00000000000	16188472.648905
403.00000000000	16765187.017966
404.00000000000	17387880.306280
405.00000000000	17955441.476386
406.00000000000	18413578.309493
407.00000000000	18785828.389261
408.00000000000	19135660.140272
409.00000000000	19502829.704700
410.00000000000	19870258.036608
411.00000000000	20183596.691779
412.00000000000	20399539.731117
413.00000000000	20519241.187574
414.00000000000	20581160.044312
415.00000000000	20623242.605495
416.00000000000	20648692.843467
417.00000000000	20623519.810715
418.00000000000	20507256.961257
419.00000000000	20290173.669911
420.00000000000	20004700.719799
421.00000000000	19701668.949462
422.00000000000	19409063.846201
423.00000000000	19107953.336514
424.00000000000	18746359.925523
425.00000000000	18282113.523730
426.00000000000	17722279.341146
427.00000000000	17127616.040295
428.00000000000	16573467.151211
429.00000000000	16096871.053149
430.00000000000	15670215.290235
435.00000000000	12831897.675361
436.00000000000	12378868.212271
437.00000000000	12032723.890408
438.00000000000	11710236.562334
439.00000000000	11320725.206885
440.00000000000	10827487.343483
441.00000000000	10274392.388879
442.00000000000	9757217.3982161
443.00000000000	9361515.4655322
444.00000000000	9106109.6571733
445.00000000000	8930751.8102918
450.00000000000	7222214.5189362
455.00000000000	6486465.4465247
460.00000000000	5304585.5793332
465.00000000000	4678823.7818446
470.00000000000	4271046.3368608
475.00000000000	3524498.6739913
480.00000000000	3538384.6592765
485.00000000000	2862368.3086810
490.00000000000	2999633.2774458
495.00000000000	2486879.0838526
500.00000000000	2662238.9289170
505.00000000000	2305378.0582662
510.00000000000	2559119.5566421
515.00000000000	2360484.2768184
520.00000000000	2800818.0160072
525.00000000000	2913986.4154288
526.00000000000	3034663.6043676
527.00000000000	3197561.4397407
528.00000000000	3386730.1046968
529.00000000000	3582863.0559676
530.00000000000	3769300.6076208
531.00000000000	3936801.3626052
532.00000000000	4085338.7911208
533.00000000000	4222807.0366691
534.00000000000	4361274.7789039
535.00000000000	4511854.1638118
536.00000000000	4680106.1498216
537.00000000000	4863198.9359388
538.00000000000	5049464.9963909
539.00000000000	5220615.6417100
540.00000000000	5355814.8528120
541.00000000000	5436376.8368140
542.00000000000	5449913.6182730
543.00000000000	5393052.2530828
544.00000000000	5271966.3406563
545.00000000000	5100729.0767723
546.00000000000	4898258.3752956
547.00000000000	4684488.9793724
548.00000000000	4476758.9752122
549.00000000000	4287153.5006858
550.00000000000	4121360.4261203
551.00000000000	3979075.2566103
552.00000000000	3855620.3392313
553.00000000000	3744303.2478390
554.00000000000	3638826.2056011
555.00000000000	3535286.1806616
556.00000000000	3433313.1525496
560.00000000000	3143945.8472015
564.00000000000	3354941.5325822
565.00000000000	3501526.1447561
566.00000000000	3677861.4565207
567.00000000000	3877242.0026300
568.00000000000	4092108.3441564
569.00000000000	4314254.4866505
570.00000000000	4534853.2569906
571.00000000000	4744392.9102625
572.00000000000	4932717.9569295
573.00000000000	5089221.2282898
574.00000000000	5203345.0899438
575.00000000000	5265366.5210116
576.00000000000	5267400.0885741
577.00000000000	5204467.2669872
578.00000000000	5075449.7114322
579.00000000000	4883712.6071748
580.00000000000	4637240.5175912
581.00000000000	4348209.4349359
582.00000000000	4031963.0508124
583.00000000000	3705539.5225295
584.00000000000	3385907.3546306
585.00000000000	3088173.0704040
586.00000000000	2824009.8006886
590.00000000000	2172134.4426260
595.00000000000	1807820.5907329
600.00000000000	1360317.6991933
