#Parameters = {m=7}
#"Wavelength / nm"	"Total RCS [pw] (m=7) [Real Part]"
#----------------------------------------------------
400.00000000000	40330273.595215
401.00000000000	40382239.748131
402.00000000000	40371777.037723
403.00000000000	40390238.727119
404.00000000000	40471978.591405
405.00000000000	40560448.992822
406.00000000000	40571951.623025
407.00000000000	40484534.891390
408.00000000000	40358934.682860
409.00000000000	40275578.816152
410.00000000000	40255447.302305
411.00000000000	40244910.713771
412.00000000000	40175865.353096
413.00000000000	40038254.517104
414.00000000000	39894254.831183
415.00000000000	39823300.479248
416.00000000000	39852666.246191
417.00000000000	39937120.341555
418.00000000000	40004150.579447
419.00000000000	40021107.134201
420.00000000000	40025431.170856
421.00000000000	40095333.860312
422.00000000000	40287890.380183
423.00000000000	40596281.810788
424.00000000000	40957982.569600
425.00000000000	41304743.546643
426.00000000000	41614689.529373
427.00000000000	41929560.302563
428.00000000000	42324272.847454
429.00000000000	42853289.651022
430.00000000000	43511897.232476
435.00000000000	46842297.457211
436.00000000000	47567943.882245
437.00000000000	48398318.113951
438.00000000000	49280236.834605
439.00000000000	50125132.685756
440.00000000000	50864837.048883
441.00000000000	51496890.931586
442.00000000000	52083321.593406
443.00000000000	52707207.644994
444.00000000000	53412431.561435
445.00000000000	54170878.548768
450.00000000000	56705107.898227
455.00000000000	58779803.499060
460.00000000000	59453380.592053
465.00000000000	59356285.884689
470.00000000000	59085252.864979
475.00000000000	57476757.778429
480.00000000000	56352151.594145
485.00000000000	54453434.033887
490.00000000000	52721912.635436
495.00000000000	51177036.869759
500.00000000000	49338401.038558
505.00000000000	48348181.247610
510.00000000000	46810600.222316
515.00000000000	46387562.585674
520.00000000000	45343315.298311
525.00000000000	45295781.502565
526.00000000000	45334035.173239
527.00000000000	45282164.034006
528.00000000000	45136504.446165
529.00000000000	44925765.778660
530.00000000000	44699348.820260
531.00000000000	44510708.345195
532.00000000000	44398995.698527
533.00000000000	44376558.122428
534.00000000000	44426105.396740
535.00000000000	44506867.988197
536.00000000000	44568827.175172
537.00000000000	44569492.496949
538.00000000000	44487362.186129
539.00000000000	44329064.780383
540.00000000000	44127694.214389
541.00000000000	43933009.463759
542.00000000000	43797039.339890
543.00000000000	43759841.376767
544.00000000000	43839278.242117
545.00000000000	44027084.218329
546.00000000000	44293060.430463
547.00000000000	44594966.182608
548.00000000000	44891129.422671
549.00000000000	45151804.967946
550.00000000000	45366475.196635
551.00000000000	45545153.835856
552.00000000000	45713444.233308
553.00000000000	45903461.152392
554.00000000000	46142993.434717
555.00000000000	46446684.895497
556.00000000000	46811260.863617
560.00000000000	48333483.695469
564.00000000000	48929171.519771
565.00000000000	48996599.235927
566.00000000000	49082121.837336
567.00000000000	49197046.926838
568.00000000000	49337303.033783
569.00000000000	49484646.050948
570.00000000000	49611775.705710
571.00000000000	49690033.472151
572.00000000000	49697871.503535
573.00000000000	49627741.154969
574.00000000000	49489919.557679
575.00000000000	49312082.093087
576.00000000000	49135195.877371
577.00000000000	49006030.564040
578.00000000000	48968407.829355
579.00000000000	49054921.108143
580.00000000000	49280904.065115
