#Parameters = {s=7}
#"Wavelength / nm"	"Total ACS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	15231172.396227
401.00000000000	15653296.391584
402.00000000000	16080445.211613
403.00000000000	16590600.098374
404.00000000000	17176811.755722
405.00000000000	17762699.406054
406.00000000000	18271735.469489
407.00000000000	18683548.787692
408.00000000000	19034569.194097
409.00000000000	19373477.483857
410.00000000000	19715468.886802
411.00000000000	20032321.395156
412.00000000000	20280207.141472
413.00000000000	20436881.017487
414.00000000000	20516513.955294
415.00000000000	20552334.727868
416.00000000000	20564470.108569
417.00000000000	20541433.728293
418.00000000000	20450984.634896
419.00000000000	20270692.614191
420.00000000000	20010621.543685
421.00000000000	19708795.645493
422.00000000000	19401002.664139
423.00000000000	19090459.474977
424.00000000000	18743404.941992
425.00000000000	18316458.881421
426.00000000000	17795926.950788
427.00000000000	17217950.644162
428.00000000000	16648731.795376
429.00000000000	16139492.078593
430.00000000000	15690198.965886
435.00000000000	12933236.884750
440.00000000000	10911587.888838
445.00000000000	8925670.3165041
450.00000000000	7301120.7973119
455.00000000000	6517049.7305482
460.00000000000	5298895.6622654
465.00000000000	4741158.6302328
470.00000000000	4246739.9154736
475.00000000000	3566578.5971478
480.00000000000	3530855.9876526
485.00000000000	2877758.1754483
490.00000000000	3006291.5001665
495.00000000000	2486664.2597568
500.00000000000	2671949.4066236
505.00000000000	2300638.1681454
510.00000000000	2561700.6073074
515.00000000000	2356552.7186503
520.00000000000	2788825.0861214
525.00000000000	2906784.7329140
526.00000000000	3018225.4071548
527.00000000000	3172228.5083638
528.00000000000	3354872.2269750
529.00000000000	3548035.6773318
530.00000000000	3735149.7471529
531.00000000000	3906076.3036230
532.00000000000	4059271.0208151
533.00000000000	4200998.4656443
534.00000000000	4342072.6379732
535.00000000000	4493074.5244721
536.00000000000	4659863.5682318
537.00000000000	4840626.4674673
538.00000000000	5025113.2692538
539.00000000000	5196441.7143243
540.00000000000	5334793.5366624
541.00000000000	5421824.3769315
542.00000000000	5444711.2985272
543.00000000000	5398955.2850974
544.00000000000	5289160.9096890
545.00000000000	5127739.2063963
546.00000000000	4932204.7722206
547.00000000000	4721648.5884521
548.00000000000	4513283.2878692
549.00000000000	4319781.0893085
550.00000000000	4147973.0220392
551.00000000000	3998987.4730036
552.00000000000	3869538.3693995
553.00000000000	3753996.0262277
554.00000000000	3646577.1869754
555.00000000000	3543269.0894655
556.00000000000	3443037.9247436
560.00000000000	3154509.1179311
564.00000000000	3335839.0710155
565.00000000000	3474599.2666835
566.00000000000	3644992.7690369
567.00000000000	3840950.1285909
