#Parameters = {s=15}
#"Wavelength / nm"	"Total ACS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	15248575.345222
401.00000000000	15640685.697948
402.00000000000	16102515.527050
403.00000000000	16674406.262280
404.00000000000	17294700.762045
405.00000000000	17862378.453666
406.00000000000	18321400.193304
407.00000000000	18693587.049228
408.00000000000	19042173.255780
409.00000000000	19408079.353417
410.00000000000	19775511.499061
411.00000000000	20090393.045441
412.00000000000	20308551.427696
413.00000000000	20430039.597422
414.00000000000	20492941.762140
415.00000000000	20535927.069676
416.00000000000	20563281.676486
417.00000000000	20541563.080483
418.00000000000	20429670.624442
419.00000000000	20216562.471094
420.00000000000	19933726.263109
421.00000000000	19632340.034499
422.00000000000	19341866.501887
423.00000000000	19044797.985771
424.00000000000	18689220.595003
425.00000000000	18231322.149986
426.00000000000	17675902.847079
427.00000000000	17082546.998722
428.00000000000	16527636.021694
429.00000000000	16050901.879537
430.00000000000	15627108.057739
435.00000000000	12803589.543065
440.00000000000	10813185.750290
445.00000000000	8906927.0812002
450.00000000000	7210276.5405525
455.00000000000	6479395.9076351
460.00000000000	5286740.3015065
465.00000000000	4677011.3134744
470.00000000000	4258461.4969584
475.00000000000	3519062.8136236
480.00000000000	3532868.0935666
485.00000000000	2853893.2045458
490.00000000000	2997810.8795234
495.00000000000	2477262.6898039
500.00000000000	2661449.0062127
505.00000000000	2295657.0730863
510.00000000000	2557598.8593948
515.00000000000	2350855.9520219
520.00000000000	2796589.1043467
525.00000000000	2903068.2328829
526.00000000000	3021765.8982864
527.00000000000	3183801.8744328
528.00000000000	3373286.5288060
529.00000000000	3570598.5743496
530.00000000000	3758498.7142088
531.00000000000	3927118.3432257
532.00000000000	4075948.5920651
533.00000000000	4212689.5131753
534.00000000000	4349556.9397805
535.00000000000	4498098.6751898
536.00000000000	4664453.2222410
537.00000000000	4846349.4848535
538.00000000000	5032506.8475368
539.00000000000	5204745.6638763
540.00000000000	5342048.4036860
541.00000000000	5425324.5454747
542.00000000000	5441669.1164581
543.00000000000	5387219.5342281
544.00000000000	5267804.0426118
545.00000000000	5097372.8104450
546.00000000000	4894933.3108176
547.00000000000	4680686.4895302
548.00000000000	4472318.4874693
549.00000000000	4282236.2727239
550.00000000000	4116344.6758630
551.00000000000	3974402.5291264
552.00000000000	3851636.3554690
553.00000000000	3741147.6692175
554.00000000000	3636375.9602910
555.00000000000	3533191.3547050
556.00000000000	3431081.9084182
560.00000000000	3137371.0949740
564.00000000000	3345451.3888655
565.00000000000	3491821.8093228
566.00000000000	3667900.9424433
567.00000000000	3866864.0772792
568.00000000000	4081098.1538505
569.00000000000	4302431.7885733
570.00000000000	4522158.6912872
571.00000000000	4730953.6088529
572.00000000000	4918866.5039234
573.00000000000	5075478.0201114
574.00000000000	5190355.1551781
575.00000000000	5253802.3708102
576.00000000000	5257857.2552371
577.00000000000	5197368.4826998
578.00000000000	5070973.8871947
579.00000000000	4881766.2390781
580.00000000000	4637471.5566841
581.00000000000	4350057.2567314
582.00000000000	4034750.9539283
583.00000000000	3708569.7436525
584.00000000000	3388565.3039856
585.00000000000	3090004.4658463
586.00000000000	2824768.0483246
590.00000000000	2170028.8604768
595.00000000000	1807963.6611937
600.00000000000	1359152.6081878
#Parameters = {s=15}
#"Wavelength / nm"	"Total RCS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	32339361.728265
401.00000000000	31796904.438438
402.00000000000	31283625.286465
403.00000000000	30710310.883810
404.00000000000	30064524.847520
405.00000000000	29426886.347488
406.00000000000	28906770.520302
407.00000000000	28552973.875785
408.00000000000	28315753.477247
409.00000000000	28092059.789146
410.00000000000	27814239.445889
411.00000000000	27506799.061819
412.00000000000	27264606.326733
413.00000000000	27172792.878847
414.00000000000	27236250.294990
415.00000000000	27376518.964110
416.00000000000	27496537.756011
417.00000000000	27558761.835825
418.00000000000	27612999.142012
419.00000000000	27753160.339474
420.00000000000	28039151.725684
421.00000000000	28446858.423597
422.00000000000	28884669.811169
423.00000000000	29262188.722229
424.00000000000	29556676.292655
425.00000000000	29826102.858284
426.00000000000	30160115.944021
427.00000000000	30607507.093384
428.00000000000	31134543.171377
429.00000000000	31645179.183459
430.00000000000	32048062.432251
435.00000000000	33472253.167165
440.00000000000	34438988.348980
445.00000000000	35527826.660438
450.00000000000	35735681.418993
455.00000000000	36314296.708790
460.00000000000	37040536.485612
465.00000000000	37299115.921672
470.00000000000	38520103.194329
475.00000000000	38959462.769831
480.00000000000	40344149.359514
485.00000000000	41142086.733692
490.00000000000	42549237.388734
495.00000000000	43589785.118625
500.00000000000	45003316.301977
505.00000000000	46050434.001298
510.00000000000	47462198.666204
515.00000000000	48253087.758519
520.00000000000	49536102.744188
525.00000000000	49760420.654365
526.00000000000	49911152.180157
527.00000000000	50092017.137678
528.00000000000	50265874.951042
529.00000000000	50392621.275696
530.00000000000	50440377.322325
531.00000000000	50395522.750244
532.00000000000	50266061.013755
533.00000000000	50079286.538723
534.00000000000	49874688.768086
535.00000000000	49693006.274121
536.00000000000	49566308.354663
537.00000000000	49511233.091271
538.00000000000	49526297.765490
539.00000000000	49595136.623388
540.00000000000	49693685.891658
541.00000000000	49798768.183820
542.00000000000	49895788.701095
543.00000000000	49983804.507950
544.00000000000	50075827.851593
545.00000000000	50194410.172313
546.00000000000	50364710.550339
547.00000000000	50606360.247036
548.00000000000	50926651.315991
549.00000000000	51316703.366331
550.00000000000	51752121.984481
551.00000000000	52197830.999053
552.00000000000	52615494.576037
553.00000000000	52972052.479452
554.00000000000	53246504.031197
555.00000000000	53434310.375284
556.00000000000	53547464.643727
560.00000000000	53784033.766934
564.00000000000	54221054.618758
565.00000000000	54230311.260048
566.00000000000	54143876.200617
567.00000000000	53951977.598803
568.00000000000	53662375.796022
569.00000000000	53300071.389353
570.00000000000	52903526.677628
571.00000000000	52518315.332059
572.00000000000	52189695.354770
573.00000000000	51955286.016703
574.00000000000	51839631.928723
575.00000000000	51851245.885572
576.00000000000	51982749.335427
577.00000000000	52213729.765144
578.00000000000	52515576.727642
579.00000000000	52857166.256154
580.00000000000	53210254.686394
581.00000000000	53553522.739987
582.00000000000	53874697.979826
583.00000000000	54170501.463193
584.00000000000	54444742.006921
585.00000000000	54705163.246109
586.00000000000	54959873.662921
590.00000000000	55952980.782519
595.00000000000	56544251.955046
600.00000000000	56337019.007479
