#Parameters = {h=500}
#"Wavelength / nm"	"Total ACS [pw] (h=500) [Real Part]"
#------------------------------------------------------
400.00000000000	15226147.436770
401.00000000000	15661168.216466
402.00000000000	16184162.484740
403.00000000000	16783468.928606
404.00000000000	17382552.915524
405.00000000000	17909381.137094
406.00000000000	18349743.571309
407.00000000000	18743373.116901
408.00000000000	19136276.680500
409.00000000000	19536238.606876
410.00000000000	19907610.968882
411.00000000000	20203721.920218
412.00000000000	20405200.248805
413.00000000000	20532239.899524
414.00000000000	20623285.440122
415.00000000000	20699969.487716
416.00000000000	20747380.987562
417.00000000000	20725181.214120
418.00000000000	20600809.967954
419.00000000000	20378692.974177
420.00000000000	20100901.980585
421.00000000000	19818061.217947
422.00000000000	19550379.630327
423.00000000000	19269671.929149
424.00000000000	18918217.302914
425.00000000000	18453146.015302
426.00000000000	17885010.786587
427.00000000000	17280751.211614
428.00000000000	16722664.470315
429.00000000000	16252579.099007
430.00000000000	15842099.108604
435.00000000000	12964310.709527
440.00000000000	11007878.573719
445.00000000000	9011251.2212566
450.00000000000	7299330.7108543
455.00000000000	6612280.8271913
460.00000000000	5299127.2874689
465.00000000000	4784462.1423310
470.00000000000	4285370.3638016
475.00000000000	3562850.5656892
480.00000000000	3590879.3438524
485.00000000000	2854247.1963419
490.00000000000	3067559.5177901
495.00000000000	2459236.7961883
500.00000000000	2729531.0599463
505.00000000000	2272888.7389001
510.00000000000	2616683.8483176
515.00000000000	2331705.7909487
520.00000000000	2838144.9362391
525.00000000000	2895351.1416739
526.00000000000	2995639.1176422
527.00000000000	3150836.6160723
528.00000000000	3346517.3573131
529.00000000000	3560411.0493544
530.00000000000	3769577.0929008
531.00000000000	3957319.9802002
532.00000000000	4117361.1364542
533.00000000000	4254403.3774246
534.00000000000	4381221.3114043
535.00000000000	4513141.8191313
536.00000000000	4662034.3423781
537.00000000000	4831527.7455259
538.00000000000	5014668.5025330
539.00000000000	5194859.4204943
540.00000000000	5349571.8766284
541.00000000000	5455658.3637895
542.00000000000	5494830.9009674
543.00000000000	5458041.2243648
544.00000000000	5347483.7209121
545.00000000000	5175898.5943305
546.00000000000	4963674.0973875
547.00000000000	4734441.0309169
548.00000000000	4510338.1010677
549.00000000000	4308004.6522671
550.00000000000	4136279.2358948
551.00000000000	3995864.6357379
552.00000000000	3880831.2181756
553.00000000000	3781464.1541932
554.00000000000	3687554.4226069
555.00000000000	3591496.9732525
556.00000000000	3490377.2440680
560.00000000000	3148082.7339408
564.00000000000	3338935.8073446
565.00000000000	3493356.3809158
566.00000000000	3678669.5315277
567.00000000000	3885388.1694508
568.00000000000	4103847.8600700
569.00000000000	4324938.0020730
570.00000000000	4540322.8216909
571.00000000000	4742244.3094922
572.00000000000	4923098.5662344
573.00000000000	5075002.2987779
574.00000000000	5189618.3024672
575.00000000000	5258394.3255937
576.00000000000	5273264.8971682
577.00000000000	5227734.1311123
578.00000000000	5118124.6955226
579.00000000000	4944725.2313176
580.00000000000	4712565.3452577
581.00000000000	4431559.7795558
582.00000000000	4115941.4191800
583.00000000000	3782962.0200812
584.00000000000	3451063.6311677
585.00000000000	3137750.4288887
586.00000000000	2857533.9377164
590.00000000000	2179763.4382071
595.00000000000	1847783.1786596
600.00000000000	1363103.7284313
#Parameters = {h=1000}
#"Wavelength / nm"	"Total ACS [pw] (h=1000) [Real Part]"
#-------------------------------------------------------
400.00000000000	15232499.849964
401.00000000000	15654590.823554
402.00000000000	16082054.041981
403.00000000000	16592578.086115
404.00000000000	17178910.853942
405.00000000000	17764705.522710
406.00000000000	18273633.854754
407.00000000000	18685506.874997
408.00000000000	19036769.546070
409.00000000000	19375893.701727
410.00000000000	19717890.450229
411.00000000000	20034524.406848
412.00000000000	20282143.053743
413.00000000000	20438717.579086
414.00000000000	20518502.864380
415.00000000000	20554594.402712
416.00000000000	20566926.246998
417.00000000000	20543860.988046
418.00000000000	20453220.405708
419.00000000000	20272738.105159
420.00000000000	20012614.975272
421.00000000000	19710886.042727
422.00000000000	19403210.317770
423.00000000000	19092654.095818
424.00000000000	18745418.046628
425.00000000000	18318213.856801
426.00000000000	17797511.127502
427.00000000000	17219548.437051
428.00000000000	16650501.443225
429.00000000000	16141447.139021
430.00000000000	15692213.065553
435.00000000000	12934346.893836
440.00000000000	10912469.994484
445.00000000000	8926571.1044676
450.00000000000	7301463.8584123
455.00000000000	6517944.2520798
460.00000000000	5299183.2569470
465.00000000000	4741846.1161735
470.00000000000	4247114.3566094
475.00000000000	3566767.9308670
480.00000000000	3531335.9327914
485.00000000000	2877678.9870604
490.00000000000	3006764.4657283
495.00000000000	2486669.1572818
500.00000000000	2672369.4854268
505.00000000000	2300691.0252275
510.00000000000	2562110.7714906
515.00000000000	2356588.9409064
520.00000000000	2789134.0024277
525.00000000000	2906911.3562955
526.00000000000	3018315.6086940
527.00000000000	3172327.9088434
528.00000000000	3355026.6468024
529.00000000000	3548270.6417645
530.00000000000	3735461.8010577
531.00000000000	3906435.0646705
532.00000000000	4059632.0781632
533.00000000000	4201315.9779167
534.00000000000	4342316.3336273
535.00000000000	4493241.7555459
536.00000000000	4659984.6838346
537.00000000000	4840748.9429482
538.00000000000	5025289.9859807
539.00000000000	5196724.8279925
540.00000000000	5335204.4339167
541.00000000000	5422357.6720959
542.00000000000	5445326.1784384
543.00000000000	5399592.8880659
544.00000000000	5289754.8963415
545.00000000000	5128229.3225712
546.00000000000	4932557.7005608
547.00000000000	4721858.1806452
548.00000000000	4513372.8903441
549.00000000000	4319799.2785976
550.00000000000	4147978.3888922
551.00000000000	3999035.5507722
552.00000000000	3869671.0704820
553.00000000000	3754234.8420288
554.00000000000	3646915.9242521
555.00000000000	3543682.8402219
556.00000000000	3443487.0887602
560.00000000000	3154755.0761614
564.00000000000	3335971.0670664
565.00000000000	3474767.6945458
566.00000000000	3645208.5669621
567.00000000000	3841212.2990262
568.00000000000	4055429.7496812
569.00000000000	4279471.8207220
570.00000000000	4504020.1082528
571.00000000000	4718911.6559480
572.00000000000	4913327.5349789
573.00000000000	5076132.6617799
574.00000000000	5196455.6211357
575.00000000000	5264485.0426443
576.00000000000	5272438.9952296
577.00000000000	5215523.3270634
578.00000000000	5092763.4832406
579.00000000000	4907527.7205705
580.00000000000	4667586.0391048
581.00000000000	4384670.0740742
582.00000000000	4073524.6594741
583.00000000000	3750534.5561142
584.00000000000	3432106.5119739
585.00000000000	3133026.4411917
586.00000000000	2864982.4329120
590.00000000000	2184628.2226260
595.00000000000	1814611.8521370
600.00000000000	1377080.1681542
#Parameters = {h=1230}
#"Wavelength / nm"	"Total ACS [pw] (h=1230) [Real Part]"
#-------------------------------------------------------
400.00000000000	15278084.129077
401.00000000000	15699713.054997
402.00000000000	16111134.398177
403.00000000000	16607594.033817
404.00000000000	17194922.871479
405.00000000000	17794490.704193
406.00000000000	18316736.804900
407.00000000000	18730640.444660
408.00000000000	19073199.122621
409.00000000000	19402575.336753
410.00000000000	19742858.911237
411.00000000000	20066723.742970
412.00000000000	20323668.352518
413.00000000000	20483814.325021
414.00000000000	20559085.148018
415.00000000000	20586929.919228
416.00000000000	20594028.047799
417.00000000000	20572385.651044
418.00000000000	20487806.772777
419.00000000000	20312520.003030
420.00000000000	20052192.973799
421.00000000000	19744649.411704
422.00000000000	19429442.907457
423.00000000000	19114472.109652
424.00000000000	18768094.434250
425.00000000000	18345241.807183
426.00000000000	17828317.448870
427.00000000000	17250246.887665
428.00000000000	16676795.874553
429.00000000000	16161485.797267
430.00000000000	15707481.097850
435.00000000000	12954843.592574
440.00000000000	10922068.438503
445.00000000000	8934992.6151058
450.00000000000	7312349.7673828
455.00000000000	6519151.8971196
460.00000000000	5308974.3711475
465.00000000000	4742287.7550868
470.00000000000	4251527.9046689
475.00000000000	3571130.7243269
480.00000000000	3529476.6957188
485.00000000000	2884923.5908841
490.00000000000	3001727.9712860
495.00000000000	2494814.3017453
500.00000000000	2666338.3700848
505.00000000000	2308380.7373157
510.00000000000	2556766.8940845
515.00000000000	2363038.1853451
520.00000000000	2785542.7584196
525.00000000000	2911352.8792709
526.00000000000	3025686.3093922
527.00000000000	3180592.1580612
528.00000000000	3361931.6674333
529.00000000000	3552087.3183138
530.00000000000	3735523.7261192
531.00000000000	3903315.4312143
532.00000000000	4054922.0467157
533.00000000000	4197079.9032573
534.00000000000	4340430.1443642
535.00000000000	4494814.9858142
536.00000000000	4665039.5098668
537.00000000000	4848256.8662087
538.00000000000	5033516.6146899
539.00000000000	5203773.6122379
540.00000000000	5339594.0309208
541.00000000000	5423440.2682103
542.00000000000	5443453.3102934
543.00000000000	5395966.1508240
544.00000000000	5286050.8624008
545.00000000000	5126098.9112254
546.00000000000	4933140.4865427
