#Parameters = {s=30; v=35}
#"Wavelength / nm"	"Total ACS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	14482280.853150
405.00000000000	17233960.342069
406.00000000000	17728637.308770
407.00000000000	18183914.884333
408.00000000000	18593897.467884
409.00000000000	18954105.004504
410.00000000000	19260568.692654
411.00000000000	19509558.008957
412.00000000000	19697219.582396
413.00000000000	19820051.024487
414.00000000000	19875349.556925
415.00000000000	19861632.267947
416.00000000000	19778941.590328
417.00000000000	19628632.824535
418.00000000000	19413047.067850
419.00000000000	19135168.029238
420.00000000000	18798405.459773
425.00000000000	16405131.318124
430.00000000000	13538654.477535
435.00000000000	10944850.776432
440.00000000000	8850566.4489550
445.00000000000	7265747.5431747
450.00000000000	6034913.3180215
455.00000000000	5130924.8711856
460.00000000000	4394800.2859614
465.00000000000	3851871.2231062
470.00000000000	3404209.8566206
475.00000000000	3041041.3807295
480.00000000000	2781220.0410317
485.00000000000	2525811.3160117
490.00000000000	2366783.6539175
495.00000000000	2235328.6346498
500.00000000000	2112899.0155136
505.00000000000	2103574.0591226
510.00000000000	2092781.3752805
515.00000000000	2149801.0845627
520.00000000000	2396269.7278436
525.00000000000	2727782.4036158
530.00000000000	3342264.3844034
535.00000000000	4345410.8106598
536.00000000000	4538782.4312281
537.00000000000	4710769.4796093
538.00000000000	4853984.1006935
539.00000000000	4962520.5495521
540.00000000000	5032387.8435344
541.00000000000	5061740.6558704
542.00000000000	5050900.9028617
543.00000000000	5002205.4046302
544.00000000000	4919659.6866245
545.00000000000	4808512.0835315
546.00000000000	4674736.1165549
547.00000000000	4524548.0874189
548.00000000000	4363976.5278719
549.00000000000	4198524.9437753
550.00000000000	4032973.8736156
555.00000000000	3321509.1050928
560.00000000000	3028134.6946560
565.00000000000	3424288.7943879
570.00000000000	4342821.2980986
571.00000000000	4515393.0302499
572.00000000000	4662818.4856169
573.00000000000	4776719.3723705
574.00000000000	4850069.9894120
575.00000000000	4877689.8987855
576.00000000000	4856586.1113625
577.00000000000	4786163.8858113
578.00000000000	4668179.3587165
579.00000000000	4506672.9607155
580.00000000000	4307676.6842481
581.00000000000	4078791.4135301
582.00000000000	3828650.1061300
583.00000000000	3566414.3768355
584.00000000000	3301200.1100481
585.00000000000	3041486.5678582
590.00000000000	2031939.8308492
595.00000000000	1603963.4998543
600.00000000000	1395582.1629613
#Parameters = {s=30; v=35}
#"Wavelength / nm"	"Total RCS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	39971089.098997
405.00000000000	36438554.420233
406.00000000000	35596579.465318
407.00000000000	34753662.160626
408.00000000000	33928853.389143
409.00000000000	33138148.443814
410.00000000000	32394591.644896
411.00000000000	31709140.941208
412.00000000000	31091453.854888
413.00000000000	30550276.134587
414.00000000000	30093063.431646
415.00000000000	29725129.873692
416.00000000000	29448890.941943
417.00000000000	29263568.323543
418.00000000000	29165609.995137
419.00000000000	29149881.060085
420.00000000000	29210962.438875
425.00000000000	30540193.402238
430.00000000000	33176820.374797
435.00000000000	36323643.399366
440.00000000000	39570343.117573
445.00000000000	42598607.219743
450.00000000000	45435342.710025
455.00000000000	47972934.546438
460.00000000000	50325789.632679
465.00000000000	52451987.966380
470.00000000000	54390456.626987
475.00000000000	56213899.616981
480.00000000000	57818395.109631
485.00000000000	59371351.226649
490.00000000000	60752327.421939
495.00000000000	62000415.518047
500.00000000000	63214140.841830
505.00000000000	64197205.663131
510.00000000000	65102623.922050
515.00000000000	65890560.277492
520.00000000000	66303154.023088
525.00000000000	66489292.644636
530.00000000000	66152672.737496
535.00000000000	64940137.137475
536.00000000000	64666617.806142
537.00000000000	64415428.141216
538.00000000000	64200913.516766
539.00000000000	64035507.654310
540.00000000000	63928805.173136
541.00000000000	63886928.493077
542.00000000000	63912247.746872
543.00000000000	64003458.001145
544.00000000000	64156016.696184
545.00000000000	64362693.113009
546.00000000000	64614542.638535
547.00000000000	64901663.005850
548.00000000000	65214026.888750
549.00000000000	65542149.984879
550.00000000000	65877535.052583
555.00000000000	67445274.982344
560.00000000000	68393442.825352
565.00000000000	68129760.832425
570.00000000000	66772497.111740
571.00000000000	66491242.768733
572.00000000000	66245319.609374
573.00000000000	66050833.635725
574.00000000000	65921573.857149
575.00000000000	65868276.231358
576.00000000000	65898025.529430
577.00000000000	66013812.074232
578.00000000000	66214081.813048
579.00000000000	66493188.067292
580.00000000000	66841841.252508
581.00000000000	67247701.207305
582.00000000000	67696038.407375
583.00000000000	68171064.283600
584.00000000000	68656975.815165
585.00000000000	69138359.516164
590.00000000000	71093689.652985
595.00000000000	72048944.953475
600.00000000000	72572288.373940
