#Parameters = {s=15}
#"Wavelength / nm"	"Total ACS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	15190342.503437
401.00000000000	15799715.449439
402.00000000000	16437134.375575
403.00000000000	17002284.548470
404.00000000000	17463904.708621
405.00000000000	17870296.466935
406.00000000000	18291762.006929
407.00000000000	18753165.553815
408.00000000000	19213824.566392
409.00000000000	19604796.495153
410.00000000000	19885360.568222
411.00000000000	20070880.010268
412.00000000000	20213022.756263
413.00000000000	20352867.619457
414.00000000000	20486265.292064
415.00000000000	20567508.291562
416.00000000000	20546260.845005
417.00000000000	20407967.693994
418.00000000000	20187110.375923
419.00000000000	19943420.035478
420.00000000000	19717446.805818
421.00000000000	19499483.939286
422.00000000000	19234546.433906
423.00000000000	18862663.403076
424.00000000000	18366368.904205
425.00000000000	17790440.708921
426.00000000000	17218020.633072
427.00000000000	16717971.454568
428.00000000000	16297331.041540
429.00000000000	15895640.485303
430.00000000000	15428132.525301
435.00000000000	12548497.625377
440.00000000000	10353561.126286
445.00000000000	8868612.5973772
450.00000000000	7018945.5221814
455.00000000000	6229129.4208042
460.00000000000	5349960.6825640
465.00000000000	4425879.5729732
470.00000000000	4294270.8378095
475.00000000000	3402621.9046744
480.00000000000	3485681.7974441
485.00000000000	2837201.6524831
490.00000000000	2912086.6865592
495.00000000000	2500667.2988524
500.00000000000	2579964.2132259
505.00000000000	2322230.6170410
510.00000000000	2505054.6968871
515.00000000000	2364862.0040359
520.00000000000	2791156.4201951
525.00000000000	2907562.0138454
526.00000000000	3057007.3417611
527.00000000000	3243503.3895054
528.00000000000	3445493.0316119
529.00000000000	3641539.5292112
530.00000000000	3816586.8866021
531.00000000000	3965929.9476880
532.00000000000	4095447.7798642
533.00000000000	4218498.5083228
534.00000000000	4350639.0406244
535.00000000000	4503627.9320078
536.00000000000	4680809.8047888
537.00000000000	4875025.7677346
538.00000000000	5069458.1966723
539.00000000000	5241283.9829144
540.00000000000	5366968.0977124
541.00000000000	5427660.7241514
542.00000000000	5413391.3054318
543.00000000000	5325198.5099462
544.00000000000	5174603.3411153
545.00000000000	4980738.3004114
546.00000000000	4766153.5493296
547.00000000000	4552227.5245006
548.00000000000	4355314.7739323
549.00000000000	4184384.4972180
550.00000000000	4040658.8990033
551.00000000000	3919049.4712325
552.00000000000	3810831.2175631
553.00000000000	3706871.7022620
554.00000000000	3600500.8058715
555.00000000000	3489498.5551658
556.00000000000	3376787.0509720
560.00000000000	3085757.5716949
564.00000000000	3390778.2609895
565.00000000000	3555214.0548256
566.00000000000	3740791.1675635
567.00000000000	3939918.5390952
568.00000000000	4145856.3430808
569.00000000000	4352639.0736374
570.00000000000	4554511.2617534
571.00000000000	4745153.4837625
572.00000000000	4917001.0045268
573.00000000000	5060931.0434478
574.00000000000	5166529.2523656
575.00000000000	5222974.7758287
576.00000000000	5220451.2920902
577.00000000000	5151816.3859853
578.00000000000	5014180.0893812
579.00000000000	4810084.4746956
580.00000000000	4547927.4740466
581.00000000000	4241540.4296462
582.00000000000	3908858.5898819
583.00000000000	3569907.6446143
584.00000000000	3244379.5997027
585.00000000000	2949211.8227242
586.00000000000	2696549.6692057
590.00000000000	2140228.1549520
595.00000000000	1789782.5535653
600.00000000000	1294970.9542608
#Parameters = {s=15}
#"Wavelength / nm"	"Total RCS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	29554047.399260
401.00000000000	29102073.454988
402.00000000000	28548535.939408
403.00000000000	27962282.565808
404.00000000000	27461577.055725
405.00000000000	27118766.586086
406.00000000000	26903242.410746
407.00000000000	26709822.112907
408.00000000000	26447840.725792
409.00000000000	26116457.098746
410.00000000000	25805098.205079
411.00000000000	25620479.896797
412.00000000000	25601228.630240
413.00000000000	25688985.897394
414.00000000000	25777297.340107
415.00000000000	25797097.075269
416.00000000000	25770074.241036
417.00000000000	25788860.886929
418.00000000000	25941667.382423
419.00000000000	26241751.021297
420.00000000000	26616086.729968
421.00000000000	26960789.859115
422.00000000000	27219066.034630
423.00000000000	27421789.999799
424.00000000000	27660564.246392
425.00000000000	28014625.210916
426.00000000000	28487271.111924
427.00000000000	28999302.670259
428.00000000000	29443270.180455
429.00000000000	29758671.536863
430.00000000000	29973992.447681
435.00000000000	31783985.228818
440.00000000000	32714939.047929
445.00000000000	34018957.051603
450.00000000000	35151266.004053
455.00000000000	35777797.969407
460.00000000000	37303850.195715
465.00000000000	38032085.678383
470.00000000000	39470323.382471
475.00000000000	40653159.537508
480.00000000000	41893899.032240
485.00000000000	43384542.877000
490.00000000000	44509397.144804
495.00000000000	46066369.165122
500.00000000000	47105961.913381
505.00000000000	48528691.569140
510.00000000000	49462307.358607
515.00000000000	50511354.181000
520.00000000000	51270835.853039
525.00000000000	51561524.266721
526.00000000000	51706734.441947
527.00000000000	51828765.374276
528.00000000000	51894748.530699
529.00000000000	51883153.973379
530.00000000000	51788970.608071
531.00000000000	51625533.184107
532.00000000000	51420253.662891
533.00000000000	51207083.327218
534.00000000000	51018273.798141
535.00000000000	50876315.213632
536.00000000000	50789958.985149
537.00000000000	50754417.431861
538.00000000000	50754789.700765
539.00000000000	50772775.130537
540.00000000000	50793865.717881
541.00000000000	50812657.320059
542.00000000000	50835066.512019
543.00000000000	50877361.161766
544.00000000000	50961545.578232
545.00000000000	51108380.807181
546.00000000000	51331064.277502
547.00000000000	51630292.831722
548.00000000000	51992506.758311
549.00000000000	52391456.233531
550.00000000000	52793234.120480
551.00000000000	53163324.682449
552.00000000000	53473639.339170
553.00000000000	53708207.644917
554.00000000000	53865626.525571
555.00000000000	53958475.852236
556.00000000000	54009373.834580
560.00000000000	54239991.990376
564.00000000000	54442709.418669
565.00000000000	54328371.424063
566.00000000000	54116924.635120
567.00000000000	53815673.608371
568.00000000000	53446551.983904
569.00000000000	53042930.473471
570.00000000000	52644334.469117
571.00000000000	52290193.627646
572.00000000000	52014012.440027
573.00000000000	51838790.282974
574.00000000000	51774590.045131
575.00000000000	51818507.257811
576.00000000000	51956803.820912
577.00000000000	52168473.533301
578.00000000000	52429733.258115
579.00000000000	52718035.180164
580.00000000000	53015226.127651
581.00000000000	53309203.782097
582.00000000000	53594008.556270
583.00000000000	53868538.173446
584.00000000000	54134390.857376
585.00000000000	54393442.104463
586.00000000000	54645783.978393
590.00000000000	55486707.758341
595.00000000000	55680061.352701
600.00000000000	55421009.842189
