x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-3675,-3675,0,0.99535435,0.040106848,0.004882297,-0.006591392,-0.000657438,-0.000492096
-3625,-3675,0,0.99201185,0.036998902,0.007212915,-0.003870061,-0.002141078,0.000225741
-3575,-3675,0,0.98951477,0.031174792,0.008197996,-0.000267567,-0.003683189,0.000218381
-3525,-3675,0,0.98928344,0.023775805,0.007492795,0.003426208,-0.004917842,-0.000484403
-3475,-3675,0,0.9917261,0.016074855,0.005229533,0.00642545,-0.005545632,-0.001671413
-3425,-3675,0,0.99665999,0.009404232,0.001873731,0.008099574,-0.005397869,-0.003013547
-3375,-3675,0,1.0033195,0.004855136,-0.001877357,0.008125311,-0.0044881,-0.004143843
-3325,-3675,0,1.0105846,0.003069999,-0.005277352,0.006523049,-0.002991175,-0.004749236
-3275,-3675,0,1.0172035,0.004145215,-0.00767501,0.003631624,-0.00119901,-0.004631257
-3225,-3675,0,1.0220402,0.007638063,-0.008634565,2.52E-05,0.000544377,-0.003739798
-3175,-3675,0,1.0242805,0.012674129,-0.008006478,-0.003610536,0.001914057,-0.002174554
-3125,-3675,0,1.0235658,0.018129006,-0.005937948,-0.006615193,0.002662864,-0.000158135
-3075,-3675,0,1.0200385,0.022842251,-0.002827475,-0.008472588,0.002660713,0.002008328
-3025,-3675,0,1.0142903,0.025825052,0.000763456,-0.008893401,0.001909383,0.003997869
-2975,-3675,0,1.0072451,0.026422838,0.00421913,-0.007848571,0.000535733,0.005508776
-2925,-3675,0,0.9999876,0.024403978,0.006979338,-0.005553619,-0.001232414,0.006308642
-2875,-3675,0,0.99358946,0.019981766,0.00862737,-0.002413198,-0.003100987,0.006266247
-2825,-3675,0,0.98894346,0.013754367,0.008946258,0.001061447,-0.004753258,0.005369782
-2775,-3675,0,0.98664838,0.006593511,0.007936322,0.004341656,-0.005894989,0.003730906
-2725,-3675,0,0.98694772,-0.000495188,0.005792463,0.006960259,-0.006294851,0.001569734
-2675,-3675,0,0.98969972,-0.006530515,0.002873493,0.008578321,-0.005829112,-0.000804724
-2625,-3675,0,0.99442291,-0.010706329,-0.000387184,0.009035294,-0.004510118,-0.003057809
-2575,-3675,0,1.0004218,-0.012469089,-0.003545869,0.008327687,-0.002472024,-0.004869606
-2525,-3675,0,1.0068667,-0.011593668,-0.006204866,0.006605624,3.35E-05,-0.005986234
-2475,-3675,0,1.0129149,-0.008187179,-0.008063778,0.004133602,0.002678366,-0.006260131
-2425,-3675,0,1.0178175,-0.002653731,-0.008947142,0.001243369,0.005110425,-0.005672226
-2375,-3675,0,1.0210028,0.004372575,-0.008813053,-0.001713913,0.007009557,-0.004329298
-2325,-3675,0,1.0221292,0.012119683,-0.007741807,-0.004412015,0.008136772,-0.002437651
-2275,-3675,0,1.0211046,0.019775361,-0.005910398,-0.00658405,0.00836646,-0.00026201
-2225,-3675,0,1.0180724,0.026579402,-0.003559876,-0.008045504,0.00769699,0.00192191
-2175,-3675,0,1.0133744,0.031899534,-0.000958916,-0.008703022,0.006238514,0.003870302
-2125,-3675,0,1.0074931,0.035282753,0.001629448,-0.008553765,0.004183792,0.005401067
-2075,-3675,0,1.0009851,0.036485821,0.003974516,-0.007673338,0.001772556,0.006404582
-2025,-3675,0,0.99441928,0.035473958,0.005896769,-0.006197691,-0.000746097,0.006839105
-1975,-3675,0,0.98832047,0.032403223,0.007277523,-0.004301342,-0.003142045,0.006716878
-1925,-3675,0,0.98312789,0.027586017,0.008059569,-0.00217395,-0.005223035,0.006085611
-1875,-3675,0,0.97917181,0.021447333,0.008242574,-5.05E-07,-0.006844959,0.005012689
-1825,-3675,0,0.97666574,0.014475523,0.007872567,0.002056599,-0.007912643,0.003578511
-1775,-3675,0,0.97571003,0.007178515,0.007030776,0.003868197,-0.008380781,0.001874249
-1725,-3675,0,0.9763068,4.21E-05,0.005820307,0.005344268,-0.008251623,3.03E-06
-1675,-3675,0,0.97837573,-0.006503538,0.004355171,0.006434027,-0.007572326,-0.001918422
-1625,-3675,0,0.98177183,-0.012108391,0.002749144,0.007122082,-0.006431349,-0.003763796
-1575,-3675,0,0.98630029,-0.016516924,0.001108492,0.007420804,-0.004950316,-0.005405632
-1525,-3675,0,0.9917289,-0.019576427,-0.00047445,0.007363656,-0.003271283,-0.006728705
-1475,-3675,0,0.99779606,-0.021233451,-0.00192555,0.006997084,-0.001540137,-0.007644699
-1425,-3675,0,1.0042225,-0.021523474,-0.003190233,0.006375015,0.000112794,-0.008103523
-1375,-3675,0,1.0107205,-0.020555481,-0.004234463,0.00555428,0.001587306,-0.008099061
-1325,-3675,0,1.0170081,-0.018491179,-0.005042161,0.004593,0.002824882,-0.007667939
-1275,-3675,0,1.0228262,-0.015520778,-0.005613556,0.003547555,0.003809521,-0.00688109
-1225,-3675,0,1.0279565,-0.011841485,-0.005960924,0.002471975,0.004560286,-0.005831517
-1175,-3675,0,1.0322344,-0.007637683,-0.006105256,0.001414988,0.005117782,-0.004620642
-1125,-3675,0,1.0355601,-0.003068337,-0.006071461,0.000418681,0.005527041,-0.003346225
-1075,-3675,0,1.0379009,0.001736889,-0.005887275,-0.000484165,0.005823139,-0.002093315
-1025,-3675,0,1.0392882,0.006678389,-0.005579792,-0.00127165,0.006022601,-0.000928515
-975,-3675,0,1.0398043,0.011676112,-0.00517605,-0.001932439,0.00612102,0.000100756
-925,-3675,0,1.0395656,0.016658545,-0.004702166,-0.002464998,0.006099572,0.000967296
-875,-3675,0,1.0387037,0.021553714,-0.004183807,-0.002875713,0.005934934,0.001661264
-825,-3675,0,1.0373514,0.026280832,-0.003646168,-0.003174879,0.005611481,0.00218744
-775,-3675,0,1.0356275,0.030749537,-0.003112757,-0.003374516,0.005131535,0.002562207
-725,-3675,0,1.0336335,0.034867082,-0.002604448,-0.003485814,0.004518841,0.00280898
-675,-3675,0,1.0314496,0.038549572,-0.002137497,-0.003517818,0.003819391,0.002954128
-625,-3675,0,1.02914,0.041735593,-0.001721378,-0.003478268,0.003092858,0.003021716
-575,-3675,0,1.0267589,0.04439941,-0.00136036,-0.003373515,0.002402926,0.003030827
-525,-3675,0,1.0243526,0.046556823,-0.001051517,-0.003210221,0.001805876,0.002992886
-475,-3675,0,1.0219675,0.048262954,-0.000788911,-0.002996106,0.001339529,0.002912357
-425,-3675,0,1.0196502,0.049603052,-0.000565176,-0.002740417,0.001018002,0.002788125
-375,-3675,0,1.0174477,0.050676309,-0.000374708,-0.002452829,8.30E-04,0.002616117
-325,-3675,0,1.0154068,0.051574945,-0.000214841,-0.002143095,0.000743006,0.002393404
-275,-3675,0,1.0135713,0.052368373,-8.66E-05,-0.001819931,0.000711278,0.002119721
-225,-3675,0,1.0119808,0.053091489,6.32E-06,-0.001489903,0.000687069,0.00179896
-175,-3675,0,1.0106695,0.053744107,6.14E-05,-0.001157638,0.000629725,0.001438503
-125,-3675,0,1.0096624,0.054295026,7.84E-05,-0.00082559,0.00051547,0.001047594
-75,-3675,0,1.008981,0.054700114,6.23E-05,-0.000494572,0.00034017,0.00063623
-25,-3675,0,1.008637,0.05491513,2.34E-05,-0.00016478,0.000119168,0.000213433
25,-3675,0,1.0086371,0.054915041,-2.35E-05,0.000164752,-0.000119156,-2.13E-04
75,-3675,0,1.0089809,0.054700058,-6.23E-05,0.000494647,-0.000340217,-0.000636323
125,-3675,0,1.0096626,0.054295316,-7.85E-05,0.000825618,-0.000515515,-0.001047697
175,-3675,0,1.010669,0.053744402,-6.14E-05,0.001157696,-0.000629774,-0.001438448
225,-3675,0,1.0119808,0.053091876,-6.33E-06,0.00148987,-0.000687055,-0.001799023
275,-3675,0,1.0135715,0.052368302,8.67E-05,0.001819869,-0.000711303,-2.12E-03
325,-3675,0,1.0154071,0.051575117,0.000214806,0.002143102,-0.000742979,-0.00239339
375,-3675,0,1.0174477,0.050676566,0.000374701,0.002452891,-0.000830023,-0.002616269
425,-3675,0,1.0196502,0.049603231,0.00056517,0.002740471,-0.001018004,-0.002788182
475,-3675,0,1.0219679,0.048262876,0.00078887,0.002996169,-0.00133963,-0.002912415
525,-3675,0,1.0243523,0.046556517,0.001051501,0.003210216,-0.001805806,-0.002992911
575,-3675,0,1.0267589,0.044399478,0.001360332,0.003373468,-0.002402918,-0.003030712
625,-3675,0,1.02914,0.041735515,0.001721462,0.003478296,-0.003092804,-0.003021682
675,-3675,0,1.0314496,0.038549602,0.002137395,0.003517856,-3.82E-03,-0.002954172
725,-3675,0,1.0336335,0.034867283,0.002604427,0.003485777,-0.004518932,-0.002809058
775,-3675,0,1.0356276,0.030749798,0.003112807,0.003374515,-0.005131423,-0.002562252
825,-3675,0,1.0373515,0.026280914,0.003646105,0.003174826,-0.005611545,-0.002187469
875,-3675,0,1.0387042,0.021553785,0.004183791,0.002875682,-0.005934898,-0.001661236
925,-3675,0,1.0395653,0.016658254,0.004702156,0.002464986,-0.006099604,-0.000967386
975,-3675,0,1.0398042,0.011675889,0.005176037,0.001932429,-0.006121061,-0.000100769
1025,-3675,0,1.039288,0.006678627,0.005579809,1.27E-03,-0.006022584,0.000928561
1075,-3675,0,1.0379007,0.001736929,0.005887224,0.000484245,-0.005823209,0.002093291
1125,-3675,0,1.03556,-0.003068504,0.006071537,-0.00041871,-0.005526882,0.003346178
1175,-3675,0,1.0322342,-0.007637757,0.00610524,-0.001414944,-0.005117721,0.004620665
1225,-3675,0,1.0279567,-0.011841496,0.005960997,-0.002471975,-0.004560335,0.005831464
1275,-3675,0,1.0228269,-0.015520871,0.005613608,-0.003547608,-0.003809532,0.006881003
1325,-3675,0,1.0170076,-0.01849116,0.005042206,-0.004593002,-0.002824953,0.007667991
1375,-3675,0,1.0107203,-0.020555742,0.004234454,-0.005554355,-0.001587334,0.008099
1425,-3675,0,1.0042226,-0.021523163,0.003190286,-0.006374939,-0.000112803,0.008103389
1475,-3675,0,0.99779594,-0.021232959,0.001925506,-7.00E-03,0.001540035,0.007644721
1525,-3675,0,0.99172896,-0.019576188,0.000474403,-0.007363629,0.003271331,0.006728673
1575,-3675,0,0.98630047,-0.016516816,-0.001108525,-0.007420829,0.004950227,0.005405575
1625,-3675,0,0.98177171,-0.012108012,-0.002749099,-0.007122036,0.00643124,0.00376376
1675,-3675,0,0.97837561,-0.006503657,-0.004355127,-0.00643403,0.007572367,0.001918421
1725,-3675,0,0.97630703,4.20E-05,-0.005820265,-0.005344282,0.008251679,-3.18E-06
1775,-3675,0,0.97571039,0.007178735,-0.007030772,-0.003868202,0.008380811,-0.001874408
1825,-3675,0,0.97666556,0.014475493,-0.00787252,-0.002056669,0.007912658,-0.003578551
1875,-3675,0,0.97917199,0.02144748,-0.008242519,4.97E-07,0.006844929,-0.005012673
1925,-3675,0,0.98312807,0.027586054,-0.008059559,0.002173971,0.005223136,-0.006085579
1975,-3675,0,0.98832041,0.032403216,-0.007277572,0.004301365,0.003142084,-0.006717105
2025,-3675,0,0.99441916,0.035473913,-0.005896825,0.006197736,0.000746095,-0.006839166
2075,-3675,0,1.0009849,0.036485881,-0.003974471,0.007673363,-0.00177255,-0.006404574
2125,-3675,0,1.0074928,0.035282962,-0.001629488,0.008553809,-0.004183771,-0.005401065
2175,-3675,0,1.0133743,0.031899631,0.000958843,0.008703105,-0.006238374,-0.003870294
2225,-3675,0,1.0180721,0.026579488,0.003559816,0.008045457,-0.007697129,-0.001921866
2275,-3675,0,1.0211048,0.019775445,0.00591032,0.006584106,-0.008366395,0.000261986
2325,-3675,0,1.0221293,0.01211937,0.007741773,0.004412024,-0.008136777,0.002437562
2375,-3675,0,1.0210029,0.004372421,0.00881307,0.001713935,-0.007009566,0.004329259
2425,-3675,0,1.0178173,-0.002653542,0.008947211,-0.001243377,-0.005110455,0.005672309
2475,-3675,0,1.0129145,-0.008186888,0.008063796,-0.004133592,-0.002678463,0.006260118
2525,-3675,0,1.0068669,-0.011593552,0.006204902,-0.006605616,-3.35E-05,0.005986102
2575,-3675,0,1.0004215,-0.012468801,0.003545832,-0.008327643,0.002472066,0.004869721
2625,-3675,0,0.99442261,-0.010706227,0.000387199,-0.00903534,0.004510016,0.003057747
2675,-3675,0,0.98969936,-0.006530648,-0.002873504,-0.008578259,0.005829195,0.000804744
2725,-3675,0,0.98694754,-0.000495565,-0.005792453,-0.006960247,0.006294827,-0.001569637
2775,-3675,0,0.98664838,0.006593374,-0.007936333,-0.004341582,0.005894993,-0.00373091
2825,-3675,0,0.98894364,0.013754298,-0.008946252,-0.001061401,0.00475333,-0.005369802
2875,-3675,0,0.99358934,0.019981842,-0.008627389,0.00241321,0.003101044,-0.006266241
2925,-3675,0,0.99998778,0.024404198,-0.00697933,0.005553687,0.001232481,-0.006308642
2975,-3675,0,1.0072446,0.026422633,-0.004219118,0.007848558,-0.000535697,-0.005508778
3025,-3675,0,1.0142902,0.025825003,-0.000763423,0.008893413,-0.001909431,-0.003997827
3075,-3675,0,1.0200384,0.022842318,0.002827463,0.008472553,-0.002660751,-0.002008357
3125,-3675,0,1.0235655,0.01812917,0.005937993,6.62E-03,-0.002662829,0.00015817
3175,-3675,0,1.0242802,0.012674265,0.008006505,0.003610536,-0.001914102,0.002174519
3225,-3675,0,1.0220405,0.007638336,0.008634549,-2.52E-05,-0.000544385,0.003739872
3275,-3675,0,1.0172038,0.004144931,0.007675034,-0.003631634,0.001199043,0.004631218
3325,-3675,0,1.0105845,0.003069992,0.005277305,-0.006523085,0.002991185,0.004749148
3375,-3675,0,1.0033195,0.004855488,0.001877332,-0.008125369,0.004488066,0.004143832
3425,-3675,0,0.99666011,0.009404769,-0.001873787,-0.008099552,0.005397984,0.003013502
3475,-3675,0,0.9917264,0.016074605,-0.005229422,-0.006425383,0.005545655,0.001671381
3525,-3675,0,0.9892832,0.023775674,-0.007492795,-0.003426188,0.004917903,0.00048435
3575,-3675,0,0.98951489,0.031175032,-0.008197991,0.000267584,0.003683164,-0.000218346
3625,-3675,0,0.99201208,0.036998939,-0.007212944,0.003870058,0.002141163,-0.000225737
3675,-3675,0,0.99535394,0.040106706,-0.004882275,0.006591308,0.000657395,0.000492073
-3675,-3625,0,0.99027687,0.036229473,0.007011305,-0.004328292,-0.002110471,-0.000600321
-3625,-3625,0,0.98873901,0.030947708,0.008211692,-7.54E-04,-0.003732817,-0.00039475
-3575,-3625,0,0.98901415,0.023552269,0.007661557,0.003025499,-0.005060717,-0.001010969
-3525,-3625,0,0.99192262,0.015870154,0.005487834,0.006183778,-0.005758003,-0.002191574
-3475,-3625,0,0.99728388,0.009236365,0.002149915,0.008047289,-0.00562992,-0.003569161
-3425,-3625,0,1.0043392,0.004766231,-0.001653437,0.008222128,-0.004668395,-0.004729972
-3375,-3625,0,1.0119089,0.003091026,-0.005137123,0.006698015,-0.003068609,-0.005312874
-3325,-3625,0,1.018696,0.004267138,-0.007613631,0.003807036,-0.001164498,-0.005094109
-3275,-3625,0,1.0235405,0.007798201,-0.008618608,0.000138488,0.000649553,-0.004026929
-3225,-3625,0,1.0256373,0.01275245,-0.007988401,-0.00358923,0.002004833,-0.002245043
-3175,-3625,0,1.0246763,0.017958788,-0.005873999,-0.006675896,0.002634931,-2.61E-05
-3125,-3625,0,1.0208802,0.022236198,-0.002693037,-0.008570355,0.00242199,0.002271636
-3075,-3625,0,1.0149378,0.024610016,0.000964318,-0.008963161,0.001410491,0.004279486
-3025,-3625,0,1.0078639,0.024476241,0.004453125,-0.007825686,-0.00021128,0.005684312
-2975,-3625,0,1.0008081,0.021687848,0.007190411,-0.005394008,-0.002152584,0.00627555
-2925,-3625,0,0.9948625,0.016557967,0.008750038,-0.002108041,-0.004073375,0.005971251
-2875,-3625,0,0.99089026,0.009785928,0.008921357,0.001479473,-0.005637816,0.004822482
-2825,-3625,0,0.98940802,0.002328726,0.007725175,0.004803187,-0.006563222,0.003000237
-2775,-3625,0,0.9905321,-0.004762645,0.005390898,0.007376298,-0.00665713,0.000768087
-2725,-3625,0,0.99400145,-0.010490843,0.002301191,0.008853046,-0.005841406,-0.001553173
-2675,-3625,0,0.99921823,-0.014072182,-0.001066271,0.009077739,-0.00417373,-0.003623598
-2625,-3625,0,1.0053673,-0.015045069,-0.00424362,0.008090885,-0.001836977,-0.005149986
-2575,-3625,0,1.0115643,-0.013278721,-0.006822508,0.006082007,0.0008899,-0.005909384
-2525,-3625,0,1.0169607,-0.008994903,-0.008504233,0.003361463,0.003659257,-0.005789335
-2475,-3625,0,1.0208509,-0.002714698,-0.009129573,0.000301279,0.006106623,-0.004805801
-2425,-3625,0,1.022754,0.004824346,-0.008683926,-0.002718893,0.007905044,-0.003101905
-2375,-3625,0,1.0224488,0.012773979,-0.007282306,-0.005360703,0.00881468,-0.0009222
-2325,-3625,0,1.0199826,0.020275317,-0.005140213,-0.007361397,0.008717903,0.001427506
-2275,-3625,0,1.0156411,0.026559584,-0.002534803,-0.008554591,0.007634167,0.003632393
-2225,-3625,0,1.0098963,0.031023389,0.000234752,-0.008876172,0.005710783,0.005419819
-2175,-3625,0,1.0033383,0.0332787,0.002884522,-0.008357447,0.003191631,0.006597408
-2125,-3625,0,0.99659908,0.03317064,0.005175026,-0.007109026,0.000375443,0.007072175
-2075,-3625,0,0.99028599,0.030773558,0.006930332,-0.005298797,-0.002431937,0.006849817
-2025,-3625,0,0.98492259,0.026358265,0.008046774,-0.003127379,-0.004957016,0.00601351
-1975,-3625,0,0.9809078,0.020349015,0.008491646,-0.000804183,-0.006985366,0.004695353
-1925,-3625,0,0.97849727,0.013268234,0.008294275,0.001473884,-0.008375647,0.003046242
-1875,-3625,0,0.97779822,0.005681613,0.007532831,0.003538773,-0.009059001,0.001210803
-1825,-3625,0,0.9787873,-0.001851249,0.006317962,0.005262707,-0.009030227,-0.000683973
-1775,-3625,0,0.98133075,-0.008820087,0.004777406,0.006562953,-0.00833806,-0.002531626
-1725,-3625,0,0.98521835,-0.014795585,0.003042671,0.007401727,-0.007073842,-0.004241495
-1675,-3625,0,0.99018943,-0.019449316,0.001238129,0.007780941,-0.005362484,-0.005732327
-1625,-3625,0,0.9959597,-0.022565953,-0.000526096,0.007734482,-0.003353947,-0.006928214
-1575,-3625,0,1.0022378,-0.024044339,-0.002159056,0.007318083,-0.00121235,-0.007761659
-1525,-3625,0,1.0087385,-0.023893602,-0.003590868,0.006600027,0.000896526,-0.008180263
-1475,-3625,0,1.0151886,-0.022215517,-0.004773311,0.005652804,0.002821511,-0.008155281
-1425,-3625,0,1.0213301,-0.019195218,-0.005679627,0.004547382,0.00444252,-0.007690737
-1375,-3625,0,1.0269272,-0.01507179,-0.006302193,0.003349463,0.005683562,-0.006826638
-1325,-3625,0,1.0317695,-0.010114003,-0.006650399,0.002118069,0.006520367,-0.005635692
-1275,-3625,0,1.0356841,-0.004599491,-0.006747383,0.000905307,0.006976997,-0.004215691
-1225,-3625,0,1.0385442,0.001214084,-0.006625617,-0.000244218,0.007115346,-0.002675243
-1175,-3625,0,1.0402802,0.007105229,-0.006323181,-0.001293034,0.007017515,-0.001122928
-1125,-3625,0,1.0408854,0.012900797,-0.005879618,-0.002212043,0.006765944,0.000346166
-1075,-3625,0,1.0404141,0.018478151,-0.005332508,-0.00298173,0.006426774,0.001657171
-1025,-3625,0,1.0389773,0.023759663,-0.004715784,-0.003592467,0.00603965,0.002759454
-975,-3625,0,1.0367274,0.028703222,-0.004058984,-0.004044837,0.005616405,0.003626241
-925,-3625,0,1.0338385,0.033282563,-0.003387353,-0.004348612,0.005146718,0.004253617
-875,-3625,0,1.0304904,0.0374761,-0.002723316,-0.00452024,0.004611231,0.004654188
-825,-3625,0,1.0268493,0.04125474,-0.0020869,-0.004579913,0.003994946,0.004854766
-775,-3625,0,1.023056,0.044578329,-0.001496047,-0.004548121,0.003297439,0.004890424
-725,-3625,0,1.0192211,0.047403,-0.000966284,-0.004443339,0.002539011,0.004799886
-675,-3625,0,1.0154228,0.049690161,-0.000509009,-0.004280267,0.001760321,0.004621305
-625,-3625,0,1.0117184,0.051418517,-0.000130846,-0.004069137,0.001015211,0.004387471
-575,-3625,0,1.008145,0.05260133,0.00016776,-0.003817213,0.000359939,0.004123414
-525,-3625,0,1.0047337,0.053289611,0.000391908,-0.00352987,-0.000157495,0.003844418
-475,-3625,0,1.0015116,0.053571187,0.000550616,-0.003212222,-0.000507635,0.003556536
-425,-3625,0,0.99850893,0.05356155,0.00065428,-0.002870524,-0.000685271,0.003258915
-375,-3625,0,0.99575698,0.053385407,0.000712359,-0.002512604,-0.00070887,0.002946723
-325,-3625,0,0.99328721,0.053157613,0.000731084,-0.002147163,-0.000616625,0.002614882
-275,-3625,0,0.9911291,0.052965343,0.000712957,-0.001782956,-0.00045849,0.002259774
-225,-3625,0,0.98930621,0.052856229,0.000657856,-0.001427674,-0.000284432,0.001881769
-175,-3625,0,0.98783541,0.052837536,0.00056513,-0.001086268,-0.000135601,0.001483312
-125,-3625,0,0.98672742,0.052883606,0.00043595,-0.000760794,-3.71E-05,0.0010695
-75,-3625,0,0.98598778,0.052951071,0.000275771,-0.000449741,5.95E-06,0.000645382
-25,-3625,0,0.98561805,0.052997999,9.44E-05,-0.000148696,7.23E-06,0.000215706
25,-3625,0,0.98561811,0.052997708,-9.44E-05,0.000148704,-7.20E-06,-0.000215723
75,-3625,0,0.98598754,0.052951273,-0.00027583,0.000449749,-6.09E-06,-0.000645375
125,-3625,0,0.98672795,0.052883897,-0.000435963,0.000760829,3.70E-05,-0.001069488
175,-3625,0,0.98783547,0.05283723,-0.000565136,0.001086275,0.000135579,-0.001483285
225,-3625,0,0.98930603,0.052856475,-0.000657838,0.001427649,0.000284254,-0.001881652
275,-3625,0,0.99112916,0.052965336,-0.000712933,0.001782981,0.000458606,-0.002259887
325,-3625,0,0.99328727,0.053157806,-0.000731096,0.002147118,0.000616599,-0.002614947
375,-3625,0,0.99575686,0.053385638,-0.000712371,0.002512581,0.00070876,-0.002946675
425,-3625,0,0.99850917,0.053561479,-0.000654283,0.002870608,0.000685253,-0.003258809
475,-3625,0,1.0015116,0.053571001,-0.000550587,0.003212191,0.000507726,-0.003556548
525,-3625,0,1.0047334,0.053289607,-0.000391888,0.003529907,0.00015749,-0.003844362
575,-3625,0,1.0081451,0.052601498,-0.000167779,0.003817266,-0.000359957,-0.004123374
625,-3625,0,1.0117185,0.051418439,0.000130826,0.004069145,-0.001015079,-0.004387518
675,-3625,0,1.0154231,0.049689788,0.000509062,0.004280296,-0.001760391,-0.004621346
725,-3625,0,1.0192207,0.047403242,0.000966291,0.004443342,-0.002539127,-0.004799926
775,-3625,0,1.0230558,0.04457818,0.001496076,0.004548109,-0.003297418,-0.004890401
825,-3625,0,1.0268493,0.041254357,0.002086913,0.004579848,-0.003995005,-0.004854731
875,-3625,0,1.0304903,0.037475936,0.002723304,0.004520233,-0.004611379,-0.004654262
925,-3625,0,1.0338384,0.033282582,0.003387323,0.004348613,-0.005146602,-0.004253555
975,-3625,0,1.0367272,0.028703287,0.00405899,0.00404486,-0.005616365,-0.003626336
1025,-3625,0,1.0389774,0.02375981,0.004715783,0.00359249,-0.006039694,-0.002759281
1075,-3625,0,1.040414,0.018478349,0.005332521,0.002981762,-0.006426763,-0.001657077
1125,-3625,0,1.0408852,0.012900585,0.005879581,0.002212063,-0.006765879,-0.000346211
1175,-3625,0,1.0402801,0.007105073,0.006323202,0.001293027,-0.007017354,0.001122923
1225,-3625,0,1.0385437,0.001213785,0.006625648,0.000244181,-0.007115468,0.002675298
1275,-3625,0,1.035684,-0.004599647,0.006747349,-0.000905246,-0.006977,0.004215714
1325,-3625,0,1.0317693,-0.010114351,0.006650411,-0.002118112,-0.006520511,0.005635822
1375,-3625,0,1.026927,-0.015071381,0.00630221,-0.003349467,-0.005683645,0.006826689
1425,-3625,0,1.0213299,-0.019195199,0.005679599,-0.004547355,-0.004442493,0.007690716
1475,-3625,0,1.0151885,-0.022215351,0.004773292,-0.005652834,-0.002821507,0.008155147
1525,-3625,0,1.0087385,-0.023892667,0.00359084,-0.006600027,-0.000896507,0.008180236
1575,-3625,0,1.0022378,-0.024044359,0.002159043,-0.00731808,0.001212431,0.007761693
1625,-3625,0,0.99595964,-0.022565957,0.000526061,-0.007734494,0.003354007,0.006928176
1675,-3625,0,0.99018967,-0.019449588,-0.001238127,-0.007780969,0.005362625,0.005732304
1725,-3625,0,0.98521817,-0.014795588,-0.003042674,-0.007401669,0.007073854,0.004241465
1775,-3625,0,0.98133075,-0.008820143,-0.004777376,-0.006562961,0.008337986,0.00253156
1825,-3625,0,0.97878671,-0.001851338,-0.006318,-0.005262697,0.009030202,0.000683858
1875,-3625,0,0.97779787,0.00568158,-0.007532821,-0.003538778,0.00905897,-0.001210891
1925,-3625,0,0.97849709,0.013268283,-0.008294269,-0.00147384,0.008375846,-0.003046196
1975,-3625,0,0.98090792,0.020348584,-0.008491629,0.000804138,0.006985314,-0.004695551
2025,-3625,0,0.98492253,0.026358455,-0.008046751,0.00312737,0.004956885,-0.006013544
2075,-3625,0,0.99028623,0.03077342,-0.006930308,0.005298816,0.002431929,-0.006849744
2125,-3625,0,0.9965992,0.033170938,-0.005175033,0.007109063,-0.000375322,-0.007072273
2175,-3625,0,1.0033383,0.033278905,-0.002884514,0.008357474,-0.003191741,-0.006597336
2225,-3625,0,1.0098966,0.031023543,-0.000234741,0.008876187,-0.005710704,-0.005419874
2275,-3625,0,1.0156412,0.026559673,0.002534788,0.008554585,-0.007634251,-0.003632368
2325,-3625,0,1.0199823,0.02027493,0.005140202,0.007361372,-0.008717907,-0.001427516
2375,-3625,0,1.0224485,0.012773888,0.007282324,0.005360703,-0.00881465,0.000922079
2425,-3625,0,1.0227537,0.004824748,0.008683955,0.002718919,-0.007905149,0.003101956
2475,-3625,0,1.0208509,-0.002714812,0.009129618,-0.000301292,-0.006106587,0.004805923
2525,-3625,0,1.0169604,-0.008994943,0.008504281,-0.003361458,-0.003659278,0.005789193
2575,-3625,0,1.0115645,-0.013279067,0.006822537,-0.006082055,-0.000889936,0.005909294
2625,-3625,0,1.005367,-0.015045229,0.004243649,-0.008090824,0.00183694,0.005150024
2675,-3625,0,0.99921787,-0.014072008,0.001066289,-0.009077759,0.004173539,0.003623699
2725,-3625,0,0.99400097,-0.010490659,-0.002301157,-0.008853135,0.005841519,0.00155314
2775,-3625,0,0.99053198,-0.00476259,-0.005390849,-0.007376306,0.006657165,-0.000768134
2825,-3625,0,0.98940802,0.002328727,-0.00772518,-0.0048032,0.006563081,-0.003000188
2875,-3625,0,0.99088997,0.009786155,-0.008921347,-0.001479483,0.005637851,-0.004822414
