Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(Theta)[dB(nm^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(nm^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
0,0,1.05E+02,1.05E+02,93.042,-4.29E+01,358.832,4.00E+01
1,0,1.03E+02,1.03E+02,92.194,-2.76E+01,176.209,4.00E+01
2,0,9.28E+01,9.28E+01,85.305,-2.92E+01,183.646,4.00E+01
3,0,9.14E+01,9.14E+01,282.631,-3.33E+01,326.339,4.00E+01
4,0,9.49E+01,9.49E+01,273.287,-2.64E+01,341.553,4.00E+01
5,0,8.91E+01,8.91E+01,252.702,-3.87E+01,342.088,4.00E+01
6,0,8.57E+01,8.57E+01,169.696,-2.82E+01,161.459,4.00E+01
7,0,8.79E+01,8.79E+01,151.018,-2.90E+01,160.959,4.00E+01
8,0,8.47E+01,8.47E+01,156.119,-3.50E+01,329.809,4.00E+01
9,0,7.80E+01,7.80E+01,123.261,-2.68E+01,333.234,4.00E+01
10,0,8.33E+01,8.33E+01,61.076,-4.11E+01,1.885,4.00E+01
11,0,8.53E+01,8.53E+01,42.021,-2.64E+01,139.245,4.00E+01
12,0,8.17E+01,8.17E+01,355.881,-2.72E+01,145.672,4.00E+01
13,0,8.39E+01,8.39E+01,282.224,-3.36E+01,273.967,4.00E+01
14,0,8.46E+01,8.46E+01,246.161,-2.59E+01,296.027,4.00E+01
15,0,8.10E+01,8.10E+01,185.868,-4.05E+01,299.887,4.00E+01
16,0,8.32E+01,8.32E+01,116.173,-2.60E+01,113.375,4.00E+01
17,0,8.24E+01,8.24E+01,76.589,-2.66E+01,117.057,4.00E+01
18,0,7.91E+01,7.91E+01,2.242,-3.43E+01,252.703,4.00E+01
19,0,8.17E+01,8.17E+01,301.658,-2.51E+01,278.77,4.00E+01
20,0,7.92E+01,7.92E+01,257.679,-3.19E+01,305.001,4.00E+01
21,0,7.80E+01,7.80E+01,171.848,-2.85E+01,73.479,4.00E+01
22,0,7.99E+01,7.99E+01,123.457,-2.70E+01,95.045,4.00E+01
23,0,7.58E+01,7.58E+01,64.735,-3.54E+01,176.783,4.00E+01
24,0,7.79E+01,7.79E+01,341.783,-2.80E+01,252.935,4.00E+01
25,0,7.75E+01,7.75E+01,298.179,-3.06E+01,279.022,4.00E+01
26,0,7.43E+01,7.43E+01,215.093,-3.69E+01,56.904,4.00E+01
27,0,7.74E+01,7.74E+01,151.995,-2.86E+01,99.924,4.00E+01
28,0,7.46E+01,7.46E+01,99.125,-3.28E+01,136.955,4.00E+01
29,0,7.50E+01,7.50E+01,8.523,-3.07E+01,252.324,4.00E+01
30,0,7.61E+01,7.61E+01,318.443,-2.71E+01,280.504,4.00E+01
31,0,7.27E+01,7.27E+01,245.608,-3.32E+01,322.988,4.00E+01
32,0,7.51E+01,7.51E+01,170.282,-3.12E+01,64.846,4.00E+01
33,0,7.36E+01,7.36E+01,118.501,-3.07E+01,97.256,4.00E+01
34,0,7.22E+01,7.22E+01,29.598,-3.78E+01,168.219,4.00E+01
35,0,7.39E+01,7.39E+01,330.777,-3.43E+01,260.715,4.00E+01
36,0,7.04E+01,7.04E+01,262.021,-3.33E+01,312.945,4.00E+01
37,0,7.23E+01,7.23E+01,176.66,-3.42E+01,6.433,4.00E+01
38,0,7.17E+01,7.17E+01,121.303,-3.55E+01,66.841,4.00E+01
39,0,7.02E+01,7.02E+01,35.19,-3.58E+01,111.052,4.00E+01
40,0,7.20E+01,7.20E+01,329.992,-4.11E+01,117.562,4.00E+01
41,0,6.97E+01,6.97E+01,264.147,-4.06E+01,30.141,4.00E+01
42,0,7.02E+01,7.02E+01,179.789,-3.42E+01,16.916,4.00E+01
43,0,7.03E+01,7.03E+01,118.733,-3.37E+01,12.672,4.00E+01
44,0,6.85E+01,6.85E+01,40.673,-3.72E+01,16.073,4.00E+01
45,0,6.98E+01,6.98E+01,326.181,-4.05E+01,70.203,4.00E+01
46,0,6.87E+01,6.87E+01,262.651,-3.80E+01,111.88,4.00E+01
47,0,6.78E+01,6.78E+01,179.481,-4.45E+01,160.32,4.00E+01
48,0,6.89E+01,6.89E+01,111.173,-4.05E+01,285.649,4.00E+01
49,0,6.71E+01,6.71E+01,42.557,-3.86E+01,340.407,4.00E+01
50,0,6.74E+01,6.74E+01,318.734,-3.96E+01,52.542,4.00E+01
51,0,6.77E+01,6.77E+01,256.915,-4.26E+01,167.99,4.00E+01
52,0,6.52E+01,6.52E+01,177.986,-3.21E+01,256.247,4.00E+01
53,0,6.73E+01,6.73E+01,99.67,-2.79E+01,296.305,4.00E+01
54,0,6.58E+01,6.58E+01,42.333,-2.81E+01,339.357,4.00E+01
55,0,6.46E+01,6.46E+01,307.648,-2.97E+01,37.111,4.00E+01
56,0,6.67E+01,6.67E+01,247.561,-3.11E+01,96.028,4.00E+01
57,0,6.26E+01,6.26E+01,175.932,-3.44E+01,169.846,4.00E+01
58,0,6.55E+01,6.55E+01,87.057,-3.23E+01,253.228,4.00E+01
