Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
0,0,-6.46E+01,-6.46E+01,73.57,-2.00E+02,167.812,4.00E+01
3,0,-7.60E+01,-7.60E+01,58.903,-2.00E+02,246.573,4.00E+01
6,0,-8.32E+01,-8.32E+01,215.513,-2.00E+02,257.464,4.00E+01
9,0,-8.61E+01,-8.61E+01,98.029,-2.00E+02,299.013,4.00E+01
12,0,-8.87E+01,-8.87E+01,274.958,-2.00E+02,11.008,4.00E+01
15,0,-9.30E+01,-9.30E+01,127.527,-2.00E+02,269.151,4.00E+01
18,0,-9.60E+01,-9.60E+01,318.406,-2.00E+02,320.455,4.00E+01
21,0,-1.00E+02,-1.00E+02,168.983,-2.00E+02,292.054,4.00E+01
24,0,-1.04E+02,-1.04E+02,19.904,-2.00E+02,320.928,4.00E+01
27,0,-1.05E+02,-1.05E+02,243.437,-2.00E+02,319.539,4.00E+01
30,0,-1.05E+02,-1.05E+02,92.934,-2.00E+02,328.91,4.00E+01
33,0,-1.05E+02,-1.05E+02,294.214,-2.00E+02,350.505,4.00E+01
36,0,-1.07E+02,-1.07E+02,136.816,-2.00E+02,1.74,4.00E+01
39,0,-1.12E+02,-1.12E+02,355.249,-1.99E+02,15.652,4.00E+01
42,0,-1.12E+02,-1.12E+02,239.375,-1.98E+02,39.968,4.00E+01
45,0,-1.11E+02,-1.11E+02,99.829,-1.98E+02,58.641,4.00E+01
48,0,-1.13E+02,-1.13E+02,311.37,-1.98E+02,77.295,4.00E+01
51,0,-1.17E+02,-1.17E+02,204.638,-1.98E+02,99.88,4.00E+01
54,0,-1.15E+02,-1.15E+02,83.276,-2.00E+02,126.701,4.00E+01
57,0,-1.18E+02,-1.18E+02,304.487,-2.00E+02,158.538,4.00E+01
60,0,-1.17E+02,-1.17E+02,220.898,-2.00E+02,196.13,4.00E+01
63,0,-1.18E+02,-1.18E+02,93.587,-2.00E+02,271.288,4.00E+01
66,0,-1.21E+02,-1.21E+02,17.568,-2.00E+02,336.507,4.00E+01
69,0,-1.19E+02,-1.19E+02,247.407,-2.00E+02,10.155,4.00E+01
72,0,-1.20E+02,-1.20E+02,192.153,-2.00E+02,20.063,4.00E+01
75,0,-1.21E+02,-1.21E+02,73.142,-2.00E+02,9.537,4.00E+01
78,0,-1.19E+02,-1.19E+02,27.215,-2.00E+02,300.606,4.00E+01
81,0,-1.26E+02,-1.26E+02,320.496,-2.00E+02,285.437,4.00E+01
84,0,-1.23E+02,-1.23E+02,230.382,-2.00E+02,291.43,4.00E+01
87,0,-1.25E+02,-1.25E+02,198.857,-2.00E+02,295.864,4.00E+01
90,0,-1.34E+02,-1.34E+02,93.44,-2.00E+02,294.501,4.00E+01
93,0,-1.29E+02,-1.29E+02,47.292,-2.00E+02,284.742,4.00E+01
96,0,-1.32E+02,-1.32E+02,107.113,-2.00E+02,261.345,4.00E+01
99,0,-1.23E+02,-1.23E+02,151.482,-2.00E+02,229.726,4.00E+01
102,0,-1.21E+02,-1.21E+02,156.578,-2.00E+02,212.167,4.00E+01
105,0,-1.21E+02,-1.21E+02,175.746,-2.00E+02,209.663,4.00E+01
108,0,-1.19E+02,-1.19E+02,202.241,-2.00E+02,211.927,4.00E+01
111,0,-1.17E+02,-1.17E+02,195.282,-2.00E+02,203.369,4.00E+01
114,0,-1.18E+02,-1.18E+02,168.244,-2.00E+02,195.104,4.00E+01
117,0,-1.22E+02,-1.22E+02,127.201,-2.00E+02,198.859,4.00E+01
120,0,-1.31E+02,-1.31E+02,81.204,-2.00E+02,228.886,4.00E+01
123,0,-1.33E+02,-1.33E+02,158.184,-2.00E+02,279.046,4.00E+01
126,0,-1.32E+02,-1.32E+02,134.509,-2.00E+02,227.089,4.00E+01
129,0,-1.28E+02,-1.28E+02,301.715,-2.00E+02,192.585,4.00E+01
132,0,-1.22E+02,-1.22E+02,279.057,-2.00E+02,164.915,4.00E+01
135,0,-1.26E+02,-1.26E+02,300.484,-2.00E+02,39.021,4.00E+01
138,0,-1.27E+02,-1.27E+02,345.567,-2.00E+02,356.226,4.00E+01
141,0,-1.30E+02,-1.30E+02,78.113,-2.00E+02,307.85,4.00E+01
144,0,-1.29E+02,-1.29E+02,82.515,-2.00E+02,189.146,4.00E+01
147,0,-1.33E+02,-1.33E+02,227.817,-2.00E+02,212.578,4.00E+01
150,0,-1.31E+02,-1.31E+02,194.054,-2.00E+02,358.869,4.00E+01
153,0,-1.42E+02,-1.42E+02,174.965,-2.00E+02,42.542,4.00E+01
156,0,-1.38E+02,-1.38E+02,168.672,-2.00E+02,26.987,4.00E+01
159,0,-1.35E+02,-1.35E+02,190.251,-2.00E+02,277.006,4.00E+01
162,0,-1.27E+02,-1.27E+02,208.239,-2.00E+02,320.832,4.00E+01
165,0,-1.36E+02,-1.36E+02,343.587,-2.00E+02,173.828,4.00E+01
168,0,-1.43E+02,-1.43E+02,19.493,-2.00E+02,188.087,4.00E+01
171,0,-1.27E+02,-1.27E+02,252.864,-2.00E+02,323.518,4.00E+01
174,0,-1.28E+02,-1.28E+02,351.794,-2.00E+02,129.098,4.00E+01
177,0,-1.19E+02,-1.19E+02,203.556,-2.00E+02,129.123,4.00E+01
180,0,-1.11E+02,-1.11E+02,224.544,-2.00E+02,291.574,4.00E+01
0,3,-6.46E+01,-6.46E+01,73.57,-9.02E+01,253.57,4.00E+01
3,3,-7.60E+01,-7.60E+01,58.908,-1.02E+02,239.238,4.00E+01
6,3,-8.32E+01,-8.32E+01,215.516,-1.09E+02,35.2,4.00E+01
9,3,-8.61E+01,-8.61E+01,98.012,-1.12E+02,278.448,4.00E+01
12,3,-8.87E+01,-8.87E+01,274.902,-1.14E+02,94.662,4.00E+01
15,3,-9.30E+01,-9.30E+01,127.416,-1.19E+02,306.308,4.00E+01
18,3,-9.61E+01,-9.61E+01,318.23,-1.22E+02,135.46,4.00E+01
21,3,-1.00E+02,-1.00E+02,168.924,-1.26E+02,344.411,4.00E+01
24,3,-1.04E+02,-1.04E+02,20.127,-1.31E+02,196.549,4.00E+01
27,3,-1.05E+02,-1.05E+02,243.69,-1.31E+02,65.585,4.00E+01
30,3,-1.05E+02,-1.05E+02,92.962,-1.31E+02,277.327,4.00E+01
33,3,-1.05E+02,-1.05E+02,294.153,-1.31E+02,114.27,4.00E+01
36,3,-1.07E+02,-1.07E+02,136.813,-1.33E+02,313.872,4.00E+01
39,3,-1.12E+02,-1.12E+02,355.065,-1.38E+02,162.889,4.00E+01
42,3,-1.12E+02,-1.12E+02,239.051,-1.40E+02,56.525,4.00E+01
45,3,-1.11E+02,-1.11E+02,99.708,-1.37E+02,285.3,4.00E+01
48,3,-1.13E+02,-1.13E+02,311.209,-1.38E+02,122.828,4.00E+01
51,3,-1.16E+02,-1.16E+02,204.505,-1.43E+02,2.506,3.53E+01
54,3,-1.15E+02,-1.15E+02,83.354,-1.41E+02,272.117,4.00E+01
57,3,-1.18E+02,-1.18E+02,304.872,-1.42E+02,113.754,3.83E+01
60,3,-1.17E+02,-1.17E+02,220.382,-1.46E+02,19.921,3.76E+01
63,3,-1.18E+02,-1.18E+02,93.808,-1.41E+02,277.593,4.00E+01
66,3,-1.21E+02,-1.21E+02,18.653,-1.50E+02,179.986,3.92E+01
69,3,-1.19E+02,-1.19E+02,246.793,-1.44E+02,68.614,4.00E+01
72,3,-1.20E+02,-1.20E+02,191.318,-1.47E+02,329.448,3.07E+01
75,3,-1.21E+02,-1.21E+02,73.528,-1.43E+02,255.336,4.00E+01
78,3,-1.19E+02,-1.19E+02,27.627,-1.47E+02,203.648,4.00E+01
81,3,-1.26E+02,-1.26E+02,320.512,-1.48E+02,89.679,2.43E+01
84,3,-1.23E+02,-1.23E+02,230.425,-1.45E+02,49.715,4.00E+01
87,3,-1.25E+02,-1.25E+02,198.896,-1.50E+02,30.928,3.83E+01
90,3,-1.34E+02,-1.34E+02,93.988,-1.67E+02,179.956,3.24E+01
93,3,-1.29E+02,-1.29E+02,47.438,-1.56E+02,186.274,3.10E+01
96,3,-1.32E+02,-1.32E+02,106.064,-1.59E+02,291.288,4.00E+01
99,3,-1.23E+02,-1.23E+02,151.218,-1.47E+02,308.994,3.24E+01
102,3,-1.21E+02,-1.21E+02,156.548,-1.45E+02,304.25,2.94E+01
105,3,-1.22E+02,-1.22E+02,175.849,-1.46E+02,316.808,2.87E+01
108,3,-1.19E+02,-1.19E+02,202.441,-1.44E+02,352.281,3.09E+01
111,3,-1.17E+02,-1.17E+02,195.316,-1.41E+02,351.906,3.19E+01
114,3,-1.17E+02,-1.17E+02,168.219,-1.42E+02,337.784,3.91E+01
117,3,-1.22E+02,-1.22E+02,127.494,-1.53E+02,358.735,3.31E+01
120,3,-1.31E+02,-1.32E+02,83.844,-1.45E+02,80.19,3.75E+01
123,3,-1.32E+02,-1.33E+02,159.361,-1.44E+02,59.381,1.19E+01
126,3,-1.32E+02,-1.32E+02,133.337,-1.60E+02,45.506,2.74E+01
129,3,-1.28E+02,-1.28E+02,301.891,-1.56E+02,208.092,2.80E+01
132,3,-1.22E+02,-1.22E+02,279.146,-1.49E+02,299.076,3.59E+01
135,3,-1.26E+02,-1.26E+02,299.801,-1.47E+02,293.297,3.98E+01
138,3,-1.27E+02,-1.27E+02,345.588,-1.65E+02,56.336,3.88E+01
141,3,-1.30E+02,-1.30E+02,77.002,-1.52E+02,62.754,3.50E+01
144,3,-1.29E+02,-1.29E+02,83.213,-1.53E+02,139.265,2.55E+01
147,3,-1.33E+02,-1.33E+02,227.548,-1.56E+02,192.237,2.83E+01
150,3,-1.31E+02,-1.31E+02,194.238,-1.53E+02,242.445,2.50E+01
153,3,-1.43E+02,-1.43E+02,175.193,-1.53E+02,159.883,2.27E+01
156,3,-1.37E+02,-1.37E+02,169.095,-1.61E+02,302.196,2.66E+01
159,3,-1.35E+02,-1.35E+02,190.909,-1.53E+02,176.407,2.96E+01
162,3,-1.27E+02,-1.27E+02,207.798,-1.55E+02,238.336,3.37E+01
165,3,-1.36E+02,-1.36E+02,343.957,-1.69E+02,275.392,3.37E+01
168,3,-1.43E+02,-1.43E+02,20.641,-1.62E+02,42.135,2.75E+01
171,3,-1.27E+02,-1.27E+02,252.958,-1.50E+02,265.065,3.70E+01
174,3,-1.28E+02,-1.28E+02,351.785,-1.59E+02,48.01,3.32E+01
177,3,-1.19E+02,-1.19E+02,203.548,-1.45E+02,249.117,2.95E+01
180,3,-1.11E+02,-1.11E+02,224.544,-1.37E+02,224.544,4.00E+01
0,6,-6.46E+01,-6.46E+01,73.57,-8.42E+01,253.57,4.00E+01
3,6,-7.60E+01,-7.60E+01,58.921,-9.57E+01,239.251,4.00E+01
6,6,-8.32E+01,-8.32E+01,215.522,-1.03E+02,35.207,4.00E+01
9,6,-8.61E+01,-8.61E+01,97.957,-1.06E+02,278.393,4.00E+01
12,6,-8.87E+01,-8.88E+01,274.74,-1.08E+02,94.498,4.00E+01
15,6,-9.31E+01,-9.31E+01,127.11,-1.13E+02,306.011,4.00E+01
18,6,-9.62E+01,-9.62E+01,317.777,-1.16E+02,134.988,4.00E+01
21,6,-1.01E+02,-1.01E+02,168.783,-1.20E+02,344.165,4.00E+01
24,6,-1.04E+02,-1.04E+02,20.575,-1.25E+02,197.031,4.00E+01
27,6,-1.05E+02,-1.05E+02,244.15,-1.25E+02,65.988,4.00E+01
30,6,-1.05E+02,-1.05E+02,92.963,-1.25E+02,277.298,4.00E+01
33,6,-1.05E+02,-1.05E+02,294.035,-1.25E+02,114.267,4.00E+01
36,6,-1.08E+02,-1.08E+02,136.725,-1.27E+02,313.702,4.00E+01
39,6,-1.12E+02,-1.12E+02,354.602,-1.32E+02,162.495,3.40E+01
42,6,-1.12E+02,-1.12E+02,238.407,-1.34E+02,56.04,4.00E+01
45,6,-1.11E+02,-1.11E+02,99.237,-1.31E+02,284.947,3.97E+01
48,6,-1.13E+02,-1.13E+02,310.693,-1.32E+02,122.771,3.62E+01
