Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
0,0,-7.68E+01,-7.68E+01,88.797,-2.00E+02,10.516,4.00E+01
3,0,-9.12E+01,-9.12E+01,143.854,-2.00E+02,179.324,4.00E+01
6,0,-9.28E+01,-9.28E+01,181.211,-2.00E+02,357.394,4.00E+01
9,0,-8.96E+01,-8.96E+01,69.019,-2.00E+02,157.812,4.00E+01
12,0,-9.24E+01,-9.24E+01,305.203,-2.00E+02,328.804,4.00E+01
15,0,-9.69E+01,-9.69E+01,177.191,-2.00E+02,131.596,4.00E+01
18,0,-1.00E+02,-1.00E+02,56.855,-2.00E+02,300.225,4.00E+01
21,0,-1.01E+02,-1.01E+02,290.976,-2.00E+02,101.521,4.00E+01
24,0,-1.01E+02,-1.01E+02,145.051,-2.00E+02,269.041,4.00E+01
27,0,-1.01E+02,-1.01E+02,347.905,-2.00E+02,76.115,4.00E+01
30,0,-1.02E+02,-1.02E+02,183.378,-2.00E+02,200.165,4.00E+01
33,0,-1.03E+02,-1.03E+02,14.928,-2.00E+02,309.021,4.00E+01
36,0,-1.04E+02,-1.04E+02,204.86,-2.00E+02,98.733,4.00E+01
39,0,-1.06E+02,-1.06E+02,34.315,-2.00E+02,286.53,4.00E+01
42,0,-1.08E+02,-1.08E+02,223.351,-2.00E+02,49.686,4.00E+01
45,0,-1.10E+02,-1.10E+02,55.433,-2.00E+02,199.542,4.00E+01
48,0,-1.11E+02,-1.11E+02,247.467,-2.00E+02,23.19,4.00E+01
51,0,-1.13E+02,-1.13E+02,81.306,-2.00E+02,144.459,4.00E+01
54,0,-1.13E+02,-1.13E+02,272.708,-2.00E+02,313.291,4.00E+01
57,0,-1.14E+02,-1.14E+02,100.486,-2.00E+02,184.624,4.00E+01
60,0,-1.15E+02,-1.15E+02,285.34,-2.00E+02,304.319,4.00E+01
63,0,-1.16E+02,-1.16E+02,107.067,-2.00E+02,57.971,4.00E+01
66,0,-1.18E+02,-1.18E+02,289.224,-2.00E+02,161.754,4.00E+01
69,0,-1.19E+02,-1.19E+02,113.443,-2.00E+02,255.889,4.00E+01
72,0,-1.21E+02,-1.21E+02,300.25,-2.00E+02,250.446,4.00E+01
75,0,-1.22E+02,-1.22E+02,127.699,-2.00E+02,272.632,4.00E+01
78,0,-1.21E+02,-1.21E+02,308.113,-2.00E+02,315.235,4.00E+01
81,0,-1.20E+02,-1.20E+02,125.905,-2.00E+02,324.636,4.00E+01
84,0,-1.19E+02,-1.19E+02,305.956,-2.00E+02,330.653,4.00E+01
87,0,-1.17E+02,-1.17E+02,129.514,-2.00E+02,353.745,4.00E+01
90,0,-1.15E+02,-1.15E+02,316.735,-2.00E+02,33.358,4.00E+01
93,0,-1.13E+02,-1.13E+02,145.506,-2.00E+02,337.052,4.00E+01
96,0,-1.11E+02,-1.11E+02,335.468,-2.00E+02,51.679,4.00E+01
99,0,-1.11E+02,-1.11E+02,168.89,-2.00E+02,324.051,4.00E+01
102,0,-1.10E+02,-1.10E+02,4.971,-2.00E+02,217.015,4.00E+01
105,0,-1.11E+02,-1.11E+02,197.794,-2.00E+02,0.453,4.00E+01
108,0,-1.12E+02,-1.12E+02,24.504,-2.00E+02,245.655,4.00E+01
111,0,-1.13E+02,-1.13E+02,208.326,-2.00E+02,157.771,4.00E+01
114,0,-1.14E+02,-1.14E+02,37.101,-2.00E+02,43.238,4.00E+01
117,0,-1.14E+02,-1.14E+02,226.379,-2.00E+02,299.282,4.00E+01
120,0,-1.17E+02,-1.17E+02,50.903,-2.00E+02,196.044,4.00E+01
123,0,-1.23E+02,-1.23E+02,223.518,-2.00E+02,164.794,4.00E+01
126,0,-1.21E+02,-1.21E+02,30.119,-2.00E+02,94.696,4.00E+01
129,0,-1.17E+02,-1.17E+02,220.227,-2.00E+02,246.161,4.00E+01
132,0,-1.21E+02,-1.21E+02,65.095,-2.00E+02,147.381,4.00E+01
135,0,-1.27E+02,-1.27E+02,287.2,-2.00E+02,255.348,4.00E+01
138,0,-1.25E+02,-1.25E+02,35.125,-2.00E+02,29.017,4.00E+01
141,0,-1.26E+02,-1.26E+02,217.518,-2.00E+02,217.583,4.00E+01
144,0,-1.24E+02,-1.24E+02,120.535,-2.00E+02,153.695,4.00E+01
147,0,-1.31E+02,-1.31E+02,312.838,-2.00E+02,30.632,4.00E+01
150,0,-1.36E+02,-1.36E+02,168.241,-2.00E+02,0.992,4.00E+01
153,0,-1.20E+02,-1.20E+02,321.478,-2.00E+02,64.44,4.00E+01
156,0,-1.22E+02,-1.22E+02,190.004,-2.00E+02,18.395,4.00E+01
159,0,-1.22E+02,-1.22E+02,353.26,-2.00E+02,111.636,4.00E+01
162,0,-1.17E+02,-1.17E+02,162.434,-2.00E+02,61.055,4.00E+01
165,0,-1.18E+02,-1.18E+02,28.324,-2.00E+02,151.617,4.00E+01
168,0,-1.16E+02,-1.16E+02,166.448,-2.00E+02,297.922,4.00E+01
171,0,-1.15E+02,-1.15E+02,29.218,-2.00E+02,246.996,4.00E+01
174,0,-1.15E+02,-1.15E+02,178.948,-2.00E+02,352.453,4.00E+01
177,0,-1.14E+02,-1.14E+02,23.017,-2.00E+02,289.486,4.00E+01
180,0,-1.14E+02,-1.14E+02,174.882,-2.00E+02,89.296,4.00E+01
0,90,-7.68E+01,-2.00E+02,10.516,-7.68E+01,268.797,4.00E+01
3,90,-7.84E+01,-2.00E+02,343.525,-7.84E+01,273.836,4.00E+01
6,90,-8.35E+01,-2.00E+02,337.161,-8.35E+01,297.91,4.00E+01
9,90,-8.69E+01,-2.00E+02,326.595,-8.69E+01,2.292,4.00E+01
12,90,-8.68E+01,-2.00E+02,141.729,-8.68E+01,37.739,4.00E+01
15,90,-9.32E+01,-2.00E+02,126.897,-9.32E+01,48.802,4.00E+01
18,90,-1.12E+02,-2.00E+02,106.572,-1.12E+02,331.12,4.00E+01
21,90,-1.00E+02,-2.00E+02,54.106,-1.00E+02,15.271,4.00E+01
24,90,-9.25E+01,-2.00E+02,296.662,-9.25E+01,33.541,4.00E+01
27,90,-9.63E+01,-2.00E+02,274.599,-9.63E+01,10.04,4.00E+01
30,90,-9.76E+01,-2.00E+02,277.094,-9.76E+01,277.58,4.00E+01
33,90,-1.05E+02,-2.00E+02,111.203,-1.05E+02,236.943,4.00E+01
36,90,-1.03E+02,-2.00E+02,133.288,-1.03E+02,92.855,4.00E+01
39,90,-1.20E+02,-2.00E+02,232.103,-1.20E+02,287.488,4.00E+01
42,90,-1.10E+02,-2.00E+02,169.504,-1.10E+02,269.141,4.00E+01
45,90,-1.10E+02,-2.00E+02,131.802,-1.10E+02,99.889,4.00E+01
48,90,-1.18E+02,-2.00E+02,258.988,-1.18E+02,216.871,4.00E+01
51,90,-1.21E+02,-2.00E+02,151.265,-1.21E+02,325.074,4.00E+01
54,90,-1.16E+02,-2.00E+02,141.287,-1.16E+02,107.381,4.00E+01
57,90,-1.18E+02,-2.00E+02,279.601,-1.18E+02,240.518,4.00E+01
60,90,-1.17E+02,-2.00E+02,171.911,-1.17E+02,40.593,4.00E+01
63,90,-1.19E+02,-2.00E+02,324.664,-1.19E+02,194.599,4.00E+01
66,90,-1.22E+02,-2.00E+02,270.397,-1.22E+02,6.334,4.00E+01
69,90,-1.31E+02,-2.00E+02,183.003,-1.31E+02,115.488,4.00E+01
72,90,-1.25E+02,-2.00E+02,1.981,-1.25E+02,222.346,4.00E+01
75,90,-1.20E+02,-2.00E+02,240.84,-1.20E+02,29.041,4.00E+01
78,90,-1.18E+02,-2.00E+02,158.782,-1.18E+02,205.534,4.00E+01
81,90,-1.19E+02,-2.00E+02,356.322,-1.19E+02,22.729,4.00E+01
84,90,-1.21E+02,-2.00E+02,210.275,-1.21E+02,202.338,4.00E+01
87,90,-1.26E+02,-2.00E+02,107.509,-1.26E+02,21.65,4.00E+01
90,90,-1.40E+02,-2.00E+02,293.145,-1.40E+02,201.85,4.00E+01
93,90,-1.31E+02,-2.00E+02,145.105,-1.31E+02,200.301,4.00E+01
96,90,-1.25E+02,-2.00E+02,0.976,-1.25E+02,19.393,4.00E+01
99,90,-1.23E+02,-2.00E+02,245.9,-1.23E+02,197.19,4.00E+01
102,90,-1.24E+02,-2.00E+02,159.75,-1.24E+02,13.245,4.00E+01
105,90,-1.28E+02,-2.00E+02,21.549,-1.28E+02,182.438,4.00E+01
108,90,-1.36E+02,-2.00E+02,239.941,-1.36E+02,300.237,4.00E+01
111,90,-1.30E+02,-2.00E+02,117.798,-1.30E+02,46.925,4.00E+01
114,90,-1.28E+02,-2.00E+02,3.77,-1.28E+02,214.844,4.00E+01
117,90,-1.28E+02,-2.00E+02,213.854,-1.28E+02,36.613,4.00E+01
120,90,-1.34E+02,-2.00E+02,97.648,-1.34E+02,132.961,4.00E+01
123,90,-1.26E+02,-2.00E+02,295.49,-1.26E+02,234.251,4.00E+01
126,90,-1.26E+02,-2.00E+02,156.301,-1.26E+02,35.072,4.00E+01
129,90,-1.35E+02,-2.00E+02,358.263,-1.35E+02,221.781,4.00E+01
132,90,-1.27E+02,-2.00E+02,182.897,-1.27E+02,221.894,4.00E+01
135,90,-1.26E+02,-2.00E+02,85.747,-1.26E+02,31.496,4.00E+01
138,90,-1.41E+02,-2.00E+02,283.739,-1.41E+02,266.5,4.00E+01
141,90,-1.25E+02,-2.00E+02,139.176,-1.25E+02,203.225,4.00E+01
144,90,-1.36E+02,-2.00E+02,59.263,-1.36E+02,49.542,4.00E+01
147,90,-1.29E+02,-2.00E+02,280.026,-1.29E+02,350.39,4.00E+01
150,90,-1.30E+02,-2.00E+02,219.164,-1.30E+02,222.58,4.00E+01
153,90,-1.24E+02,-2.00E+02,15.933,-1.24E+02,167.605,4.00E+01
156,90,-1.27E+02,-2.00E+02,356.653,-1.27E+02,141.145,4.00E+01
159,90,-1.44E+02,-2.00E+02,357.688,-1.44E+02,32.063,4.00E+01
162,90,-1.31E+02,-2.00E+02,123.778,-1.31E+02,328.5,4.00E+01
165,90,-1.34E+02,-2.00E+02,107.62,-1.34E+02,313.517,4.00E+01
168,90,-1.32E+02,-2.00E+02,76.608,-1.32E+02,207.851,4.00E+01
171,90,-1.22E+02,-2.00E+02,357.57,-1.22E+02,187.344,4.00E+01
174,90,-1.18E+02,-2.00E+02,298.118,-1.18E+02,180.529,4.00E+01
177,90,-1.15E+02,-2.00E+02,273.567,-1.15E+02,176.357,4.00E+01
180,90,-1.14E+02,-2.00E+02,269.285,-1.14E+02,174.882,4.00E+01
