#
#"Wavelength / nm"	"Total ACS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	16728341.900328
405.00000000000	19200283.413580
410.00000000000	20851682.568480
412.00000000000	21185049.831312
414.00000000000	21306938.021558
416.00000000000	21220635.855833
418.00000000000	20929610.714440
420.00000000000	20431878.851300
422.00000000000	19736712.246208
424.00000000000	18878508.525711
426.00000000000	17906308.397704
428.00000000000	16863897.863942
430.00000000000	15785769.504551
432.00000000000	14706958.793177
434.00000000000	13664335.987434
436.00000000000	12683667.435908
438.00000000000	11770640.518779
440.00000000000	10919625.658527
442.00000000000	10129750.954765
444.00000000000	9408661.0379975
446.00000000000	8761156.3397405
448.00000000000	8179005.3940224
450.00000000000	7645886.5766433
452.00000000000	7151793.1845771
454.00000000000	6699768.1758631
456.00000000000	6296721.5501195
458.00000000000	5939786.2885230
460.00000000000	5614796.8536940
462.00000000000	5308415.5986254
464.00000000000	5019892.2816046
465.00000000000	4885254.2456174
466.00000000000	4758670.0300839
470.00000000000	4329080.7404696
475.00000000000	3863217.8121645
480.00000000000	3486932.9296253
485.00000000000	3203819.3618005
490.00000000000	2938516.0375384
495.00000000000	2780504.7540211
500.00000000000	2632853.1267721
505.00000000000	2547923.0539266
510.00000000000	2566843.5499179
515.00000000000	2602696.0241566
520.00000000000	2824775.3657663
525.00000000000	3242298.2119780
530.00000000000	3880295.9528581
532.00000000000	4254652.8229574
534.00000000000	4682186.1736577
536.00000000000	5107952.5689659
538.00000000000	5456949.6742069
540.00000000000	5660172.1939891
542.00000000000	5680189.7553243
544.00000000000	5523968.3375146
546.00000000000	5237322.7722989
548.00000000000	4884774.1433943
550.00000000000	4525518.4249099
552.00000000000	4197226.7033479
554.00000000000	3914284.5110397
556.00000000000	3679229.9132813
558.00000000000	3498986.6224746
560.00000000000	3395500.4163153
562.00000000000	3403652.2854596
564.00000000000	3556527.6511706
566.00000000000	3864536.7655780
568.00000000000	4298803.3230492
570.00000000000	4787949.4749337
572.00000000000	5231124.8987008
574.00000000000	5524151.8827546
576.00000000000	5588961.8127162
578.00000000000	5396337.4795244
580.00000000000	4973342.7108209
582.00000000000	4394009.8386050
584.00000000000	3756534.4839766
586.00000000000	3155772.8609629
588.00000000000	2659852.9456168
590.00000000000	2297701.2951871
595.00000000000	1855789.5940908
600.00000000000	1595214.3976112
#
#"Wavelength / nm"	"Total RCS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	30994973.670487
405.00000000000	29577149.327673
410.00000000000	27921472.289102
412.00000000000	27372704.087541
414.00000000000	26969548.905401
416.00000000000	26739725.063354
418.00000000000	26678276.802535
420.00000000000	26766616.655568
422.00000000000	26988167.149980
424.00000000000	27323642.126766
426.00000000000	27744054.638143
428.00000000000	28218859.464577
430.00000000000	28729204.379774
432.00000000000	29267609.405591
434.00000000000	29826425.479224
436.00000000000	30393502.670067
438.00000000000	30960398.442411
440.00000000000	31529366.886141
442.00000000000	32107190.230815
444.00000000000	32693455.756111
446.00000000000	33279570.859068
448.00000000000	33859674.260332
450.00000000000	34438711.890776
452.00000000000	35026131.276453
454.00000000000	35623587.105741
456.00000000000	36222353.431879
458.00000000000	36813773.898251
460.00000000000	37400201.090802
462.00000000000	37991975.827566
464.00000000000	38594965.901923
465.00000000000	38899258.632181
466.00000000000	39203368.668288
470.00000000000	40397916.597086
475.00000000000	41889277.870824
480.00000000000	43400861.883611
485.00000000000	44863237.049242
490.00000000000	46361638.064018
495.00000000000	47795539.760300
500.00000000000	49219173.008567
505.00000000000	50631107.807535
510.00000000000	51916739.447958
515.00000000000	53196007.721053
520.00000000000	54293387.401618
525.00000000000	55085343.393179
530.00000000000	55539410.608438
532.00000000000	55519077.991874
534.00000000000	55357249.590365
536.00000000000	55097185.359977
538.00000000000	54829344.926410
540.00000000000	54664631.960271
542.00000000000	54695691.652953
544.00000000000	54965209.507067
546.00000000000	55455613.033214
548.00000000000	56104065.771151
550.00000000000	56833151.248086
552.00000000000	57580735.351758
554.00000000000	58313491.381321
556.00000000000	59020171.568828
558.00000000000	59690146.846376
560.00000000000	60292572.124358
562.00000000000	60768805.138308
564.00000000000	61047194.402631
566.00000000000	61072968.942208
568.00000000000	60840436.651673
570.00000000000	60413240.774074
572.00000000000	59918707.692621
574.00000000000	59519598.459792
576.00000000000	59369256.561790
578.00000000000	59569111.763301
580.00000000000	60140614.742511
582.00000000000	61023928.385843
584.00000000000	62099356.174026
586.00000000000	63225403.763518
588.00000000000	64278436.117927
590.00000000000	65180718.251444
595.00000000000	66754654.450060
600.00000000000	67929863.206354
