#
#"Wavelength / nm"	"Total ACS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	16728341.900328
401.00000000000	17257088.048402
402.00000000000	17776281.279942
403.00000000000	18277798.444010
404.00000000000	18754323.333064
405.00000000000	19200283.413580
406.00000000000	19611678.798644
407.00000000000	19985524.567547
408.00000000000	20318938.526218
409.00000000000	20608813.577277
410.00000000000	20851682.568480
411.00000000000	21044507.186147
412.00000000000	21185049.831312
413.00000000000	21272435.410181
414.00000000000	21306938.021558
415.00000000000	21289403.872928
416.00000000000	21220635.855833
417.00000000000	21100833.068980
418.00000000000	20929610.714440
419.00000000000	20706531.654947
420.00000000000	20431878.851300
421.00000000000	20107409.268097
422.00000000000	19736712.246208
423.00000000000	19325003.618360
424.00000000000	18878508.525711
425.00000000000	18403640.761730
426.00000000000	17906308.397704
427.00000000000	17391605.489869
428.00000000000	16863897.863942
429.00000000000	16327226.544311
430.00000000000	15785769.504551
431.00000000000	15244075.670841
432.00000000000	14706958.793177
433.00000000000	14179071.596313
434.00000000000	13664335.987434
435.00000000000	13165448.192215
436.00000000000	12683667.435908
437.00000000000	12218993.718057
438.00000000000	11770640.518779
439.00000000000	11337686.033255
440.00000000000	10919625.658527
441.00000000000	10516681.337225
442.00000000000	10129750.954765
443.00000000000	9760065.0036745
444.00000000000	9408661.0379975
445.00000000000	9075893.4807174
446.00000000000	8761156.3397405
447.00000000000	8462905.1064015
448.00000000000	8179005.3940224
449.00000000000	7907250.8706685
450.00000000000	7645886.5766433
455.00000000000	6491974.0152026
460.00000000000	5614796.8536940
465.00000000000	4885254.2456174
470.00000000000	4329080.7404696
475.00000000000	3863217.8121645
480.00000000000	3486932.9296253
485.00000000000	3203819.3618005
490.00000000000	2938516.0375384
495.00000000000	2780504.7540211
500.00000000000	2632853.1267721
505.00000000000	2547923.0539266
510.00000000000	2566843.5499179
515.00000000000	2602696.0241566
520.00000000000	2824775.3657663
525.00000000000	3242298.2119780
526.00000000000	3343688.3237784
527.00000000000	3455167.9342026
528.00000000000	3579911.0996486
529.00000000000	3720910.2837525
530.00000000000	3880295.9528581
531.00000000000	4058683.0703605
532.00000000000	4254652.8229574
533.00000000000	4464489.1791900
534.00000000000	4682186.1736577
535.00000000000	4899780.4860489
536.00000000000	5107952.5689659
537.00000000000	5296837.7426459
538.00000000000	5456949.6742069
539.00000000000	5580098.4878192
540.00000000000	5660172.1939891
541.00000000000	5693713.1373534
542.00000000000	5680189.7553243
543.00000000000	5621970.5614400
544.00000000000	5523968.3375146
545.00000000000	5393061.3842694
546.00000000000	5237322.7722989
547.00000000000	5065209.2330017
548.00000000000	4884774.1433943
549.00000000000	4703030.6415835
550.00000000000	4525518.4249099
551.00000000000	4356140.7549601
552.00000000000	4197226.7033479
553.00000000000	4049844.0454147
554.00000000000	3914284.5110397
555.00000000000	3790616.5587926
556.00000000000	3679229.9132813
557.00000000000	3581285.1996809
559.00000000000	3435654.6593270
560.00000000000	3395500.4163153
561.00000000000	3383272.1013222
562.00000000000	3403652.2854596
563.00000000000	3460574.8678581
564.00000000000	3556527.6511706
565.00000000000	3691908.2810926
566.00000000000	3864536.7655757
567.00000000000	4069428.4826703
568.00000000000	4298803.3230492
569.00000000000	4542391.5019843
570.00000000000	4787949.4749337
571.00000000000	5022076.0657315
572.00000000000	5231124.8987008
573.00000000000	5402223.1450624
574.00000000000	5524151.8827546
575.00000000000	5588232.0735055
576.00000000000	5588961.8127162
577.00000000000	5524429.9407756
578.00000000000	5396337.4795244
579.00000000000	5209888.9464682
580.00000000000	4973342.7108209
581.00000000000	4697330.9990387
582.00000000000	4394009.8386050
583.00000000000	4076207.2052973
584.00000000000	3756534.4839766
585.00000000000	3446474.0280257
586.00000000000	3155772.8609629
587.00000000000	2891932.5796123
588.00000000000	2659852.9456168
589.00000000000	2461832.3855303
590.00000000000	2297701.2951871
591.00000000000	2165102.9874901
595.00000000000	1855789.5940908
600.00000000000	1595214.3976112
#
#"Wavelength / nm"	"Total RCS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	30994973.670487
401.00000000000	30766267.661393
402.00000000000	30505969.591665
403.00000000000	30217129.338729
404.00000000000	29905241.313779
405.00000000000	29577149.327673
406.00000000000	29239732.041140
407.00000000000	28899420.656509
408.00000000000	28562153.207050
409.00000000000	28233972.454274
410.00000000000	27921472.289102
411.00000000000	27631927.768569
412.00000000000	27372704.087541
413.00000000000	27150345.963453
414.00000000000	26969548.905401
415.00000000000	26832664.175577
416.00000000000	26739725.063354
417.00000000000	26689080.378720
418.00000000000	26678276.802535
419.00000000000	26704833.718079
420.00000000000	26766616.655568
421.00000000000	26861734.108725
422.00000000000	26988167.149980
423.00000000000	27143262.801476
424.00000000000	27323642.126766
425.00000000000	27525294.088983
426.00000000000	27744054.638143
427.00000000000	27976197.542761
428.00000000000	28218859.464577
429.00000000000	28470202.426176
430.00000000000	28729204.379774
431.00000000000	28995238.991921
432.00000000000	29267609.405591
433.00000000000	29545173.333821
434.00000000000	29826425.479224
435.00000000000	30109682.680948
436.00000000000	30393502.670067
437.00000000000	30677077.213054
438.00000000000	30960398.442411
439.00000000000	31244152.513863
440.00000000000	31529366.886141
441.00000000000	31816946.344676
442.00000000000	32107190.230815
443.00000000000	32399707.062185
444.00000000000	32693455.756111
445.00000000000	32987116.654315
446.00000000000	33279570.859068
447.00000000000	33570316.151163
448.00000000000	33859674.260332
449.00000000000	34148692.112685
450.00000000000	34438711.890776
455.00000000000	35923531.662696
460.00000000000	37400201.090802
465.00000000000	38899258.632181
470.00000000000	40397916.597086
475.00000000000	41889277.870824
480.00000000000	43400861.883611
485.00000000000	44863237.049242
490.00000000000	46361638.064018
495.00000000000	47795539.760300
500.00000000000	49219173.008567
505.00000000000	50631107.807535
510.00000000000	51916739.447958
515.00000000000	53196007.721053
520.00000000000	54293387.401618
525.00000000000	55085343.393179
526.00000000000	55214217.275663
527.00000000000	55329080.424851
528.00000000000	55425230.571200
529.00000000000	55497162.635226
530.00000000000	55539410.608438
531.00000000000	55547530.656274
532.00000000000	55519077.991874
533.00000000000	55454417.990842
534.00000000000	55357249.590365
535.00000000000	55234734.391463
536.00000000000	55097185.359977
537.00000000000	54957347.951596
538.00000000000	54829344.926410
539.00000000000	54727442.627966
540.00000000000	54664631.960271
541.00000000000	54651599.279346
542.00000000000	54695691.652953
543.00000000000	54800392.848422
544.00000000000	54965209.507067
545.00000000000	55185986.963082
546.00000000000	55455613.033214
547.00000000000	55764976.621565
548.00000000000	56104065.771151
549.00000000000	56463043.502240
550.00000000000	56833151.248086
551.00000000000	57207402.297815
552.00000000000	57580735.351758
553.00000000000	57949978.036379
554.00000000000	58313491.381321
555.00000000000	58670497.205980
556.00000000000	59020171.568828
557.00000000000	59361021.049374
559.00000000000	60002902.719734
560.00000000000	60292572.124358
561.00000000000	60550934.770594
562.00000000000	60768805.138308
563.00000000000	60936935.306136
564.00000000000	61047194.402631
565.00000000000	61093512.199222
566.00000000000	61072968.942210
567.00000000000	60986722.285373
568.00000000000	60840436.651673
569.00000000000	60644489.095110
570.00000000000	60413240.774074
571.00000000000	60164593.437473
572.00000000000	59918707.692621
573.00000000000	59696862.266967
574.00000000000	59519598.459792
575.00000000000	59405361.552536
576.00000000000	59369256.561790
577.00000000000	59422057.146622
578.00000000000	59569111.763301
579.00000000000	59810383.763100
580.00000000000	60140614.742511
581.00000000000	60549806.171151
582.00000000000	61023928.385843
583.00000000000	61546378.979740
584.00000000000	62099356.174026
585.00000000000	62664647.366686
586.00000000000	63225403.763518
587.00000000000	63767227.498653
588.00000000000	64278436.117927
589.00000000000	64750956.660440
590.00000000000	65180718.251444
591.00000000000	65566772.089981
595.00000000000	66754654.450060
600.00000000000	67929863.206354
