x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-3675,-3675,0,1.009023,0.017250285,-0.01218929,0.000195025,0.00304413,-0.008338363
-3625,-3675,0,1.0147784,0.021197421,-0.010538692,-0.007281027,0.003005024,-0.002962415
-3575,-3675,0,1.0158817,0.025152562,-0.004896447,-0.012420962,0.000391431,0.001774926
-3525,-3675,0,1.0121112,0.025901699,0.002590839,-0.01352384,-0.00401155,0.004434519
-3475,-3675,0,1.0059738,0.021702619,0.009410089,-0.010248949,-0.008767629,0.004290317
-3425,-3675,0,1.0005656,0.012441215,0.013321307,-0.003672076,-0.012263611,0.001551288
-3375,-3675,0,0.99850261,-0.000256331,0.013112562,0.004062942,-0.013298186,-0.002664109
-3325,-3675,0,1.0010704,-0.013678901,0.008898139,0.010548858,-0.011482559,-0.006774528
-3275,-3675,0,1.0079042,-0.024889875,0.001996258,0.013846016,-0.007333757,-0.009262416
-3225,-3675,0,1.0171696,-0.031604972,-0.00552782,0.013032993,-0.002073938,-0.009160387
-3175,-3675,0,1.0261722,-0.032826774,-0.011507848,0.008418593,0.002787759,-0.00633219
-3125,-3675,0,1.0321794,-0.029072395,-0.014298886,0.001379735,0.005931542,-0.001466578
-3075,-3675,0,1.0332007,-0.022161556,-0.013200706,-0.006091772,0.006597523,0.004178406
-3025,-3675,0,1.0285273,-0.014668535,-0.008584197,-0.011974994,0.004753457,0.009168688
-2975,-3675,0,1.0188956,-0.009208507,-0.001719801,-0.014760932,0.001043137,0.012287279
-2925,-3675,0,1.0062811,-0.007741273,0.005611569,-0.013807825,-0.003432819,0.012821625
-2875,-3675,0,0.99338734,-0.011080108,0.011598391,-0.009438092,-0.007417273,0.010693741
-2825,-3675,0,0.98297817,-0.018702058,0.014838882,-0.002784668,-0.009800699,0.006437845
-2775,-3675,0,0.97721767,-0.028901622,0.014639365,0.00454321,-0.009873037,0.001050496
-2725,-3675,0,0.97721171,-0.039227534,0.01110981,0.010860441,-0.007473431,-0.004238587
-2675,-3675,0,0.98272729,-0.047106691,0.005129195,0.014789946,-0.00307136,-0.008238553
-2625,-3675,0,0.9923104,-0.050515942,-0.001963443,0.01559614,0.002377728,-0.010131862
-2575,-3675,0,1.0037568,-0.048394393,-0.008679396,0.013203541,0.00766113,-0.009597709
-2525,-3675,0,1.0145699,-0.040896539,-0.013675051,0.008189455,0.011590235,-0.006896937
-2475,-3675,0,1.0225152,-0.029306332,-0.016021807,0.001605906,0.013307955,-0.002772984
