Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
0,0,-7.46E+01,-7.46E+01,93.042,-2.00E+02,358.832,4.00E+01
3,0,-8.86E+01,-8.86E+01,282.631,-2.00E+02,326.339,4.00E+01
6,0,-9.43E+01,-9.43E+01,169.696,-2.00E+02,161.459,4.00E+01
9,0,-1.02E+02,-1.02E+02,123.261,-2.00E+02,333.234,4.00E+01
12,0,-9.83E+01,-9.83E+01,355.881,-2.00E+02,145.672,4.00E+01
15,0,-9.90E+01,-9.90E+01,185.868,-2.00E+02,299.887,4.00E+01
18,0,-1.01E+02,-1.01E+02,2.242,-2.00E+02,252.703,4.00E+01
21,0,-1.02E+02,-1.02E+02,171.848,-2.00E+02,73.479,4.00E+01
24,0,-1.02E+02,-1.02E+02,341.783,-2.00E+02,252.935,4.00E+01
27,0,-1.03E+02,-1.03E+02,151.995,-2.00E+02,99.924,4.00E+01
30,0,-1.04E+02,-1.04E+02,318.443,-2.00E+02,280.504,4.00E+01
33,0,-1.06E+02,-1.06E+02,118.501,-2.00E+02,97.256,4.00E+01
36,0,-1.10E+02,-1.10E+02,262.021,-2.00E+02,312.945,4.00E+01
39,0,-1.10E+02,-1.10E+02,35.19,-2.00E+02,111.052,4.00E+01
42,0,-1.10E+02,-1.10E+02,179.789,-2.00E+02,16.916,4.00E+01
45,0,-1.10E+02,-1.10E+02,326.181,-2.00E+02,70.203,4.00E+01
48,0,-1.11E+02,-1.11E+02,111.173,-2.00E+02,285.649,4.00E+01
51,0,-1.12E+02,-1.12E+02,256.915,-2.00E+02,167.99,4.00E+01
54,0,-1.14E+02,-1.14E+02,42.333,-2.00E+02,339.357,4.00E+01
57,0,-1.17E+02,-1.17E+02,175.932,-2.00E+02,169.846,4.00E+01
60,0,-1.18E+02,-1.18E+02,294.49,-2.00E+02,8.57,4.00E+01
63,0,-1.17E+02,-1.17E+02,73.846,-2.00E+02,196.06,4.00E+01
66,0,-1.17E+02,-1.17E+02,227.114,-2.00E+02,104.286,4.00E+01
69,0,-1.21E+02,-1.21E+02,16.684,-2.00E+02,264.26,4.00E+01
72,0,-1.25E+02,-1.25E+02,135.811,-2.00E+02,9.135,4.00E+01
75,0,-1.24E+02,-1.24E+02,265.292,-2.00E+02,67.911,4.00E+01
78,0,-1.25E+02,-1.25E+02,71.649,-2.00E+02,34.574,4.00E+01
81,0,-1.32E+02,-1.32E+02,281.041,-2.00E+02,151.988,4.00E+01
84,0,-1.29E+02,-1.29E+02,165.892,-2.00E+02,68.448,4.00E+01
87,0,-1.28E+02,-1.28E+02,333.037,-2.00E+02,208.732,4.00E+01
90,0,-1.27E+02,-1.27E+02,75.219,-2.00E+02,106.373,4.00E+01
93,0,-1.20E+02,-1.20E+02,212.049,-2.00E+02,279.63,4.00E+01
96,0,-1.16E+02,-1.16E+02,12.576,-2.00E+02,163.885,4.00E+01
99,0,-1.15E+02,-1.15E+02,173.263,-2.00E+02,28.125,4.00E+01
102,0,-1.16E+02,-1.16E+02,325.355,-2.00E+02,205.457,4.00E+01
105,0,-1.17E+02,-1.17E+02,105.993,-2.00E+02,25.485,4.00E+01
108,0,-1.17E+02,-1.17E+02,251.008,-2.00E+02,227.111,4.00E+01
111,0,-1.17E+02,-1.17E+02,46.171,-2.00E+02,38.54,4.00E+01
114,0,-1.20E+02,-1.20E+02,200.929,-2.00E+02,235.349,4.00E+01
117,0,-1.24E+02,-1.24E+02,336.69,-2.00E+02,126.798,4.00E+01
120,0,-1.23E+02,-1.23E+02,76.334,-2.00E+02,13.703,4.00E+01
123,0,-1.20E+02,-1.20E+02,221.385,-2.00E+02,213.165,4.00E+01
126,0,-1.21E+02,-1.21E+02,17.114,-2.00E+02,357.59,4.00E+01
129,0,-1.29E+02,-1.29E+02,115.356,-2.00E+02,132.388,4.00E+01
132,0,-1.22E+02,-1.22E+02,218.034,-2.00E+02,60.159,4.00E+01
135,0,-1.23E+02,-1.23E+02,18.26,-2.00E+02,21.155,4.00E+01
138,0,-1.31E+02,-1.31E+02,211.498,-2.00E+02,184.406,4.00E+01
141,0,-1.33E+02,-1.33E+02,116.209,-2.00E+02,25.031,4.00E+01
144,0,-1.23E+02,-1.23E+02,25.991,-2.00E+02,98.753,4.00E+01
147,0,-1.20E+02,-1.20E+02,216.452,-2.00E+02,29.184,4.00E+01
150,0,-1.31E+02,-1.31E+02,234.658,-2.00E+02,50.961,4.00E+01
153,0,-1.23E+02,-1.23E+02,42.088,-2.00E+02,56.258,4.00E+01
156,0,-1.27E+02,-1.27E+02,189.807,-2.00E+02,333.387,4.00E+01
159,0,-1.19E+02,-1.19E+02,16.179,-2.00E+02,51.55,4.00E+01
162,0,-1.31E+02,-1.31E+02,67.925,-2.00E+02,125.871,4.00E+01
165,0,-1.22E+02,-1.22E+02,236.782,-2.00E+02,37.75,4.00E+01
168,0,-1.22E+02,-1.22E+02,44.548,-2.00E+02,207.882,4.00E+01
171,0,-1.19E+02,-1.19E+02,207.029,-2.00E+02,347.292,4.00E+01
174,0,-1.27E+02,-1.27E+02,219.944,-2.00E+02,130.9,4.00E+01
177,0,-1.25E+02,-1.25E+02,70.909,-2.00E+02,307.447,4.00E+01
180,0,-1.14E+02,-1.14E+02,207.39,-2.00E+02,116.967,4.00E+01
0,90,-7.46E+01,-2.00E+02,358.832,-7.46E+01,273.042,4.00E+01
3,90,-7.76E+01,-2.00E+02,338.423,-7.76E+01,277.206,4.00E+01
6,90,-9.09E+01,-2.00E+02,327.212,-9.09E+01,321.377,4.00E+01
9,90,-8.58E+01,-2.00E+02,152.483,-8.58E+01,80.398,4.00E+01
12,90,-8.86E+01,-1.99E+02,127.412,-8.86E+01,109.835,4.00E+01
15,90,-9.76E+01,-2.00E+02,108.536,-9.76E+01,179.066,4.00E+01
18,90,-1.10E+02,-2.00E+02,275.224,-1.10E+02,91.334,4.00E+01
21,90,-9.95E+01,-2.00E+02,264.816,-9.95E+01,129.308,4.00E+01
24,90,-9.41E+01,-2.00E+02,259.657,-9.41E+01,181.116,4.00E+01
27,90,-9.86E+01,-2.00E+02,146.688,-9.86E+01,108.497,4.00E+01
30,90,-9.92E+01,-2.00E+02,184.093,-9.92E+01,45.494,4.00E+01
33,90,-1.01E+02,-2.00E+02,189.416,-1.01E+02,247.726,4.00E+01
36,90,-1.09E+02,-2.00E+02,246.274,-1.09E+02,81.756,4.00E+01
39,90,-1.15E+02,-2.00E+02,263.689,-1.15E+02,262.068,4.00E+01
42,90,-1.17E+02,-2.00E+02,250.942,-1.17E+02,249.117,4.00E+01
45,90,-1.19E+02,-2.00E+02,325.568,-1.19E+02,66.624,4.00E+01
48,90,-1.15E+02,-2.00E+02,189.654,-1.15E+02,239.293,4.00E+01
51,90,-1.18E+02,-2.00E+02,18.627,-1.18E+02,49.147,4.00E+01
54,90,-1.16E+02,-2.00E+02,252.76,-1.16E+02,219.017,4.00E+01
57,90,-1.20E+02,-2.00E+02,148.841,-1.20E+02,36.477,4.00E+01
60,90,-1.21E+02,-2.00E+02,241.666,-1.21E+02,206.011,4.00E+01
63,90,-1.30E+02,-2.00E+02,137.541,-1.30E+02,29.014,4.00E+01
66,90,-1.44E+02,-2.00E+02,324.761,-1.44E+02,56.589,4.00E+01
69,90,-1.25E+02,-2.00E+02,211.389,-1.25E+02,193.228,4.00E+01
72,90,-1.20E+02,-2.00E+02,37.502,-1.20E+02,9.796,4.00E+01
75,90,-1.18E+02,-2.00E+02,239.836,-1.18E+02,182.422,4.00E+01
78,90,-1.18E+02,-2.00E+02,81.841,-1.18E+02,357.139,4.00E+01
81,90,-1.20E+02,-2.00E+02,267.752,-1.20E+02,172.322,4.00E+01
84,90,-1.23E+02,-2.00E+02,100.861,-1.23E+02,351.208,4.00E+01
87,90,-1.32E+02,-2.00E+02,264.357,-1.32E+02,194.361,4.00E+01
90,90,-1.30E+02,-2.00E+02,122.774,-1.30E+02,106.51,4.00E+01
93,90,-1.25E+02,-2.00E+02,79.744,-1.25E+02,295.552,4.00E+01
96,90,-1.23E+02,-2.00E+02,208.071,-1.23E+02,110.086,4.00E+01
99,90,-1.24E+02,-2.00E+02,72.637,-1.24E+02,280.125,4.00E+01
102,90,-1.27E+02,-2.00E+02,235.87,-1.27E+02,86.859,4.00E+01
105,90,-1.31E+02,-2.00E+02,64.268,-1.31E+02,248.241,4.00E+01
108,90,-1.40E+02,-2.00E+02,235.19,-1.40E+02,17.068,4.00E+01
111,90,-1.38E+02,-2.00E+02,347.646,-1.38E+02,101.986,4.00E+01
114,90,-1.34E+02,-2.00E+02,153.343,-1.34E+02,249.592,4.00E+01
117,90,-1.35E+02,-2.00E+02,309.335,-1.35E+02,70.681,4.00E+01
120,90,-1.34E+02,-2.00E+02,181.519,-1.34E+02,252.179,4.00E+01
123,90,-1.34E+02,-2.00E+02,141.609,-1.34E+02,69.644,4.00E+01
126,90,-1.53E+02,-2.00E+02,37.106,-1.53E+02,182.735,4.00E+01
129,90,-1.37E+02,-2.00E+02,203.809,-1.37E+02,189.865,4.00E+01
132,90,-1.29E+02,-2.00E+02,48.34,-1.29E+02,7.597,4.00E+01
135,90,-1.28E+02,-2.00E+02,311.935,-1.28E+02,192.827,4.00E+01
138,90,-1.30E+02,-2.00E+02,192.877,-1.30E+02,330.351,4.00E+01
141,90,-1.35E+02,-2.00E+02,27.316,-1.35E+02,146.634,4.00E+01
144,90,-1.31E+02,-2.00E+02,205.314,-1.31E+02,206.272,4.00E+01
147,90,-1.52E+02,-2.00E+02,195.92,-1.52E+02,97.998,4.00E+01
150,90,-1.30E+02,-2.00E+02,290.636,-1.30E+02,34.988,4.00E+01
153,90,-1.30E+02,-2.00E+02,320.413,-1.30E+02,136.857,4.00E+01
156,90,-1.32E+02,-2.00E+02,350.936,-1.32E+02,149.244,4.00E+01
159,90,-1.27E+02,-2.00E+02,48.699,-1.27E+02,315.194,4.00E+01
162,90,-1.30E+02,-2.00E+02,74.214,-1.30E+02,302.613,4.00E+01
165,90,-1.29E+02,-2.00E+02,121.199,-1.29E+02,151.99,4.00E+01
168,90,-1.28E+02,-2.00E+02,145.411,-1.28E+02,146.805,4.00E+01
171,90,-1.30E+02,-2.00E+02,114.434,-1.30E+02,188.813,4.00E+01
174,90,-1.21E+02,-2.00E+02,26.288,-1.21E+02,206.52,4.00E+01
177,90,-1.16E+02,-2.00E+02,338.753,-1.16E+02,207.057,4.00E+01
180,90,-1.14E+02,-2.00E+02,296.959,-1.14E+02,207.39,4.00E+01
