Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
0,0,-7.53E+01,-7.53E+01,350.356,-2.00E+02,258.164,4.00E+01
3,0,-8.92E+01,-8.92E+01,24.149,-2.00E+02,89.899,4.00E+01
6,0,-9.74E+01,-9.74E+01,6.497,-2.00E+02,274.663,4.00E+01
9,0,-9.23E+01,-9.23E+01,286.638,-2.00E+02,103.556,4.00E+01
12,0,-9.31E+01,-9.31E+01,164.124,-2.00E+02,242.234,4.00E+01
15,0,-9.53E+01,-9.53E+01,27.225,-2.00E+02,58.82,4.00E+01
18,0,-9.76E+01,-9.76E+01,243.92,-2.00E+02,229.755,4.00E+01
21,0,-1.00E+02,-1.00E+02,94.188,-2.00E+02,19.127,4.00E+01
24,0,-1.02E+02,-1.02E+02,298.391,-2.00E+02,175.063,4.00E+01
27,0,-1.04E+02,-1.04E+02,138.521,-2.00E+02,7.876,4.00E+01
30,0,-1.06E+02,-1.06E+02,333.332,-2.00E+02,199.683,4.00E+01
33,0,-1.07E+02,-1.07E+02,166.17,-2.00E+02,349.624,4.00E+01
36,0,-1.08E+02,-1.08E+02,356.964,-2.00E+02,344.455,4.00E+01
39,0,-1.09E+02,-1.09E+02,184.623,-2.00E+02,229.659,4.00E+01
42,0,-1.10E+02,-1.10E+02,9.559,-2.00E+02,50.27,4.00E+01
45,0,-1.11E+02,-1.11E+02,194.686,-2.00E+02,232.384,4.00E+01
48,0,-1.12E+02,-1.12E+02,15.698,-2.00E+02,6.311,4.00E+01
51,0,-1.12E+02,-1.12E+02,195.907,-2.00E+02,178.507,4.00E+01
54,0,-1.13E+02,-1.13E+02,14.019,-2.00E+02,8.988,4.00E+01
57,0,-1.14E+02,-1.14E+02,189.945,-2.00E+02,132.566,4.00E+01
60,0,-1.15E+02,-1.15E+02,4.425,-2.00E+02,310.026,4.00E+01
63,0,-1.16E+02,-1.16E+02,177.542,-2.00E+02,336.872,4.00E+01
66,0,-1.18E+02,-1.18E+02,347.791,-2.00E+02,24.054,4.00E+01
69,0,-1.19E+02,-1.19E+02,157.127,-2.00E+02,119.612,4.00E+01
72,0,-1.21E+02,-1.21E+02,324.599,-2.00E+02,190.257,4.00E+01
75,0,-1.22E+02,-1.22E+02,129.88,-2.00E+02,232.339,4.00E+01
78,0,-1.21E+02,-1.21E+02,295.451,-2.00E+02,10.981,4.00E+01
81,0,-1.20E+02,-1.20E+02,103.745,-2.00E+02,226.176,4.00E+01
84,0,-1.18E+02,-1.18E+02,275.254,-2.00E+02,357.47,4.00E+01
87,0,-1.16E+02,-1.16E+02,90.771,-2.00E+02,164.686,4.00E+01
90,0,-1.15E+02,-1.15E+02,270.923,-2.00E+02,319.788,4.00E+01
93,0,-1.14E+02,-1.14E+02,95.327,-2.00E+02,134.283,4.00E+01
96,0,-1.13E+02,-1.13E+02,282.702,-2.00E+02,332.307,4.00E+01
99,0,-1.12E+02,-1.12E+02,110.562,-2.00E+02,260.869,4.00E+01
102,0,-1.12E+02,-1.12E+02,296.777,-2.00E+02,127.72,4.00E+01
105,0,-1.13E+02,-1.13E+02,121.883,-2.00E+02,104.429,4.00E+01
108,0,-1.15E+02,-1.15E+02,307.304,-2.00E+02,201.216,4.00E+01
111,0,-1.16E+02,-1.16E+02,127.805,-2.00E+02,84.019,4.00E+01
114,0,-1.15E+02,-1.15E+02,304.176,-2.00E+02,331.715,4.00E+01
117,0,-1.16E+02,-1.16E+02,122.808,-2.00E+02,209.68,4.00E+01
120,0,-1.20E+02,-1.20E+02,304.758,-2.00E+02,52.233,4.00E+01
123,0,-1.22E+02,-1.22E+02,110.386,-2.00E+02,182.728,4.00E+01
126,0,-1.17E+02,-1.17E+02,273.377,-2.00E+02,336.854,4.00E+01
129,0,-1.15E+02,-1.15E+02,95.945,-2.00E+02,162.187,4.00E+01
132,0,-1.19E+02,-1.19E+02,291.06,-2.00E+02,313.159,4.00E+01
135,0,-1.20E+02,-1.20E+02,104.794,-2.00E+02,203.296,4.00E+01
138,0,-1.17E+02,-1.17E+02,259.884,-2.00E+02,113.411,4.00E+01
141,0,-1.17E+02,-1.17E+02,81.56,-2.00E+02,174.192,4.00E+01
144,0,-1.18E+02,-1.18E+02,278.393,-2.00E+02,302.296,4.00E+01
147,0,-1.17E+02,-1.17E+02,76.636,-2.00E+02,285.935,4.00E+01
150,0,-1.17E+02,-1.17E+02,250.35,-2.00E+02,304.072,4.00E+01
153,0,-1.16E+02,-1.16E+02,95.868,-2.00E+02,316.679,4.00E+01
156,0,-1.17E+02,-1.17E+02,251.643,-2.00E+02,321.492,4.00E+01
159,0,-1.16E+02,-1.16E+02,78.412,-2.00E+02,352.515,4.00E+01
162,0,-1.15E+02,-1.15E+02,272.475,-2.00E+02,333.189,4.00E+01
165,0,-1.17E+02,-1.17E+02,60.79,-2.00E+02,143.192,4.00E+01
168,0,-1.14E+02,-1.14E+02,277.437,-2.00E+02,90.322,4.00E+01
171,0,-1.16E+02,-1.16E+02,67.209,-2.00E+02,159.961,4.00E+01
174,0,-1.14E+02,-1.14E+02,273.292,-2.00E+02,13.308,4.00E+01
177,0,-1.16E+02,-1.16E+02,74.31,-2.00E+02,176.125,4.00E+01
180,0,-1.12E+02,-1.12E+02,271.46,-2.00E+02,32.8,4.00E+01
0,3,-7.53E+01,-7.53E+01,350.356,-1.01E+02,170.356,4.00E+01
3,3,-8.92E+01,-8.92E+01,23.947,-1.15E+02,204.283,4.00E+01
6,3,-9.75E+01,-9.75E+01,6.971,-1.23E+02,183.368,4.00E+01
9,3,-9.23E+01,-9.23E+01,287.095,-1.18E+02,108.06,4.00E+01
12,3,-9.31E+01,-9.31E+01,164.518,-1.19E+02,345.982,4.00E+01
15,3,-9.53E+01,-9.53E+01,27.694,-1.21E+02,208.795,4.00E+01
18,3,-9.76E+01,-9.76E+01,244.538,-1.23E+02,64.72,4.00E+01
21,3,-1.00E+02,-1.00E+02,95.15,-1.26E+02,273.337,4.00E+01
24,3,-1.02E+02,-1.02E+02,299.835,-1.28E+02,117.277,4.00E+01
27,3,-1.04E+02,-1.04E+02,140.458,-1.30E+02,317.592,4.00E+01
30,3,-1.06E+02,-1.06E+02,335.834,-1.32E+02,153.446,4.00E+01
33,3,-1.07E+02,-1.07E+02,169.099,-1.33E+02,348.673,4.00E+01
36,3,-1.08E+02,-1.08E+02,0.143,-1.34E+02,182.329,4.00E+01
39,3,-1.09E+02,-1.09E+02,187.947,-1.35E+02,14.147,4.00E+01
42,3,-1.10E+02,-1.10E+02,12.951,-1.36E+02,202.402,4.00E+01
45,3,-1.11E+02,-1.11E+02,198.014,-1.36E+02,30.003,3.92E+01
48,3,-1.11E+02,-1.11E+02,18.991,-1.36E+02,213.336,3.71E+01
51,3,-1.12E+02,-1.12E+02,199.124,-1.37E+02,34.371,3.60E+01
