Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(Theta)[dB(nm^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(nm^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
------------,--------------,----------------------,----------------------,--------------------,----------------------,--------------------,------------------------
0,0,1.08E+02,1.08E+02,62.883,-8.31E+01,76.323,4.00E+01
3,0,9.14E+01,9.14E+01,45.106,-4.44E+01,250.695,4.00E+01
6,0,9.42E+01,9.42E+01,216.765,-3.24E+01,27.956,4.00E+01
9,0,9.17E+01,9.17E+01,71.33,-2.88E+01,199.615,4.00E+01
12,0,8.74E+01,8.74E+01,281.962,-2.91E+01,5.085,4.00E+01
15,0,8.21E+01,8.21E+01,134.204,-3.21E+01,163.053,4.00E+01
18,0,7.74E+01,7.74E+01,359.077,-3.98E+01,305.675,4.00E+01
21,0,7.62E+01,7.62E+01,222.712,-4.35E+01,334.944,4.00E+01
24,0,7.59E+01,7.59E+01,66.927,-3.85E+01,99.375,4.00E+01
27,0,7.45E+01,7.45E+01,261.79,-4.27E+01,222.573,4.00E+01
30,0,7.24E+01,7.24E+01,91.117,-4.83E+01,275.731,4.00E+01
33,0,6.97E+01,6.97E+01,280.033,-5.75E+01,304.623,4.00E+01
36,0,6.59E+01,6.59E+01,126.517,-4.45E+01,0.069,4.00E+01
39,0,6.26E+01,6.26E+01,354.355,-5.04E+01,141.921,4.00E+01
42,0,6.37E+01,6.37E+01,208.131,-5.73E+01,347.303,4.00E+01
45,0,6.53E+01,6.53E+01,44.631,-5.06E+01,22.638,4.00E+01
48,0,6.47E+01,6.47E+01,233.608,-5.72E+01,97.055,4.00E+01
51,0,6.30E+01,6.30E+01,63.763,-5.96E+01,352.827,4.00E+01
54,0,5.96E+01,5.96E+01,262.559,-6.58E+01,313.39,4.00E+01
57,0,5.76E+01,5.76E+01,126.272,-5.55E+01,314.676,4.00E+01
60,0,5.92E+01,5.92E+01,336.269,-5.87E+01,155.273,4.00E+01
63,0,6.01E+01,6.01E+01,174.076,-5.74E+01,197.02,4.00E+01
66,0,5.95E+01,5.95E+01,8.387,-6.60E+01,349.193,4.00E+01
69,0,5.74E+01,5.74E+01,210.948,-5.02E+01,75.904,4.00E+01
72,0,5.62E+01,5.62E+01,66.814,-5.07E+01,235.164,4.00E+01
75,0,5.68E+01,5.68E+01,276.589,-6.12E+01,105.826,4.00E+01
78,0,5.67E+01,5.67E+01,118.566,-6.20E+01,17.744,4.00E+01
81,0,5.53E+01,5.53E+01,324.418,-5.53E+01,220.301,4.00E+01
84,0,5.43E+01,5.43E+01,175.398,-5.90E+01,39.478,4.00E+01
87,0,5.33E+01,5.33E+01,22.335,-5.92E+01,302.342,4.00E+01
90,0,5.15E+01,5.15E+01,229.35,-5.83E+01,153.048,4.00E+01
93,0,5.05E+01,5.05E+01,78.386,-5.96E+01,300.579,4.00E+01
96,0,5.00E+01,5.00E+01,273.355,-5.50E+01,108.698,4.00E+01
99,0,4.73E+01,4.73E+01,105.963,-6.53E+01,337.91,4.00E+01
102,0,4.61E+01,4.61E+01,331.38,-5.56E+01,190.586,4.00E+01
105,0,4.93E+01,4.93E+01,172.029,-5.26E+01,25.951,4.00E+01
108,0,4.66E+01,4.66E+01,352.088,-5.32E+01,214.479,4.00E+01
111,0,3.73E+01,3.73E+01,237.713,-5.53E+01,83.758,4.00E+01
114,0,4.63E+01,4.63E+01,68.102,-5.97E+01,273.045,4.00E+01
117,0,4.77E+01,4.77E+01,227.749,-7.46E+01,220.272,4.00E+01
120,0,4.00E+01,4.00E+01,127.599,-5.76E+01,76.454,4.00E+01
123,0,4.85E+01,4.85E+01,331.352,-5.45E+01,299.25,4.00E+01
126,0,4.08E+01,4.08E+01,113.281,-5.51E+01,169.581,4.00E+01
129,0,3.70E+01,3.70E+01,89.187,-5.74E+01,92.249,4.00E+01
132,0,4.82E+01,4.82E+01,186.921,-5.66E+01,15.763,4.00E+01
135,0,3.49E+01,3.49E+01,357.16,-6.47E+01,294.136,4.00E+01
138,0,4.76E+01,4.76E+01,301.249,-5.39E+01,260.257,4.00E+01
141,0,4.45E+01,4.45E+01,8.627,-5.26E+01,150.741,4.00E+01
144,0,4.21E+01,4.21E+01,353.882,-6.89E+01,106.17,4.00E+01
147,0,4.85E+01,4.85E+01,130.322,-5.31E+01,156.672,4.00E+01
150,0,4.15E+01,4.15E+01,127.544,-5.66E+01,117.448,4.00E+01
153,0,4.64E+01,4.64E+01,167.946,-5.56E+01,159.372,4.00E+01
156,0,2.76E+01,2.76E+01,64.162,-5.15E+01,125.62,4.00E+01
159,0,4.54E+01,4.54E+01,277.526,-5.26E+01,218.99,4.00E+01
162,0,4.05E+01,4.05E+01,316.344,-5.03E+01,187.807,4.00E+01
165,0,4.67E+01,4.67E+01,295.174,-5.06E+01,285.768,4.00E+01
168,0,4.21E+01,4.21E+01,300.552,-4.82E+01,335.629,4.00E+01
171,0,5.04E+01,5.04E+01,304.987,-4.99E+01,69.516,4.00E+01
174,0,4.49E+01,4.49E+01,331.002,-5.00E+01,96.967,4.00E+01
177,0,4.77E+01,4.77E+01,19.818,-5.40E+01,263.612,4.00E+01
180,0,6.00E+01,6.00E+01,331.973,-8.39E+01,77.147,4.00E+01
0,3,1.08E+02,1.08E+02,62.883,8.20E+01,242.883,4.00E+01
3,3,9.14E+01,9.13E+01,45.152,6.56E+01,226.684,4.00E+01
6,3,9.42E+01,9.42E+01,216.746,6.85E+01,37.092,4.00E+01
9,3,9.17E+01,9.17E+01,71.189,6.60E+01,251.032,4.00E+01
12,3,8.73E+01,8.73E+01,281.689,6.17E+01,100.665,4.00E+01
15,3,8.20E+01,8.20E+01,134.028,5.62E+01,311.913,4.00E+01
18,3,7.74E+01,7.73E+01,359.06,5.10E+01,178.258,4.00E+01
21,3,7.62E+01,7.62E+01,222.533,5.01E+01,45.058,4.00E+01
24,3,7.59E+01,7.59E+01,66.974,5.03E+01,249.02,4.00E+01
27,3,7.46E+01,7.46E+01,261.781,4.93E+01,81.905,4.00E+01
30,3,7.25E+01,7.24E+01,91.351,4.73E+01,269.056,4.00E+01
33,3,6.96E+01,6.96E+01,281.11,4.43E+01,95.229,4.00E+01
36,3,6.56E+01,6.56E+01,125.692,3.94E+01,293.478,3.97E+01
39,3,6.26E+01,6.26E+01,352.443,3.43E+01,170.311,4.00E+01
42,3,6.39E+01,6.38E+01,208.87,3.77E+01,37.418,4.00E+01
45,3,6.52E+01,6.52E+01,44.705,4.03E+01,228.28,4.00E+01
48,3,6.48E+01,6.48E+01,233.469,4.06E+01,50.255,4.00E+01
51,3,6.30E+01,6.29E+01,63.076,3.89E+01,231.649,3.82E+01
54,3,5.96E+01,5.96E+01,263.444,3.43E+01,59.912,3.32E+01
57,3,5.76E+01,5.76E+01,124.421,2.82E+01,294.619,4.00E+01
60,3,5.91E+01,5.91E+01,337.37,3.38E+01,166.363,4.00E+01
63,3,6.02E+01,6.02E+01,174.122,3.70E+01,354.286,4.00E+01
66,3,5.95E+01,5.95E+01,7.905,3.68E+01,175.432,3.60E+01
69,3,5.74E+01,5.74E+01,210.562,3.34E+01,2.756,3.06E+01
72,3,5.62E+01,5.62E+01,66.176,2.83E+01,236.423,4.00E+01
75,3,5.69E+01,5.68E+01,276.783,3.37E+01,105.881,3.92E+01
78,3,5.67E+01,5.67E+01,118.841,3.60E+01,293.42,4.00E+01
81,3,5.54E+01,5.53E+01,324.407,3.36E+01,121.204,2.99E+01
84,3,5.42E+01,5.42E+01,175.428,2.75E+01,352.128,4.00E+01
87,3,5.33E+01,5.33E+01,22.742,3.20E+01,228.495,2.85E+01
90,3,5.15E+01,5.15E+01,230.189,3.29E+01,54.394,4.00E+01
93,3,5.06E+01,5.05E+01,79.254,2.60E+01,237.935,3.34E+01
96,3,5.01E+01,5.01E+01,274.246,2.16E+01,178.67,2.85E+01
99,3,4.74E+01,4.74E+01,106.966,2.62E+01,342.382,2.29E+01
102,3,4.61E+01,4.61E+01,332.072,2.60E+01,102.244,2.25E+01
105,3,4.92E+01,4.92E+01,172.344,2.36E+01,248.943,2.58E+01
108,3,4.67E+01,4.67E+01,350.699,2.25E+01,199.359,3.06E+01
111,3,3.84E+01,3.78E+01,228.901,2.96E+01,18.949,1.52E+01
114,3,4.65E+01,4.65E+01,68.584,2.07E+01,210.984,3.02E+01
117,3,4.74E+01,4.74E+01,227.819,2.46E+01,142.571,2.28E+01
120,3,3.97E+01,3.96E+01,121.712,2.34E+01,273.074,2.28E+01
123,3,4.88E+01,4.88E+01,331.869,2.16E+01,33.37,2.83E+01
126,3,4.08E+01,4.07E+01,113.282,2.32E+01,347.896,1.94E+01
129,3,3.72E+01,3.68E+01,83.587,2.64E+01,160.232,1.07E+01
132,3,4.82E+01,4.82E+01,186.143,1.63E+01,119.034,3.26E+01
135,3,3.51E+01,3.48E+01,5.762,2.32E+01,244.829,1.31E+01
138,3,4.73E+01,4.73E+01,302.045,2.16E+01,13.734,2.62E+01
141,3,4.37E+01,4.36E+01,12.377,2.56E+01,318.937,2.00E+01
144,3,4.19E+01,4.19E+01,351.253,1.95E+01,100.529,2.29E+01
147,3,4.84E+01,4.84E+01,130.362,1.60E+01,93.218,3.68E+01
150,3,4.15E+01,4.15E+01,125.212,2.36E+01,153.626,2.44E+01
153,3,4.61E+01,4.61E+01,168.368,1.80E+01,120.396,3.07E+01
156,3,2.78E+01,2.73E+01,74.9,1.82E+01,243.934,2.45E+01
159,3,4.54E+01,4.54E+01,277.895,-5.46E+00,30.371,4.00E+01
162,3,4.02E+01,4.00E+01,315.508,2.41E+01,300.587,2.80E+01
165,3,4.69E+01,4.69E+01,296.364,6.97E+00,284.129,4.00E+01
168,3,4.20E+01,4.19E+01,299.38,2.40E+01,298.677,4.00E+01
171,3,5.04E+01,5.04E+01,305.026,2.10E+01,306.617,4.00E+01
174,3,4.49E+01,4.49E+01,330.931,1.83E+01,352.87,3.52E+01
177,3,4.78E+01,4.78E+01,19.75,2.86E+01,305.135,1.95E+01
180,3,6.00E+01,6.00E+01,331.973,3.44E+01,331.973,4.00E+01
0,6,1.08E+02,1.08E+02,62.883,8.80E+01,242.883,4.00E+01
3,6,9.13E+01,9.13E+01,45.285,7.16E+01,226.821,4.00E+01
6,6,9.42E+01,9.41E+01,216.686,7.45E+01,37.031,4.00E+01
9,6,9.17E+01,9.16E+01,70.775,7.21E+01,250.619,4.00E+01
12,6,8.73E+01,8.72E+01,280.916,6.76E+01,99.878,4.00E+01
15,6,8.19E+01,8.18E+01,133.544,6.20E+01,311.379,4.00E+01
18,6,7.73E+01,7.72E+01,358.979,5.70E+01,178.204,4.00E+01
21,6,7.62E+01,7.61E+01,222.072,5.61E+01,44.597,4.00E+01
24,6,7.59E+01,7.59E+01,67.058,5.63E+01,249.177,4.00E+01
27,6,7.48E+01,7.48E+01,261.735,5.55E+01,81.968,4.00E+01
30,6,7.27E+01,7.26E+01,92.024,5.35E+01,269.576,4.00E+01
33,6,6.94E+01,6.93E+01,283.655,5.01E+01,96.986,3.80E+01
36,6,6.50E+01,6.50E+01,124.686,4.49E+01,292.159,3.34E+01
39,6,6.24E+01,6.24E+01,349.519,4.02E+01,167.687,4.00E+01
42,6,6.41E+01,6.40E+01,209.419,4.39E+01,37.637,3.71E+01
45,6,6.50E+01,6.50E+01,45.195,4.62E+01,228.611,4.00E+01
48,6,6.49E+01,6.48E+01,233.273,4.66E+01,50.47,4.00E+01
51,6,6.29E+01,6.28E+01,62.551,4.48E+01,231.21,3.23E+01
54,6,5.96E+01,5.95E+01,264.077,4.04E+01,60.144,2.71E+01
57,6,5.75E+01,5.75E+01,123.08,3.44E+01,294.27,3.94E+01
60,6,5.91E+01,5.90E+01,338.412,3.98E+01,168.005,3.50E+01
63,6,6.03E+01,6.02E+01,174.117,4.29E+01,354.076,4.00E+01
66,6,5.95E+01,5.94E+01,7.499,4.30E+01,174.53,2.96E+01
69,6,5.74E+01,5.73E+01,210.311,3.95E+01,3.123,2.48E+01
72,6,5.62E+01,5.62E+01,66.104,3.46E+01,239.256,4.00E+01
75,6,5.69E+01,5.68E+01,277.018,3.97E+01,106.549,3.29E+01
78,6,5.68E+01,5.67E+01,119.022,4.19E+01,293.869,3.60E+01
81,6,5.54E+01,5.53E+01,324.267,3.96E+01,120.73,2.39E+01
84,6,5.42E+01,5.41E+01,175.344,3.34E+01,351.281,4.00E+01
87,6,5.33E+01,5.32E+01,22.984,3.81E+01,228.581,2.26E+01
90,6,5.17E+01,5.14E+01,230.656,3.90E+01,54.007,3.76E+01
93,6,5.06E+01,5.06E+01,79.683,3.20E+01,237.465,2.71E+01
96,6,5.01E+01,5.01E+01,274.645,2.80E+01,178.101,2.21E+01
99,6,4.75E+01,4.74E+01,107.56,3.23E+01,342.693,1.69E+01
102,6,4.62E+01,4.60E+01,332.897,3.18E+01,102.154,1.66E+01
105,6,4.91E+01,4.91E+01,172.753,2.95E+01,249.832,1.98E+01
108,6,4.67E+01,4.66E+01,350.132,2.82E+01,199.25,2.48E+01
111,6,3.99E+01,3.80E+01,225.499,3.55E+01,19.9,1.32E+01
114,6,4.66E+01,4.66E+01,68.545,2.67E+01,207.113,2.35E+01
117,6,4.73E+01,4.72E+01,228.169,3.03E+01,144.315,1.69E+01
120,6,3.99E+01,3.94E+01,118.935,3.02E+01,272.558,1.71E+01
123,6,4.90E+01,4.90E+01,331.647,2.74E+01,33.322,2.27E+01
126,6,4.09E+01,4.06E+01,114.838,2.96E+01,349.407,1.30E+01
129,6,3.79E+01,3.65E+01,80.588,3.21E+01,161.269,4.65E+00
132,6,4.81E+01,4.81E+01,185.89,2.30E+01,123.674,2.62E+01
135,6,3.58E+01,3.49E+01,14.867,2.88E+01,244.447,9.45E+00
