x,Curve1
0.519,91783
1.13,90854
1.497,89923
2.109,88993
2.476,87029
2.843,82685
3.454,78341
3.577,76583
3.699,74514
4.188,60964
4.311,63447
4.433,66344
4.555,69965
4.678,58069
4.8,62000
5.167,74621
5.289,75966
5.534,77207
5.901,78035
7.002,77727
7.613,75659
7.736,73591
8.103,69144
8.47,66972
8.837,65111
9.203,66870
10.06,68216
10.671,67286
10.916,65839
11.772,63668
12.139,61910
12.995,63049
13.485,64602
14.463,63776
14.83,62122
14.953,60260
15.687,58399
16.054,55607
16.42,56953
16.665,58298
17.154,59954
17.644,60472
18.378,59335
18.745,57681
19.234,55923
19.479,53545
19.601,51786
20.335,54994
20.946,56444
21.436,57375
22.17,56239
22.781,54792
23.148,48586
23.271,51379
23.882,49415
24.371,52209
24.738,53761
24.983,54486
26.451,53350
26.696,51696
27.063,47145
27.185,44870
27.552,46111
27.674,47353
28.163,49009
28.286,51181
29.02,52321
29.876,51391
30.121,48392
30.855,46118
30.977,43532
31.099,42084
31.344,43739
31.833,46326
32.322,48913
32.812,50362
33.79,50467
34.524,46021
34.647,47986
34.891,43953
35.014,42298
35.38,41988
35.747,44264
35.992,46437
36.481,47679
36.848,48921
37.705,49750
37.949,48716
38.928,42719
39.05,40857
39.784,37341
40.029,40342
40.273,44169
40.64,45825
41.007,47274
41.497,48102
41.986,48414
42.597,46656
43.331,44071
43.698,41176
43.821,39004
43.943,38176
44.065,39314
44.555,43246
44.799,45315
45.533,46765
46.023,47800
46.879,47181
47.98,45735
48.102,37874
48.224,42425
48.469,35599
48.958,34772
49.081,36841
49.448,39324
49.57,41186
49.815,43256
50.181,44808
51.038,46568
51.649,46362
52.995,39434
53.484,35194
53.729,36643
54.096,39126
54.218,41919
54.952,44093
55.686,45852
56.42,46681
57.643,44511
58.132,42547
58.622,38617
58.989,35825
59.356,34067
59.723,36860
60.09,39240
60.579,42034
61.191,44001
62.169,45347
62.536,45451
63.882,43281
64.126,40282
64.738,37594
64.983,35318
65.472,32526
66.083,35424
66.573,38942
66.695,41631
67.307,43391
67.918,45668
69.019,45670
70.242,44638
70.732,42777
71.099,40709
71.588,38537
71.833,36055
72.444,34401
72.566,36470
73.545,38851
74.034,41438
74.768,42887
75.869,44234
76.725,43512
78.071,41549
78.805,38654
79.294,36275
79.784,31104
80.64,27485
81.129,25314
81.985,33281
82.475,37316
83.086,40006
84.799,41251
86.022,40632
88.101,35981
88.224,33085
88.958,29363
89.569,26157
89.692,23364
90.548,23262
91.16,25849
91.282,29263
91.404,32884
92.138,34540
93.361,37646
93.728,38681
96.175,39306
98.01,38585
99.11,36519
100.211,35176
101.312,34247
102.291,34145
102.658,36525
103.881,38389
105.594,40771
107.551,41603
109.63,40675
111.954,38714
112.688,36336
113.3,35613
114.645,34271
115.869,34170
117.948,34174
120.639,33248
121.618,31181
122.719,28907
123.208,25391
124.554,21566
124.92,19291
125.165,17119
126.021,18879
126.266,21466
126.755,23949
127.122,27570
127.612,29536
128.223,33468
129.079,38125
129.936,40402
130.792,42369
132.26,43716
133.85,42788
134.951,36687
135.807,32862
136.541,26346
136.786,29346
137.153,35967
137.764,39175
138.254,41348
139.477,43006
140.822,44353
142.535,43425
143.269,41357
144.247,37739
144.37,34532
144.492,31946
145.104,25431
145.715,23777
145.838,27708
146.327,31226
146.572,34536
146.939,36916
147.795,37021
148.773,35471
149.507,33300
150.119,31026
150.608,27820
150.975,25959
151.709,22650
151.831,20892
151.954,21512
152.565,26168
153.177,29583
154.156,32274
154.645,33930
155.379,36207
156.235,37450
157.091,36624
159.048,31042
159.415,31974
160.149,33940
160.272,37458
161.006,38183
162.107,38289
162.351,36634
163.085,34670
163.207,33015
163.941,32189
164.431,34362
165.042,36432
165.409,40674
166.021,42433
166.999,44090
168.1,43368
168.345,40679
168.59,38818
168.712,36025
168.834,33853
169.691,30855
170.057,29821
170.424,33132
170.669,37683
170.791,40477
171.036,35098
171.158,43994
171.892,45651
172.871,46480
173.36,46584
173.972,44724
174.094,39862
174.339,37173
174.828,32002
174.95,34485
175.317,28693
175.44,31175
175.807,34486
176.174,37797
177.397,48350
177.886,50627
178.375,52386
179.354,54043
